time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,24.0,24.0,24.0,24.0,24.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,186.2005302682519
1,60000000000,24.0,24.0,24.0,24.0,24.0,5184,0.6666666666666666,1.3333333333333333,1.0083333333333333,1.0416666666666667,1.282051282051282,5,0.7890331010956763,1.5261370502971936,1.0856772145079208,1.0600760975631491,1.4412778587104984,5,133.50062258541584
2,120000000000,24.0,24.0,24.0,24.0,24.0,5184,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,152.510741725564
3,180000000000,24.0,24.0,24.0,24.0,24.0,5184,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999996,1.0,1.0,1.0,1.0,8,185.75432058423758
4,240000000000,24.0,24.0,24.0,24.0,24.0,5184,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1,0.9611177812516382,0.9611177812516382,0.9611177812516382,0.9611177812516382,0.9611177812516382,1,144.99149285256863
5,300000000000,24.0,24.0,24.0,24.0,24.0,5184,0.875,1.125,0.9907407407407408,0.9722222222222222,1.1097222222222223,3,0.9402456094437723,1.1952953032418454,1.0420214813597743,0.9905235313937056,1.1748181260570314,3,142.60035380721092
6,360000000000,24.0,24.0,24.0,24.0,24.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,4,180.35691883414984
7,420000000000,24.0,24.0,24.0,24.0,24.0,5184,0.8,1.0526315789473684,0.9571929824561403,0.9523809523809523,1.0516290726817041,5,0.8607104140788633,1.0688223662081686,0.9800301627078417,0.9687300822439012,1.0664701956229965,5,130.303249694407
8,480000000000,24.0,24.0,24.0,24.0,24.0,5184,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,140.32944478094578
9,540000000000,24.0,24.0,24.0,24.0,24.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,181.8770468235016
10,600000000000,24.0,24.0,24.0,24.0,24.0,5184,0.8,1.0476190476190477,0.9340548340548341,0.9545454545454546,1.0383116883116883,3,0.8892197547926847,1.0650405515477288,0.9767284083219104,0.9759249186253178,1.0561289882554876,3,128.41237802058458
11,660000000000,24.0,24.0,24.0,24.0,24.0,5184,0.6,1.1666666666666667,0.9843358395989974,1.0526315789473684,1.1466666666666667,5,0.8000128726781266,1.2655772375473981,1.0601694989075074,1.081183995939338,1.2321031993828828,5,127.78693344444036
12,720000000000,24.0,24.0,24.0,24.0,24.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,175.43202359229326
13,780000000000,24.0,24.0,24.0,24.0,24.0,5184,1.0,1.125,1.0416666666666667,1.0,1.1125,3,1.0,1.1520401471395199,1.0506800490465065,1.0,1.1368361324255678,3,95.59640940278769
14,840000000000,24.0,24.0,24.0,24.0,24.0,5184,0.9333333333333333,1.2,1.0494736842105266,1.0666666666666667,1.18,5,0.9685216407368751,1.2972894226369849,1.097996059700609,1.1050667192878805,1.2670270775809038,5,145.65615355968475
15,900000000000,24.0,24.0,24.0,24.0,24.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,193.34991835057735
16,960000000000,24.0,24.0,24.0,24.0,24.0,5184,0.6666666666666666,1.3333333333333333,1.0,1.0,1.275,8,0.7996199164920365,1.5406887024542382,1.0587044366524667,1.0041689882112765,1.4271469034689785,8,131.3392398878932
17,1020000000000,24.0,24.0,24.0,24.0,24.0,5184,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,129.38135396689177
18,1080000000000,24.0,24.0,24.0,24.0,24.0,5184,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,8,178.53496503084898
19,1140000000000,24.0,24.0,24.0,24.0,24.0,5184,0.8333333333333334,1.0769230769230769,0.9756512006512006,0.9725975975975976,1.0644490644490645,6,0.8732800922246307,1.1159483268175923,0.9945915953680952,0.9809163881999156,1.0959991505736826,6,95.76303698122501
20,1200000000000,24.0,24.0,24.0,24.0,24.0,5184,1.1538461538461537,1.1538461538461537,1.1538461538461537,1.1538461538461537,1.1538461538461537,1,1.2386362802776185,1.2386362802776185,1.2386362802776185,1.2386362802776185,1.2386362802776185,1,143.64015590399504
21,1260000000000,24.0,24.0,24.0,24.0,24.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0000000000000004,1.0000000000000002,1.0,1.0000000000000004,4,182.650045491755
22,1320000000000,24.0,24.0,24.0,24.0,24.0,5184,0.875,1.125,1.0041666666666667,1.0083333333333333,1.11875,4,0.8931164121787428,1.1444708963213954,1.026106013371555,1.0334183724930406,1.1407082226534795,4,130.5385483428836
23,1380000000000,24.0,24.0,24.0,24.0,24.0,5184,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,127.51854863017797
24,1440000000000,24.0,24.0,24.0,24.0,24.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,174.59963914006948
25,1500000000000,24.0,24.0,24.0,24.0,24.0,5184,0.875,1.125,1.0,1.0,1.1125,2,0.9123552443002794,1.1663320253949845,1.039343634847632,1.039343634847632,1.1536331863402491,2,96.2701179087162
26,1560000000000,24.0,24.0,24.0,24.0,24.0,5184,0.6,1.105263157894737,0.8864864864864865,0.9203413940256046,1.0813655761024183,4,0.8090001723766745,1.1614893534404387,0.9704406434693679,0.9556365240301791,1.1335552650919134,4,144.85523011535406
27,1620000000000,24.0,24.0,24.0,24.0,24.0,5184,1.0,1.0,1.0,1.0,1.0,10,0.9999999999999998,1.0,1.0,1.0,1.0,10,185.63766963779926
