time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,42,1.0,1.0895128706170771,1.0386546071540468,1.0390648735598336,1.0831802028119313,42,635986.1245006323
1,300000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,60,0.9999999999999997,1.085985635271661,1.0263641755171624,1.0163262518878746,1.0815286016804762,60,635571.1943805218
2,600000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,51,0.9999999999999997,1.1173620185242068,1.0242098665772839,1.0000000000000002,1.0907895722328222,51,630980.6963652372
3,900000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,56,0.9999999999999999,1.0738253526960448,1.0219191764407793,1.0197193699850704,1.0627609404293548,56,632203.9836272597
4,1200000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,73,0.9999999999999998,1.0927613152640856,1.0304236525348243,1.0271663627116383,1.0775479367409126,73,650063.5176375508
5,1500000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,35,0.9999999999999998,1.1012469392548616,1.0148963694477289,1.0,1.0824817026602296,35,640877.1926835179
6,1800000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,102,0.9999999999999999,1.1196854423760254,1.0382304606885644,1.036588438157441,1.0895479844322438,102,647487.3074740171
7,2100000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,15,1.0,1.1138613798479782,1.053499477995565,1.0639556744698015,1.1116700769075862,15,648505.5462867022
8,2400000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,29,0.9999999999999998,1.0569842943958148,1.0125841596581424,1.0000000000000002,1.0493191005033244,29,649431.295670569
9,2700000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,59,0.9999999999999998,1.0994943743415138,1.0401495361613668,1.046006196838575,1.0800153122770617,59,652715.7307416201
10,3000000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,58,0.9999999999999998,1.0993378291235099,1.0351594589150541,1.033142674826916,1.080593527012362,58,648941.3036704063
11,3300000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,57,0.9999999999999998,1.1143685472676483,1.0284008708478451,1.0,1.0964583148902527,57,640833.8188230991
12,3600000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,22,1.0,1.0901559689376892,1.0334087612444092,1.0258875326685293,1.085180407587412,22,639363.1263077259
13,3900000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,67,0.9999999999999997,1.0732500048141187,1.0275718240677896,1.0230856046234105,1.0665758279572592,67,638576.6618773341
