time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,631792.0837616548
1,60000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,634106.0346560553
2,120000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,633175.5855549127
3,180000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,628437.7001011744
4,240000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,634765.6005565077
5,300000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,630339.1951993108
6,360000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,630586.7418181151
7,420000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,628656.8194907159
8,480000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,630411.2475672737
9,540000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,636656.5666459501
