time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,639608.405132778
1,60000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,641892.7615312859
2,120000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,639249.5886487886
3,180000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999996,1.0,1.0,1.0,1.0,8,639911.0371973366
4,240000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,10,633443.1125903502
5,300000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,637853.468474932
6,360000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,4,639347.4809350446
7,420000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,637611.3699590787
8,480000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,639938.5396577418
9,540000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,644260.7166776434
10,600000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,638209.7202679142
11,660000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0,1.0,1.0,1.0,18,635745.797415264
12,720000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,640458.6488632485
13,780000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,638213.1454218179
14,840000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0000000000000002,1.0,1.0,1.0,14,634256.2665930018
15,900000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,634703.2664315775
16,960000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999999,1.0,1.0,1.0,1.0,8,639889.9223469198
17,1020000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,639471.8196792528
18,1080000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,8,641307.2592262179
19,1140000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,640060.8088076115
20,1200000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,640089.8345820606
21,1260000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0000000000000004,1.0000000000000002,1.0,1.0000000000000004,4,640223.8690983504
22,1320000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,633061.7155190557
23,1380000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,639593.2628046721
24,1440000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,639978.7337416783
25,1500000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,6,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,6,639988.7781133875
26,1560000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,633956.7450573668
27,1620000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,0.9999999999999998,1.0,1.0,1.0,1.0,10,633889.1041157767
28,1680000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,633886.6250924766
29,1740000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,8,633722.3958065733
30,1800000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,16,0.9999999999999999,1.0,1.0,1.0,1.0,16,635663.6286396533
31,1860000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999999,1.0,1.0,1.0,1.0,8,635958.0054571852
32,1920000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,636182.0737076923
33,1980000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0000000000000002,1.0,1.0,1.0,14,633064.5640511066
34,2040000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999999,1.0,1.0,1.0,1.0,12,633003.830450587
35,2100000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,10,624514.3373142928
36,2160000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,624240.2990879491
37,2220000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,624456.1214707792
38,2280000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999999,1.0,1.0,1.0,1.0,12,632188.9846855775
39,2340000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,630548.0256527662
40,2400000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,2,630319.2594954744
41,2460000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,10,630112.4797947705
42,2520000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,630645.0585247949
43,2580000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,633832.1352247149
44,2640000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,6,631586.18496079
45,2700000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,631715.4017454013
46,2760000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,631531.0001512989
47,2820000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,2,621434.5130864531
48,2880000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999999,1.0,1.0,1.0,1.0,8,633270.8334457129
49,2940000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,20,1.0,1.0000000000000002,1.0,1.0,1.0,20,631302.3985559121
50,3000000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,6,621774.4705444202
51,3060000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,620759.8069133237
52,3120000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,18,0.9999999999999999,1.0,1.0,1.0,1.0,18,622091.2721771747
53,3180000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,630261.929073371
54,3240000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,628929.0474765003
55,3300000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,628951.6920335591
56,3360000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,10,0.9999999999999999,1.0,1.0,1.0,1.0,10,629200.2441668883
57,3420000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,12,629383.5764443502
58,3480000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,639151.6471188515
59,3540000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,633003.959079273
60,3600000000000,5184.0,5184.0,5184.0,5184.0,5184.0,5184,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999999,1.0,1.0,1.0,1.0,8,628523.0280281976
