time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,4.0,8.0,4.241126543209877,4.0,5.0,5184,1.0,3.7777777777777777,1.3135420193692304,1.0,2.6923076923076925,552,0.9999999999999998,4.253089703297655,1.4148688080069551,1.1559335903122254,2.7515831340031696,552,45089.368996210396
1,60000000000,4.0,8.0,4.241898148148148,4.0,5.0,5184,1.0,5.153846153846154,1.2396921230822027,1.0,2.393303571428566,552,0.9999999999999998,5.2593151686237185,1.3467132428577773,1.1393746280797639,2.50307236334914,552,42530.412731692195
2,120000000000,4.0,8.0,4.2409336419753085,4.0,5.0,5184,1.0,4.333333333333333,1.4749518159438537,1.0,3.0,552,0.9999999999999998,4.543283677387485,1.5877457967372117,1.2015238657722023,3.082766743882586,552,44525.58554150164
3,180000000000,4.0,8.0,4.239776234567901,4.0,5.0,5184,1.0,5.0,1.4332277580034967,1.0,2.9084886128364382,552,0.9999999999999996,4.523559439661823,1.5455845498755014,1.2132409892124896,2.96348258556148,552,45810.084477998316
4,240000000000,4.0,8.0,4.240547839506172,4.0,5.0,5184,1.0,4.0,1.3638007515584496,1.0,2.8363333333333327,552,0.9999999999999998,4.356296575788896,1.463245881258714,1.172768652884058,2.819043267752386,552,42033.876213245094
5,300000000000,4.0,8.0,4.241898148148148,4.0,5.0,5184,1.0,5.153846153846154,1.4393152807879896,1.0,2.8327777777777694,552,0.9999999999999997,5.305282041285173,1.5669994371442428,1.2122704309191392,3.0853559206456245,552,41539.43097870797
6,360000000000,4.0,8.0,4.24266975308642,4.0,5.0,5184,1.0,5.0,1.5751952133846725,1.0416666666666667,3.09782608695652,552,0.9999999999999998,5.229262665972221,1.6900297166433247,1.2475159129884221,3.296997838672713,552,42963.53019494563
7,420000000000,4.0,8.0,4.239969135802469,4.0,5.0,5184,1.0,4.481481481481482,1.476147055727061,1.03125,3.0,552,0.9999999999999997,4.328976018933982,1.587062251527881,1.2637841424997889,3.0717518078875523,552,43135.35513356328
8,480000000000,4.0,8.0,4.239776234567901,4.0,5.0,5184,1.0,5.153846153846154,1.3288919855054382,1.0,2.6923076923076925,552,0.9999999999999996,5.330768263968493,1.4200681420758379,1.1421499014205918,2.7170386638369304,552,43520.348988473415
9,540000000000,4.0,8.0,4.239969135802469,4.0,5.0,5184,1.0,3.888888888888889,1.2938126006714228,1.0,2.5001290322580623,552,0.9999999999999997,4.253586428771909,1.4246838772031545,1.1416781518797887,2.78046747568487,552,39762.34807725996
10,600000000000,4.0,8.0,4.240354938271605,4.0,5.0,5184,1.0,5.7272727272727275,1.5410065509298505,1.054054054054054,3.1052631578947367,552,0.9999999999999998,6.664510397453959,1.6598761898772947,1.2625666627796073,3.2879273123396544,552,42593.38153619319
