time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,2.0,6.0,2.2411265432098766,2.0,3.0,5184,1.0,1.1714285714285715,1.0470899470899473,1.0,1.1714285714285715,12,1.0,1.171720523769388,1.0471201488922115,1.0,1.1717205237693877,12,31503.548526205122
1,60000000000,2.0,6.0,2.2418981481481484,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,29471.861500293016
2,120000000000,2.0,6.0,2.2409336419753085,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,29881.587425246835
3,180000000000,2.0,6.0,2.239776234567901,2.0,3.0,5184,1.0,2.619047619047619,1.4047619047619047,1.0,2.619047619047619,8,0.9999999999999996,2.6358691967458814,1.4089672991864703,1.0,2.6358691967458814,8,31178.822733461857
4,240000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,1.2352941176470589,1.0470588235294116,1.0,1.2352941176470589,10,0.9999999999999999,1.2357653636845263,1.0471530727369054,1.0,1.2357653636845263,10,29094.28616426885
5,300000000000,2.0,6.0,2.2418981481481484,2.0,3.0,5184,1.0,1.1111111111111112,1.037037037037037,1.0,1.1111111111111112,6,1.0,1.1107893646440075,1.036929788214669,1.0,1.1107893646440075,6,28547.953063622117
6,360000000000,2.0,6.0,2.2426697530864197,2.0,3.0,5184,1.0,2.619047619047619,1.8095238095238093,1.8095238095238095,2.619047619047619,4,1.0,2.6378076037661105,1.8189038018830548,1.8189038018830548,2.6378076037661105,4,29980.86448851973
7,420000000000,2.0,6.0,2.239969135802469,2.0,3.0,5184,1.0,2.619047619047619,1.3238095238095238,1.0,2.619047619047619,10,1.0,2.635088565221095,1.327017713044219,1.0,2.635088565221095,10,30190.831654705107
8,480000000000,2.0,6.0,2.239776234567901,2.0,3.0,5184,1.0,1.2352941176470589,1.0336134453781511,1.0,1.2352941176470589,14,1.0,1.2355815133391939,1.0336545019055992,1.0,1.2355815133391936,14,30488.340681418777
9,540000000000,2.0,6.0,2.239969135802469,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,26843.971609137952
10,600000000000,2.0,6.0,2.240354938271605,2.0,3.0,5184,1.0,3.0,1.8455988455988457,1.7272727272727273,3.0,12,1.0,3.0267227118127242,1.8559370512389097,1.735404194708045,3.026722711812724,12,29598.86610787362
11,660000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0,1.0,1.0,1.0,18,29741.305088624358
12,720000000000,2.0,6.0,2.240354938271605,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,29990.371335297823
13,780000000000,2.0,6.0,2.2415123456790123,2.0,3.0,5184,1.0,3.0,1.8636363636363638,1.7272727272727273,3.0,8,1.0,3.020790175550772,1.871905078572184,1.7334150693689823,3.0207901755507716,8,27786.985491402447
14,840000000000,2.0,6.0,2.2426697530864197,2.0,3.0,5184,1.0,3.0,1.3623995052566482,1.0,2.7523809523809524,14,1.0,3.027764342640347,1.3667497362637848,1.0,2.772658628150684,14,27905.95292672515
15,900000000000,2.0,6.0,2.239969135802469,2.0,3.0,5184,1.0,1.054054054054054,1.0090090090090091,1.0,1.054054054054054,12,1.0,1.0536988750153333,1.0089498125025556,1.0,1.0536988750153333,12,29613.846205174923
16,960000000000,2.0,6.0,2.240354938271605,2.0,3.0,5184,1.0,1.054054054054054,1.0135135135135136,1.0,1.054054054054054,8,0.9999999999999999,1.0535318750314788,1.0133829687578697,1.0,1.0535318750314788,8,30868.443857878447
17,1020000000000,2.0,6.0,2.2393904320987654,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,28943.29153932631
18,1080000000000,2.0,6.0,2.2391975308641974,2.0,3.0,5184,1.0,4.066666666666666,1.7801801801801802,1.027027027027027,4.066666666666666,8,0.9999999999999996,4.120380883580258,1.7935163838766859,1.0268423259632429,4.120380883580258,8,30847.581623122096
19,1140000000000,2.0,6.0,2.242091049382716,2.0,3.0,5184,1.0,1.1714285714285715,1.0560989560989562,1.027027027027027,1.1714285714285715,12,1.0,1.1717394669491767,1.0560699380421106,1.026832327579318,1.1717394669491765,12,30393.285271711648
20,1200000000000,2.0,6.0,2.2417052469135803,2.0,3.0,5184,1.0,1.375,1.0625,1.0,1.28125,6,1.0,1.3765054667847156,1.062750911130786,1.0,1.2823791000885367,6,28555.14602456242
21,1260000000000,2.0,6.0,2.240162037037037,2.0,3.0,5184,1.0,1.1111111111111112,1.0555555555555556,1.0555555555555556,1.1111111111111112,4,1.0,1.1110548016528223,1.0555274008264113,1.0555274008264113,1.1110548016528223,4,29095.467167906463
22,1320000000000,2.0,6.0,2.23804012345679,2.0,3.0,5184,1.0,4.066666666666666,1.6241441441441442,1.0,4.066666666666666,10,1.0,4.117256773384957,1.6341857623908325,1.0,4.117256773384956,10,30231.746905483305
23,1380000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,2.1666666666666665,1.280392156862745,1.0,2.1666666666666665,10,1.0,2.1747771586628413,1.2820873846806138,1.0,2.1747771586628413,10,29718.87088753283
24,1440000000000,2.0,6.0,2.240354938271605,2.0,3.0,5184,1.0,1.1111111111111112,1.0555555555555556,1.0555555555555556,1.1111111111111112,4,1.0,1.11107242182798,1.0555362109139899,1.0555362109139899,1.11107242182798,4,27867.487330920994
25,1500000000000,2.0,6.0,2.2415123456790123,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,6,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,6,27783.41453988105
26,1560000000000,2.0,6.0,2.2411265432098766,2.0,3.0,5184,1.0,4.066666666666666,2.226002473061296,2.1176470588235294,4.066666666666666,12,1.0,4.107933451345277,2.239364606100128,2.125385007760967,4.107933451345276,12,30939.733213745058
27,1620000000000,2.0,6.0,2.2391975308641974,2.0,3.0,5184,1.0,1.2352941176470589,1.0578696343402227,1.0,1.2352941176470589,10,1.0,1.2354651372985288,1.0578008805223496,1.0,1.2354651372985288,10,30226.521708071232
28,1680000000000,2.0,6.0,2.2418981481481484,2.0,3.0,5184,1.0,1.1111111111111112,1.0555555555555556,1.0555555555555556,1.1111111111111112,4,1.0,1.1110865954829985,1.0555432977414991,1.0555432977414991,1.1110865954829985,4,28483.778808265924
29,1740000000000,2.0,6.0,2.240162037037037,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,8,29685.51003560424
30,1800000000000,2.0,6.0,2.240354938271605,2.0,3.0,5184,1.0,1.7142857142857142,1.1254542357483532,1.0,1.7142857142857142,16,0.9999999999999999,1.7155424523692242,1.1256242110072092,1.0,1.715542452369223,16,30313.296737149358
31,1860000000000,2.0,6.0,2.2391975308641974,2.0,3.0,5184,1.0,1.054054054054054,1.0135135135135136,1.0,1.054054054054054,8,0.9999999999999999,1.053542033224273,1.0133855083060683,1.0,1.053542033224273,8,31203.45374569297
32,1920000000000,2.0,6.0,2.240740740740741,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,27794.20601390302
33,1980000000000,2.0,6.0,2.2411265432098766,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0000000000000002,1.0,1.0,1.0,14,28147.41663634777
34,2040000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,4.846153846153846,1.3295218295218296,1.0,2.760498960498958,12,0.9999999999999999,4.924860039287499,1.336019104198997,1.0,2.7957135507319997,12,29915.877260267735
35,2100000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,4.846153846153846,1.8550415800415798,1.054054054054054,4.846153846153846,10,0.9999999999999999,4.929072955280975,1.8718413680314672,1.053488326252154,4.929072955280975,10,29194.17211227119
36,2160000000000,2.0,6.0,2.2417052469135803,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,28769.352686591446
37,2220000000000,2.0,6.0,2.2395833333333335,2.0,3.0,5184,1.0,5.333333333333333,2.0968468468468466,1.027027027027027,5.333333333333333,8,1.0,5.429394879248536,2.1207734064831194,1.0268493733419715,5.429394879248536,8,31443.197161890566
