time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.7083333333333334,17.0,0.7083333333333334,0.0024149365628604383,0.0,0.6956521739130435,0.0,0.3468858131487889,0.0,0.36764705882352944,0.0,0.0,0.0,0.7145328719723183,0.0,33.0,0.028546712802768166
2,120000000000,0.6666666666666666,16.0,0.6666666666666666,0.0024509803921568627,0.0,0.6521739130434783,0.0,0.32525951557093424,0.0,0.3044982698961938,0.0,0.0,0.0,0.629757785467128,0.0,30.0,0.025951557093425604
3,180000000000,0.75,18.0,0.75,0.16864907727797002,0.0,0.75,0.0,0.3477508650519031,0.0,0.3685121107266436,0.0,0.13408304498269896,0.0,0.8503460207612457,0.0,40.0,0.03460207612456748
4,240000000000,0.7083333333333334,17.0,0.7083333333333334,0.0023428489042675894,0.0,0.6956521739130435,0.0,0.3468858131487889,0.0,0.3468858131487889,0.0,0.0,0.0,0.6937716262975778,0.0,33.0,0.028546712802768166
5,300000000000,0.6666666666666666,16.0,0.6666666666666666,0.002378892733564014,0.0,0.6539855072463768,0.0,0.32525951557093424,0.0,0.3044982698961938,0.0,0.0,0.0,0.629757785467128,0.0,30.0,0.025951557093425604
6,360000000000,0.75,18.0,0.75,0.16785611303344866,0.0,0.7481884057971014,0.0,0.3477508650519031,0.0,0.3685121107266436,0.0,0.13321799307958476,0.0,0.8494809688581315,0.0,40.0,0.03460207612456748
7,420000000000,0.7083333333333334,17.0,0.7083333333333334,0.0022707612456747406,0.0,0.697463768115942,0.0,0.3468858131487889,0.0,0.3468858131487889,0.0,0.0,0.0,0.6937716262975778,0.0,33.0,0.028546712802768166
8,480000000000,0.6666666666666666,16.0,0.6666666666666666,0.002631199538638985,0.0,0.6594202898550725,0.0,0.3460207612456747,0.0,0.32525951557093424,0.0,0.0,0.0,0.671280276816609,0.0,31.0,0.026816608996539794
9,540000000000,0.7083333333333334,17.0,0.7083333333333334,0.16890138408304498,0.0,0.7246376811594203,0.0,0.32612456747404844,0.0,0.3468858131487889,0.0,0.15311418685121106,0.0,0.8261245674740484,0.0,39.0,0.03373702422145329
10,600000000000,0.7083333333333334,17.0,0.7083333333333334,0.002126585928489043,0.0,0.6956521739130435,0.0,0.3468858131487889,0.0,0.3468858131487889,0.0,0.0,0.0,0.6937716262975778,0.0,33.0,0.028546712802768166
11,660000000000,0.75,18.0,0.75,0.002775374855824683,0.0,0.7391304347826086,0.0,0.3892733564013841,0.0,0.3685121107266436,0.0,0.0,0.0,0.7577854671280276,0.0,35.0,0.03027681660899654
12,720000000000,0.7083333333333334,17.0,0.7083333333333334,0.17059544405997693,0.0,0.7264492753623188,0.0,0.32612456747404844,0.0,0.3468858131487889,0.0,0.1522491349480969,0.0,0.8252595155709342,0.0,39.0,0.03373702422145329
13,780000000000,0.7083333333333334,17.0,0.7083333333333334,0.002234717416378316,0.0,0.697463768115942,0.0,0.3468858131487889,0.0,0.3468858131487889,0.0,0.0,0.0,0.6937716262975778,0.0,33.0,0.028546712802768166
14,840000000000,0.7083333333333334,17.0,0.7083333333333334,0.0028114186851211074,0.0,0.697463768115942,0.0,0.36764705882352944,0.0,0.3468858131487889,0.0,0.0,0.0,0.7145328719723183,0.0,33.0,0.028546712802768166
15,900000000000,0.6666666666666666,16.0,0.6666666666666666,0.17456026528258362,0.0,0.677536231884058,0.0,0.3044982698961938,0.0,0.32525951557093424,0.0,0.17214532871972318,0.0,0.8019031141868512,0.0,38.0,0.0328719723183391
16,960000000000,0.6666666666666666,16.0,0.6666666666666666,0.002126585928489043,0.0,0.6594202898550725,0.0,0.32525951557093424,0.0,0.32525951557093424,0.0,0.0,0.0,0.6505190311418685,0.0,31.0,0.026816608996539794
17,1020000000000,0.7916666666666666,19.0,0.7916666666666666,0.0029195501730103807,0.0,0.7789855072463768,0.0,0.4108996539792388,0.0,0.39013840830449825,0.0,0.0,0.0,0.801038062283737,0.0,37.0,0.03200692041522491
18,1080000000000,0.75,18.0,0.75,0.18959054209919263,0.0,0.7536231884057971,0.0,0.3477508650519031,0.0,0.3685121107266436,0.0,0.13494809688581316,0.0,0.8512110726643599,0.0,40.0,0.03460207612456748
19,1140000000000,0.625,15.0,0.625,0.002018454440599769,0.0,0.6177536231884058,0.0,0.3036332179930796,0.0,0.3036332179930796,0.0,0.0,0.0,0.6072664359861591,0.0,29.0,0.025086505190311418
20,1200000000000,0.9166666666666666,22.0,0.9166666666666666,0.0030637254901960784,0.0,0.9021739130434783,0.0,0.4757785467128028,0.0,0.45501730103806226,0.0,0.0,0.0,0.9307958477508651,0.0,43.0,0.037197231833910036
21,1260000000000,0.625,15.0,0.625,0.17045126874279123,0.0,0.6503623188405797,0.0,0.2828719723183391,0.0,0.3036332179930796,0.0,0.19290657439446368,0.0,0.7794117647058824,0.0,37.0,0.03200692041522491
