time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,68350.63104517758
1,60000000000,24.0,24.0,24.0,24.0,24.0,1156,0.11538461538461539,6.8,1.1570613926122655,1.0,2.4788461538461513,552,0.12663199257736396,6.862419090512902,1.1427911748918504,1.0,2.2583174033385363,552,76.64343900978565
2,120000000000,24.0,24.0,24.0,24.0,24.0,1156,0.13636363636363635,5.75,1.1465167922040373,1.0,2.5,552,0.10895685451754508,8.597757656617135,1.1721157577786891,1.0244447915317179,2.4207879401248347,552,117.19935666769743
3,180000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,68515.81003982574
4,240000000000,24.0,24.0,24.0,24.0,24.0,1156,0.11538461538461539,6.8,1.1553859343890154,1.0,2.452136752136751,552,0.09842571076375464,6.8990594293416585,1.143045636415607,1.0,2.264529737198731,552,79.31674085557461
5,300000000000,24.0,24.0,24.0,24.0,24.0,1156,0.13636363636363635,5.75,1.1475696112216636,1.0,2.5204545454545424,552,0.10795772134935055,8.496143411341578,1.1732773379147936,1.023069170102905,2.502648675708026,552,73.10573942959309
6,360000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,69264.40711133182
7,420000000000,24.0,24.0,24.0,24.0,24.0,1156,0.11538461538461539,6.8,1.1350900376999955,1.0,2.3636363636363638,552,0.09747225800511937,6.923482237359888,1.1222819458636295,1.0,2.1315772114153253,552,112.64532525092363
8,480000000000,24.0,24.0,24.0,24.0,24.0,1156,0.13636363636363635,6.25,1.1344540139637183,1.0333333333333334,2.3333333333333335,552,0.10755966553444087,5.882965783408791,1.1502857008017358,1.0528405606124303,2.1775792868034363,552,77.72654388099909
9,540000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,66631.92510604858
10,600000000000,24.0,24.0,24.0,24.0,24.0,1156,0.11538461538461539,6.8,1.1535388577596857,1.0,2.3799999999999977,552,0.09666697802924827,6.935640669479627,1.1403987350874796,1.0,2.2746053685349947,552,75.01812372356653
11,660000000000,24.0,24.0,24.0,24.0,24.0,1156,0.13636363636363635,6.25,1.1051686696493133,1.0,2.3076923076923075,552,0.1074076345450437,5.881023838675139,1.1255217296239401,1.0448797747827276,2.158418975590981,552,74.1906389594078
12,720000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,67099.8696219176
13,780000000000,24.0,24.0,24.0,24.0,24.0,1156,0.11538461538461539,6.8,1.1167531913208832,1.0,2.3034615384615376,552,0.09602611062891199,6.935951459094959,1.1117139603415052,1.0,2.058519488558271,552,110.98202783614397
14,840000000000,24.0,24.0,24.0,24.0,24.0,1156,0.13636363636363635,6.333333333333333,1.090120085433977,1.0,2.1287499999999993,552,0.13610220774670506,9.965561520098992,1.1263651519146762,1.032548988842053,1.9966048974714647,552,74.90644697099924
15,900000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,67286.11540049314
16,960000000000,24.0,24.0,24.0,24.0,24.0,1156,0.11538461538461539,6.8,1.130918826877542,1.0,2.332867132867129,552,0.09556708328970025,6.9250223952601075,1.1232611954414482,1.0,2.125838741014941,552,78.44099495559931
17,1020000000000,24.0,24.0,24.0,24.0,24.0,1156,0.13793103448275862,7.0,1.175636061919173,1.0,2.5449999999999933,552,0.15720016124280972,9.954171344087579,1.2183098050795933,1.0607876451434288,2.4737751024380468,552,110.33815518021584
18,1080000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,66516.71379897743
19,1140000000000,24.0,24.0,24.0,24.0,24.0,1156,0.11538461538461539,6.8,1.115863811753326,1.0,2.2,552,0.09530450539396423,6.903927587104441,1.1052732637429719,1.0,2.0794689358698526,552,109.41691976040602
20,1200000000000,24.0,24.0,24.0,24.0,24.0,1156,0.13793103448275862,7.0,1.168478957804301,1.0357142857142858,2.3333333333333335,552,0.10958580597204158,7.700261758089985,1.1983671256047486,1.0731687556193075,2.215851050225444,552,72.6617593318224
21,1260000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,66438.06825671345
22,1320000000000,24.0,24.0,24.0,24.0,24.0,1156,0.11538461538461539,5.75,1.111324171560292,1.0,2.2857142857142856,552,0.09525132544272602,6.873735012592664,1.1019921980885683,1.0,2.035807924173263,552,74.90322086960077
23,1380000000000,24.0,24.0,24.0,24.0,24.0,1156,0.13793103448275862,7.0,1.1566228461446495,1.0344827586206897,2.3333333333333335,552,0.11040489078693351,7.759919145286414,1.192132462163448,1.0717090542104162,2.223224127149903,552,111.9298916310072
24,1440000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,67705.71035798639
25,1500000000000,24.0,24.0,24.0,24.0,24.0,1156,0.125,6.333333333333333,1.1095844237517987,1.0,2.1535714285714267,552,0.09541994458424502,7.315893653481631,1.0973361091474627,1.0,1.991609184962014,552,82.16980844736099
26,1560000000000,24.0,24.0,24.0,24.0,24.0,1156,0.13793103448275862,5.25,1.139192618733563,1.0,2.3333333333333335,552,0.1260401099574766,5.745258174143564,1.1695438743941948,1.062432871381504,2.2755500651671716,552,74.82591550797224
27,1620000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,66717.04126428813
28,1680000000000,24.0,24.0,24.0,24.0,24.0,1156,0.125,7.666666666666667,1.1757164173043326,1.0,2.616363636363634,552,0.09603935457421828,8.405132200293847,1.1562209196155895,1.0010311154526081,2.409458480294574,552,74.27533529698849
29,1740000000000,24.0,24.0,24.0,24.0,24.0,1156,0.13333333333333333,6.4,1.1646392040881288,1.0,2.575384615384613,529,0.12527722215132037,5.780783453410813,1.1855816021198284,1.0364892744626744,2.4898725893134475,529,105.55921215564013
30,1800000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,66410.5566078797
31,1860000000000,24.0,24.0,24.0,24.0,24.0,1156,0.125,8.333333333333334,1.180834713304651,1.0,2.6363636363636362,552,0.09694337221217895,8.433113398377877,1.1610063397141464,1.0011687676967589,2.4286548000663375,552,74.84872546046972
32,1920000000000,24.0,24.0,24.0,24.0,24.0,1156,0.14285714285714285,6.4,1.1686234545613314,1.0,2.65,506,0.12465758692010007,5.814317624050688,1.1881083750623849,1.022557053677702,2.556560269051036,506,77.29314919561148
33,1980000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,66515.94831701368
34,2040000000000,24.0,24.0,24.0,24.0,24.0,1156,0.125,7.0,1.1851949021663382,1.0,2.6363636363636362,552,0.09808907899631816,6.966034154733817,1.165389333090481,1.0035844672608,2.441559088275558,552,108.8658133521676
35,2100000000000,24.0,24.0,24.0,24.0,24.0,1156,0.14285714285714285,6.4,1.1606884131289859,1.0,2.5599999999999965,529,0.12419789667987743,5.846023875347533,1.1831749775078246,1.017962591805997,2.4772475438110626,529,76.55353099107742
36,2160000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,66616.08617287129
37,2220000000000,24.0,24.0,24.0,24.0,24.0,1156,0.125,7.0,1.157815864923365,1.0,2.616363636363634,552,0.09947577512990184,7.0410006644111744,1.1443610495090417,1.0045017197001804,2.4057948567156497,552,74.85574390739202
38,2280000000000,24.0,24.0,24.0,24.0,24.0,1156,0.14285714285714285,6.666666666666667,1.1602787697250154,1.0,2.5599999999999965,529,0.12391592277349366,9.233635837351946,1.1938438977242862,1.0461765298608898,2.490523938250402,529,78.91902700066566
39,2340000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,66641.03817008436
40,2400000000000,24.0,24.0,24.0,24.0,24.0,1156,0.125,7.0,1.1631948667449534,1.0,2.6816666666666644,552,0.10109978450208087,7.103535333984788,1.147676227380026,1.0039352118765996,2.4777844342584654,552,106.07381258159876
41,2460000000000,24.0,24.0,24.0,24.0,24.0,1156,0.14285714285714285,6.666666666666667,1.1497053298716167,1.0,2.48181818181818,529,0.12382717904005379,9.303326347287895,1.1764979502385042,1.0367024247603256,2.403489496580091,529,78.74294277280569
42,2520000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,66751.8553584814
