time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,explicit_failover_dynamic_egress_repair_count,explicit_failover_dynamic_egress_repair_rate,explicit_failover_dynamic_egress_unavailable_count,explicit_failover_dynamic_egress_unavailable_rate,compute_time_ms
0,0,4.0,32.0,4.810553633217993,4.0,6.0,1156,0.0,124.0,60.231884057971016,60.0,96.0,552,0.0,424.0,170.6231884057971,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0582039430737
1,60000000000,4.0,32.0,4.788062283737024,4.0,6.0,1156,0.0,120.0,60.95652173913044,60.0,100.0,552,0.0,408.0,173.91304347826087,168.0,328.0,552,1.0,1.1818181818181819,1.0003293807641636,1.0,1.0,552,0.9999999999999997,1.1476684585355372,1.0020551989036135,1.0,1.0117512892934417,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.2391304347826087,0.0,0.0,457.39218196831644
2,120000000000,4.0,32.0,4.8088235294117645,4.0,6.0,1156,0.0,128.0,61.471014492753625,60.0,100.0,552,0.0,440.0,175.84057971014494,168.0,328.0,552,1.0,1.1818181818181819,1.000921808666374,1.0,1.0,552,0.9999999999999997,1.1448127435945001,1.003521450745894,1.0,1.0281516482025324,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.4329710144927536,0.0,0.0,512.1484939008951
3,180000000000,4.0,32.0,4.786332179930795,4.0,6.0,1156,0.0,124.0,60.34782608695652,60.0,96.0,552,0.0,424.0,171.34782608695653,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.9528340436518
4,240000000000,4.0,32.0,4.782006920415225,4.0,6.0,1156,0.0,120.0,61.22463768115942,60.0,100.0,552,0.0,408.0,174.85507246376812,168.0,328.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.055878236410339,1.0016968303071285,1.0,1.0100560114201778,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.21739130434782608,0.0,0.0,449.7794359922409
5,300000000000,4.0,32.0,4.813148788927336,4.0,6.0,1156,0.0,128.0,61.78260869565217,64.0,100.0,552,0.0,440.0,176.82608695652175,184.0,328.0,552,1.0,1.2857142857142858,1.0016906654134914,1.0,1.0,552,0.9999999999999997,1.3268585131792574,1.0044178826478851,1.0,1.0280796281509217,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.4057971014492754,0.0,0.0,516.9815567787737
6,360000000000,4.0,31.0,4.7854671280276815,4.0,6.0,1156,0.0,124.0,60.405797101449274,60.0,96.0,552,0.0,424.0,171.44927536231884,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.5225381311029
7,420000000000,4.0,32.0,4.7854671280276815,4.0,6.0,1156,0.0,120.0,61.528985507246375,60.0,100.0,552,0.0,408.0,175.94202898550725,168.0,328.0,552,1.0,1.1666666666666667,1.0003019323671496,1.0,1.0,552,0.9999999999999997,1.144612170538067,1.0018062344973109,1.0,1.01180182594492,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.18297101449275363,0.0,0.0,442.7478408906609
8,480000000000,4.0,32.0,4.813148788927336,4.0,6.0,1156,0.0,128.0,61.369565217391305,60.0,100.0,552,0.0,440.0,175.04347826086956,168.0,328.0,552,1.0,1.1111111111111112,1.000373821025995,1.0,1.0,552,0.9999999999999998,1.083622706976468,1.003627145323514,1.0,1.0279137416233701,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.375,0.0,0.0,501.56644312664866
9,540000000000,4.0,31.0,4.780276816608996,4.0,6.0,1156,0.0,124.0,60.427536231884055,60.0,96.0,552,0.0,424.0,171.53623188405797,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0088978298008
10,600000000000,4.0,32.0,4.788927335640138,4.0,6.0,1156,0.0,120.0,61.731884057971016,60.0,100.0,552,0.0,408.0,176.8840579710145,168.0,328.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0660482144702075,1.0018519934289656,1.0,1.0152446961513197,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.1503623188405797,0.0,0.0,507.8610619530082
11,660000000000,4.0,32.0,4.810553633217993,4.0,6.0,1156,0.0,128.0,61.31159420289855,60.0,100.0,552,0.0,440.0,174.68115942028984,168.0,328.0,552,1.0,1.1111111111111112,1.000373821025995,1.0,1.0,552,0.9999999999999998,1.0831122700583942,1.004046413004912,1.0,1.0282321643574108,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.37318840579710144,0.0,0.0,517.068682005629
