time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,12,8711.22773643583
1,60000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,1.0,7,19.69658024609089
2,120000000000,24.0,24.0,24.0,24.0,24.0,1156,0.8333333333333334,1.0625,0.9479166666666667,0.9479166666666667,1.0510416666666667,2,0.8761390462695678,1.0745666058555838,0.9753528260625759,0.9753528260625759,1.064645227876283,2,20.967381075024605
3,180000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,8711.423728615046
4,240000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,1.0,7,19.98555287718773
5,300000000000,24.0,24.0,24.0,24.0,24.0,1156,0.8333333333333334,1.0625,0.9479166666666667,0.9479166666666667,1.0510416666666667,2,0.8759614195372731,1.075131927235957,0.975546673386615,0.975546673386615,1.0651734018510228,2,19.265957176685333
6,360000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,14,8659.887452609837
7,420000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,1.0,7,45.310999266803265
8,480000000000,24.0,24.0,24.0,24.0,24.0,1156,0.8333333333333334,1.0625,0.941468253968254,0.9285714285714286,1.0491071428571428,3,0.8757124602467705,1.0756336721398356,0.970519657004567,0.9602128386270948,1.0640915887885616,3,19.223278388381004
9,540000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999998,1.0,1.0,1.0,1.0,14,8681.851363740861
10,600000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,7,43.25880017131567
11,660000000000,24.0,24.0,24.0,24.0,24.0,1156,0.8571428571428571,1.1428571428571428,1.0208333333333333,1.0625,1.1348214285714284,3,0.9136992128280568,1.1954469147769196,1.0617367911043891,1.0760642457081908,1.1835086478700467,3,20.756639540195465
12,720000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0000000000000002,1.0,1.0,1.0,14,8644.15608625859
13,780000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0000000000000004,1.0,1.0,1.0000000000000002,7,48.60198311507702
14,840000000000,24.0,24.0,24.0,24.0,24.0,1156,0.8571428571428571,1.1428571428571428,1.0383522727272727,1.0767045454545454,1.1350649350649349,4,0.91416012507097,1.1956172029687329,1.0792558097118994,1.1036229554039472,1.1858980274944664,4,20.110027864575386
15,900000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,16,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,16,8687.035968527198
16,960000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,20.91692667454481
17,1020000000000,24.0,24.0,24.0,24.0,24.0,1156,0.9090909090909091,1.0909090909090908,1.0196078431372548,1.0588235294117647,1.0877005347593582,3,0.9619475978542437,1.1323488471479055,1.0594005018390928,1.0839050605151288,1.1275044684846278,3,43.4013782069087
18,1080000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999998,1.0,1.0,1.0,1.0,14,8693.80338769406
19,1140000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,1.0,9,19.70330812036991
20,1200000000000,24.0,24.0,24.0,24.0,24.0,1156,0.875,1.0909090909090908,0.9834558823529411,0.9839572192513368,1.0860962566844918,4,0.9223146534509786,1.1336909676476143,1.0255858489360674,1.0231688873228384,1.1262896721811055,4,43.749998323619366
21,1260000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,18,0.9999999999999998,1.0,1.0,1.0,1.0,18,8706.938742659986
22,1320000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999998,1.0,1.0,1.0,1.0,8,21.21472079306841
23,1380000000000,24.0,24.0,24.0,24.0,24.0,1156,0.875,1.0909090909090908,0.9762383900928793,0.9473684210526315,1.0844919786096257,5,0.9237919754051963,1.134800825336689,1.0123240705881371,0.9619004913047995,1.124792631236756,5,47.361159697175026
24,1440000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,8780.666402541101
25,1500000000000,24.0,24.0,24.0,24.0,24.0,1156,0.9285714285714286,1.0,0.9821428571428572,1.0,1.0,4,0.9464369239514654,1.0,0.9866092309878663,1.0,1.0,4,20.269742235541344
26,1560000000000,24.0,24.0,24.0,24.0,24.0,1156,0.875,1.0909090909090908,0.9762383900928793,0.9473684210526315,1.0844919786096257,5,0.9251722285296856,1.1578827309452973,1.0173133237391903,0.9616909861012135,1.1433332094752784,5,22.22936600446701
27,1620000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,8731.973824091256
28,1680000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,2,20.098213106393814
29,1740000000000,24.0,24.0,24.0,24.0,24.0,1156,0.9473684210526315,1.0909090909090908,1.0323670137911625,1.0588235294117647,1.0877005347593582,3,0.9570174524090485,1.1584340726050548,1.0669736960133436,1.0854695630259268,1.151137621647142,3,20.717904902994633
30,1800000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,8711.479179561138
31,1860000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,4,19.826476462185383
32,1920000000000,24.0,24.0,24.0,24.0,24.0,1156,0.9473684210526315,1.0909090909090908,1.0323670137911625,1.0588235294117647,1.0877005347593582,3,0.9573582999353308,1.1587697761453488,1.0672951842660483,1.0857574767174654,1.1514685462025605,3,22.1160976216197
33,1980000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,8724.540714174509
34,2040000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,20.035047084093094
35,2100000000000,24.0,24.0,24.0,24.0,24.0,1156,0.9473684210526315,1.0909090909090908,1.0337059225604117,1.0588235294117647,1.087012987012987,5,0.9577053774625051,1.158898915706759,1.060515715232693,1.0859980526003357,1.1471143786441802,5,21.384711377322674
36,2160000000000,24.0,24.0,24.0,24.0,24.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,14,8788.607435300946
