time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,explicit_failover_dynamic_egress_repair_count,explicit_failover_dynamic_egress_repair_rate,explicit_failover_dynamic_egress_unavailable_count,explicit_failover_dynamic_egress_unavailable_rate,compute_time_ms
0,0,2.0,13.0,2.4515570934256057,2.0,4.0,1156,0.0,88.0,46.160583941605836,48.0,84.0,137,0.0,280.0,119.47445255474453,120.0,264.0,137,1.0,1.0,1.0,1.0,1.0,137,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,137,137.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.81124501489103
1,60000000000,2.0,16.0,2.4463667820069204,2.0,4.0,1156,0.0,88.0,43.91608391608391,40.0,84.0,143,0.0,280.0,111.72027972027972,88.0,264.0,143,1.0,1.2222222222222223,1.0025039123630672,1.0,1.0,142,0.9999999999999996,1.2324686113273835,1.0025990543642733,1.0,1.0,142,143.0,142.0,0.993006993006993,0.0,0.0,0.0,0.0,1.0,0.006993006993006993,27.0,0.1888111888111888,1.0,0.006993006993006993,112.73516807705164
2,120000000000,2.0,14.0,2.453287197231834,2.0,4.0,1156,0.0,88.0,45.90070921985816,48.0,84.0,141,0.0,280.0,119.26241134751773,120.0,264.0,141,1.0,1.25,1.009286293592863,1.0,1.022222222222221,137,0.9999999999999998,1.2649289263861283,1.009720855716144,1.0,1.023266463533562,137,141.0,137.0,0.9716312056737588,0.0,0.0,0.0,0.0,4.0,0.028368794326241134,44.0,0.3120567375886525,4.0,0.028368794326241134,151.90952504053712
3,180000000000,2.0,14.0,2.4420415224913494,2.0,4.0,1156,0.0,84.0,45.02255639097744,44.0,81.59999999999997,133,0.0,264.0,116.21052631578948,104.0,254.39999999999986,133,1.0,1.0,1.0,1.0,1.0,133,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,133,133.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.18412085995078
4,240000000000,2.0,16.0,2.4368512110726646,2.0,4.0,1156,0.0,84.0,43.798561151079134,44.0,84.0,139,0.0,264.0,110.96402877697842,104.0,264.0,139,1.0,2.0,1.0098228663446054,1.0,1.0,138,0.9999999999999998,2.17688720278896,1.0112155567742627,1.0,1.0000000000000002,138,139.0,138.0,0.9928057553956835,0.0,0.0,0.0,0.0,1.0,0.007194244604316547,25.0,0.17985611510791366,1.0,0.007194244604316547,120.24723598733544
5,300000000000,2.0,13.0,2.454152249134948,2.0,4.0,1156,0.0,88.0,46.07299270072993,48.0,84.0,137,0.0,280.0,119.12408759124088,120.0,264.0,137,1.0,2.0,1.015482026143791,1.0,1.0277777777777777,136,0.9999999999999998,2.309414530579948,1.018187507968607,1.0,1.0289692823156138,136,137.0,136.0,0.9927007299270073,0.0,0.0,0.0,0.0,1.0,0.0072992700729927005,45.0,0.3284671532846715,1.0,0.0072992700729927005,155.44606000185013
6,360000000000,2.0,15.0,2.4472318339100347,2.0,4.0,1156,0.0,84.0,45.285714285714285,44.0,84.0,140,0.0,264.0,116.34285714285714,104.0,264.0,140,1.0,1.0,1.0,1.0,1.0,140,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,140,140.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.51868699677289
7,420000000000,2.0,16.0,2.438581314878893,2.0,4.0,1156,0.0,84.0,44.78832116788321,44.0,80.79999999999995,137,0.0,264.0,114.51094890510949,104.0,251.19999999999982,137,1.0,2.0,1.0133333333333334,1.0,1.0,135,0.9999999999999999,2.1615732967588346,1.0150743702600775,1.0,1.0000000000000002,135,137.0,135.0,0.9854014598540146,0.0,0.0,0.0,0.0,2.0,0.014598540145985401,24.0,0.17518248175182483,2.0,0.014598540145985401,144.83135007321835
8,480000000000,2.0,14.0,2.454152249134948,2.0,4.0,1156,0.0,88.0,47.24087591240876,48.0,84.0,137,0.0,280.0,123.27007299270073,120.0,264.0,137,1.0,2.0,1.0188888888888887,1.0,1.033333333333333,135,0.9999999999999998,2.2835441440627107,1.0221459204413093,1.0,1.0346906945823853,135,137.0,135.0,0.9854014598540146,0.0,0.0,0.0,0.0,2.0,0.014598540145985401,47.0,0.34306569343065696,2.0,0.014598540145985401,114.61228993721306
9,540000000000,2.0,15.0,2.4394463667820068,2.0,4.0,1156,0.0,84.0,45.197080291970806,48.0,84.0,137,0.0,264.0,116.14598540145985,120.0,264.0,137,1.0,1.0,1.0,1.0,1.0,137,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,137,137.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.18640095181763
10,600000000000,2.0,16.0,2.4411764705882355,2.0,4.0,1156,0.0,84.0,44.529411764705884,44.0,81.0,136,0.0,264.0,114.05882352941177,104.0,252.0,136,1.0,1.1428571428571428,1.0031040564373896,1.0,1.0,135,0.9999999999999998,1.1472164482628697,1.0031961193239833,1.0,1.0000000000000002,135,136.0,135.0,0.9926470588235294,0.0,0.0,0.0,0.0,1.0,0.007352941176470588,23.0,0.16911764705882354,1.0,0.007352941176470588,146.92071615718305
11,660000000000,2.0,14.0,2.454152249134948,2.0,4.0,1156,0.0,88.0,47.97142857142857,52.0,84.0,140,0.0,280.0,125.54285714285714,136.0,264.0,140,1.0,2.0,1.0158150851581509,1.0,1.0,137,0.9999999999999998,2.2566192261528957,1.0186164382555347,1.0,1.0001227057013728,137,140.0,137.0,0.9785714285714285,0.0,0.0,0.0,0.0,3.0,0.02142857142857143,49.0,0.35,3.0,0.02142857142857143,117.80351214110851
12,720000000000,2.0,15.0,2.4377162629757785,2.0,4.0,1156,0.0,84.0,46.029411764705884,48.0,84.0,136,0.0,264.0,119.0,120.0,264.0,136,1.0,1.0,1.0,1.0,1.0,136,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,136,136.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.93469520285726
13,780000000000,2.0,16.0,2.43598615916955,2.0,4.0,1156,0.0,84.0,43.70802919708029,44.0,80.79999999999995,137,0.0,264.0,111.24087591240875,104.0,251.19999999999982,137,1.0,1.1428571428571428,1.0031040564373896,1.0,1.0,135,1.0,1.1469362622088852,1.0031917774784245,1.0,1.0000000000000002,135,137.0,135.0,0.9854014598540146,0.0,0.0,0.0,0.0,2.0,0.014598540145985401,23.0,0.1678832116788321,2.0,0.014598540145985401,106.87750205397606
14,840000000000,2.0,14.0,2.4480968858131487,2.0,4.0,1156,0.0,88.0,47.7593984962406,52.0,84.0,133,0.0,280.0,125.53383458646617,136.0,264.0,133,1.0,1.2222222222222223,1.006932966023875,1.0,1.0,132,0.9999999999999997,1.2384131920713148,1.0072466919333867,1.0,1.0000000000000002,132,133.0,132.0,0.9924812030075187,0.0,0.0,0.0,0.0,1.0,0.007518796992481203,44.0,0.3308270676691729,1.0,0.007518796992481203,144.174745073542
15,900000000000,2.0,16.0,2.4394463667820068,2.0,4.0,1156,0.0,84.0,45.16417910447761,48.0,84.0,134,0.0,264.0,116.71641791044776,120.0,264.0,134,1.0,1.0,1.0,1.0,1.0,134,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,134,134.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.89271292835474
16,960000000000,2.0,15.0,2.4472318339100347,2.0,4.0,1156,0.0,84.0,43.737226277372265,44.0,84.0,137,0.0,264.0,111.35766423357664,104.0,264.0,137,1.0,1.1333333333333333,1.0009876543209877,1.0,1.0,135,0.9999999999999997,1.1362352115573149,1.0010190899024984,1.0,1.0000000000000002,135,137.0,135.0,0.9854014598540146,0.0,0.0,0.0,0.0,2.0,0.014598540145985401,21.0,0.15328467153284672,2.0,0.014598540145985401,143.26339191757143
17,1020000000000,2.0,14.0,2.4506920415224913,2.0,4.0,1156,0.0,88.0,47.09489051094891,52.0,84.0,137,0.0,280.0,122.68613138686132,136.0,264.0,137,1.0,1.5,1.0090011223344555,1.0,1.0,135,0.9999999999999998,1.5690313783212695,1.0097663583789052,1.0,1.0000000000000002,135,137.0,135.0,0.9854014598540146,0.0,0.0,0.0,0.0,2.0,0.014598540145985401,40.0,0.291970802919708,2.0,0.014598540145985401,110.83144298754632
18,1080000000000,2.0,16.0,2.434256055363322,2.0,4.0,1156,0.0,84.0,45.66153846153846,48.0,84.0,130,0.0,264.0,117.84615384615384,120.0,264.0,130,1.0,1.0,1.0,1.0,1.0,130,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,130,130.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0377739239484
19,1140000000000,2.0,15.0,2.4463667820069204,2.0,4.0,1156,0.0,84.0,44.058394160583944,44.0,84.0,137,0.0,264.0,112.64233576642336,104.0,264.0,137,1.0,1.1333333333333333,1.0009876543209877,1.0,1.0,135,0.9999999999999998,1.1362335040123155,1.0010190798362686,1.0,1.0000000000000002,135,137.0,135.0,0.9854014598540146,0.0,0.0,0.0,0.0,2.0,0.014598540145985401,23.0,0.1678832116788321,2.0,0.014598540145985401,157.09508303552866
20,1200000000000,2.0,14.0,2.4506920415224913,2.0,4.0,1156,0.0,88.0,47.04477611940298,52.0,84.0,134,0.0,280.0,122.08955223880596,136.0,264.0,134,1.0,1.5,1.008531332958814,1.0,1.0,131,0.9999999999999998,1.5609788723009665,1.0092078525214092,1.0,1.0000000000000002,131,134.0,131.0,0.9776119402985075,0.0,0.0,0.0,0.0,3.0,0.022388059701492536,39.0,0.291044776119403,3.0,0.022388059701492536,113.16425097174942
21,1260000000000,2.0,16.0,2.4394463667820068,2.0,4.0,1156,0.0,88.0,46.64705882352941,48.0,84.0,136,0.0,280.0,119.88235294117646,120.0,264.0,136,1.0,1.0,1.0,1.0,1.0,136,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,136,136.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.171627830714
22,1320000000000,2.0,15.0,2.459342560553633,2.0,4.0,1156,0.0,88.0,44.916666666666664,44.0,84.0,144,0.0,280.0,115.16666666666667,104.0,264.0,144,1.0,1.1333333333333333,1.0009456264775414,1.0,1.0,141,0.9999999999999998,1.1362110566418986,1.0009755564058775,1.0,1.0000000000000002,141,144.0,141.0,0.9791666666666666,0.0,0.0,0.0,0.0,3.0,0.020833333333333332,21.0,0.14583333333333334,3.0,0.020833333333333332,112.53908090293407
23,1380000000000,2.0,14.0,2.453287197231834,2.0,4.0,1156,0.0,88.0,47.35766423357664,52.0,84.0,137,0.0,280.0,123.21167883211679,136.0,264.0,137,1.0,1.6666666666666667,1.015210183895305,1.0,1.1127450980392157,136,0.9999999999999997,1.751062122776103,1.016488407984871,1.0,1.1161037314565467,136,137.0,136.0,0.9927007299270073,0.0,0.0,0.0,0.0,1.0,0.0072992700729927005,43.0,0.31386861313868614,1.0,0.0072992700729927005,154.28833500482142
24,1440000000000,2.0,16.0,2.4282006920415227,2.0,4.0,1156,0.0,88.0,45.582089552238806,48.0,84.0,134,0.0,280.0,118.38805970149254,120.0,264.0,134,1.0,1.0,1.0,1.0,1.0,134,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,134,134.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.04038806073368
25,1500000000000,2.0,17.0,2.4610726643598615,2.0,4.0,1156,0.0,88.0,45.49333333333333,44.0,84.0,150,0.0,280.0,117.17333333333333,104.0,264.0,150,1.0,1.0,1.0,1.0,1.0,145,0.9999999999999998,1.0007033681815185,1.0000092526011453,1.0,1.0000000000000002,145,150.0,145.0,0.9666666666666667,0.0,0.0,0.0,0.0,5.0,0.03333333333333333,19.0,0.12666666666666668,5.0,0.03333333333333333,110.70716404356062
26,1560000000000,2.0,14.0,2.4524221453287196,2.0,4.0,1156,0.0,88.0,47.40298507462686,52.0,81.39999999999998,134,0.0,280.0,122.98507462686567,136.0,253.5999999999999,134,1.0,1.6666666666666667,1.009705317533712,1.0,1.0,133,0.9999999999999998,1.789027257654822,1.010820384721105,1.0,1.0000000000000002,133,134.0,133.0,0.9925373134328358,0.0,0.0,0.0,0.0,1.0,0.007462686567164179,42.0,0.31343283582089554,1.0,0.007462686567164179,114.86083408817649
27,1620000000000,2.0,16.0,2.4377162629757785,2.0,4.0,1156,0.0,88.0,44.44117647058823,44.0,84.0,136,0.0,280.0,113.70588235294117,104.0,264.0,136,1.0,1.0,1.0,1.0,1.0,136,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,136,136.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.75304608047009
28,1680000000000,2.0,17.0,2.4472318339100347,2.0,4.0,1156,0.0,88.0,45.55882352941177,44.0,84.0,136,0.0,280.0,118.17647058823529,104.0,264.0,136,1.0,1.3333333333333333,1.0052910052910053,1.0,1.0,132,0.9999999999999997,1.3572915539346169,1.005570709488502,1.0,1.0,132,136.0,132.0,0.9705882352941176,0.0,0.0,0.0,0.0,4.0,0.029411764705882353,17.0,0.125,4.0,0.029411764705882353,148.0262589175254
29,1740000000000,2.0,14.0,2.458477508650519,2.0,4.0,1156,0.0,88.0,47.32394366197183,52.0,80.0,142,0.0,280.0,122.36619718309859,136.0,248.0,142,1.0,1.6666666666666667,1.0171412593557922,1.0,1.1239495798319328,136,0.9999999999999998,1.778766883586525,1.0186772154543628,1.0,1.12749127350667,136,142.0,136.0,0.9577464788732394,0.0,0.0,0.0,0.0,6.0,0.04225352112676056,47.0,0.33098591549295775,6.0,0.04225352112676056,114.56153891049325
30,1800000000000,2.0,15.0,2.438581314878893,2.0,4.0,1156,0.0,88.0,44.11940298507463,44.0,84.0,134,0.0,280.0,113.61194029850746,104.0,264.0,134,1.0,1.0,1.0,1.0,1.0,134,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,134,134.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.69140708260238
31,1860000000000,2.0,15.0,2.4515570934256057,2.0,4.0,1156,0.0,88.0,45.91044776119403,46.0,84.0,134,0.0,280.0,119.70149253731343,112.0,264.0,134,1.0,1.4,1.0102152477152477,1.0,1.0,132,0.9999999999999997,1.4289905897932105,1.0107705456802187,1.0,1.0000000000000002,132,134.0,132.0,0.9850746268656716,0.0,0.0,0.0,0.0,2.0,0.014925373134328358,20.0,0.14925373134328357,2.0,0.014925373134328358,115.97981792874634
32,1920000000000,2.0,14.0,2.457612456747405,2.0,4.0,1156,0.0,84.0,47.40425531914894,52.0,80.0,141,0.0,264.0,122.72340425531915,136.0,248.0,141,1.0,1.6666666666666667,1.019275438554099,1.0,1.1476190476190473,137,0.9999999999999998,1.7679467729326723,1.0208814940631865,1.0,1.1523509329030999,137,141.0,137.0,0.9716312056737588,0.0,0.0,0.0,0.0,4.0,0.028368794326241134,52.0,0.36879432624113473,4.0,0.028368794326241134,144.69810691662133
33,1980000000000,2.0,15.0,2.43598615916955,2.0,4.0,1156,0.0,88.0,45.02189781021898,44.0,84.0,137,0.0,280.0,116.4963503649635,104.0,264.0,137,1.0,1.0,1.0,1.0,1.0,137,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,137,137.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.7203840725124
34,2040000000000,2.0,15.0,2.4437716262975777,2.0,4.0,1156,0.0,88.0,46.09090909090909,48.0,84.0,132,0.0,280.0,120.54545454545455,120.0,264.0,132,1.0,1.25,1.0037477954144622,1.0,1.0,126,0.9999999999999997,1.2604626430308652,1.0039198959607443,1.0,1.0000000000000002,126,132.0,126.0,0.9545454545454546,0.0,0.0,0.0,0.0,6.0,0.045454545454545456,18.0,0.13636363636363635,6.0,0.045454545454545456,116.9069530442357
35,2100000000000,2.0,14.0,2.4515570934256057,2.0,4.0,1156,0.0,84.0,47.53284671532847,52.0,80.0,137,0.0,264.0,123.38686131386861,136.0,248.0,137,1.0,1.6666666666666667,1.0190197291037628,1.0,1.1666666666666667,133,0.9999999999999998,1.7566342365821197,1.0202980971060196,1.0,1.173237317720973,133,137.0,133.0,0.9708029197080292,0.0,0.0,0.0,0.0,4.0,0.029197080291970802,48.0,0.35036496350364965,4.0,0.029197080291970802,152.97106909565628
