time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,4.0,32.0,4.810553633217993,4.0,6.0,1156,0.0,124.0,60.231884057971016,60.0,96.0,552,0.0,424.0,170.6231884057971,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,403.92578672617674
1,60000000000,4.0,32.0,4.788062283737024,4.0,6.0,1156,0.0,120.0,61.05797101449275,60.0,100.0,552,0.0,408.0,174.31884057971016,168.0,328.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,424.5098028331995
2,120000000000,4.0,32.0,4.8088235294117645,4.0,6.0,1156,0.0,128.0,61.69565217391305,64.0,100.0,552,0.0,440.0,177.0,184.0,328.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,428.1339142471552
3,180000000000,4.0,32.0,4.786332179930795,4.0,6.0,1156,0.0,124.0,60.34782608695652,60.0,96.0,552,0.0,424.0,171.34782608695653,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,422.5704250857234
4,240000000000,4.0,32.0,4.782006920415225,4.0,6.0,1156,0.0,120.0,61.210144927536234,60.0,100.0,552,0.0,408.0,174.92753623188406,168.0,328.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,431.3530782237649
5,300000000000,4.0,32.0,4.813148788927336,4.0,6.0,1156,0.0,128.0,61.7536231884058,64.0,100.0,552,0.0,440.0,176.84057971014494,184.0,328.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0356049910188
6,360000000000,4.0,31.0,4.7854671280276815,4.0,6.0,1156,0.0,124.0,60.405797101449274,60.0,96.0,552,0.0,424.0,171.44927536231884,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.2945190295577
7,420000000000,4.0,32.0,4.7854671280276815,4.0,6.0,1156,0.0,120.0,61.34782608695652,60.0,100.0,552,0.0,408.0,175.34782608695653,168.0,328.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,361.69985868036747
8,480000000000,4.0,32.0,4.813148788927336,4.0,6.0,1156,0.0,124.0,61.23913043478261,60.0,96.0,552,0.0,424.0,174.65217391304347,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,402.17910800129175
9,540000000000,4.0,31.0,4.780276816608996,4.0,6.0,1156,0.0,124.0,60.427536231884055,60.0,96.0,552,0.0,424.0,171.53623188405797,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,411.26731783151627
10,600000000000,4.0,32.0,4.788927335640138,4.0,6.0,1156,0.0,120.0,61.130434782608695,60.0,100.0,552,0.0,408.0,174.6086956521739,168.0,328.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,410.92413384467363
11,660000000000,4.0,32.0,4.810553633217993,4.0,6.0,1156,0.0,124.0,61.130434782608695,62.0,96.0,552,0.0,424.0,174.2173913043478,176.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,410.8961932361126
