time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.7083333333333334,17.0,0.7083333333333334,0.006487889273356401,0.014705882352941176,0.036231884057971016,0.26992753623188404,0.1115916955017301,0.0,0.11418685121107267,0.0,0.015570934256055362,0.0,0.24134948096885814,0.0,39.0,0.03373702422145329
2,120000000000,0.6666666666666666,16.0,0.6666666666666666,0.006343713956170703,0.013480392156862746,0.025362318840579712,0.2608695652173913,0.10207612456747404,0.0,0.09688581314878893,0.0,0.012975778546712802,0.0,0.21193771626297578,0.0,37.0,0.03200692041522491
3,180000000000,0.75,18.0,0.75,0.008073817762399077,0.01715686274509804,0.036231884057971016,0.266304347826087,0.10813148788927336,0.0,0.11678200692041522,0.0,0.01643598615916955,0.0,0.24134948096885814,0.0,40.0,0.03460207612456748
4,240000000000,0.7083333333333334,17.0,0.7083333333333334,0.0062716262975778545,0.012254901960784314,0.034420289855072464,0.27355072463768115,0.1115916955017301,0.0,0.1115916955017301,0.0,0.012975778546712802,0.0,0.23615916955017302,0.0,39.0,0.03373702422145329
5,300000000000,0.6666666666666666,16.0,0.6666666666666666,0.006812283737024222,0.011029411764705883,0.025362318840579712,0.2536231884057971,0.10034602076124567,0.0,0.09342560553633218,0.0,0.01643598615916955,0.0,0.2102076124567474,0.0,37.0,0.03200692041522491
6,360000000000,0.75,18.0,0.75,0.007605247981545559,0.014705882352941176,0.04528985507246377,0.2572463768115942,0.11332179930795848,0.0,0.11418685121107267,0.0,0.01643598615916955,0.0,0.24394463667820068,0.0,40.0,0.03460207612456748
7,420000000000,0.7083333333333334,17.0,0.7083333333333334,0.0065239331026528255,0.00857843137254902,0.059782608695652176,0.2246376811594203,0.10640138408304499,0.0,0.11591695501730104,0.0,0.012110726643598616,0.0,0.23442906574394465,0.0,39.0,0.03373702422145329
8,480000000000,0.6666666666666666,16.0,0.6666666666666666,0.007172722029988466,0.00857843137254902,0.019927536231884056,0.2536231884057971,0.10553633217993079,0.0,0.09688581314878893,0.0,0.012975778546712802,0.0,0.21539792387543252,0.0,38.0,0.0328719723183391
9,540000000000,0.7083333333333334,17.0,0.7083333333333334,0.007136678200692042,0.00980392156862745,0.04528985507246377,0.24456521739130435,0.10640138408304499,0.0,0.10813148788927336,0.0,0.01384083044982699,0.0,0.22837370242214533,0.0,39.0,0.03373702422145329
10,600000000000,0.7083333333333334,17.0,0.7083333333333334,0.006451845444059977,0.013480392156862746,0.04710144927536232,0.2463768115942029,0.10726643598615918,0.0,0.11332179930795848,0.0,0.012110726643598616,0.0,0.23269896193771628,0.0,39.0,0.03373702422145329
