time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,2.0,13.0,2.4515570934256057,2.0,4.0,1156,0.0,88.0,46.160583941605836,48.0,84.0,137,0.0,280.0,119.47445255474453,120.0,264.0,137,1.0,1.0,1.0,1.0,1.0,137,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,137,137.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,124.85069688409567
1,60000000000,2.0,16.0,2.4472318339100347,2.0,4.0,1156,0.0,88.0,43.861111111111114,44.0,80.0,144,0.0,280.0,111.44444444444444,104.0,248.0,144,1.0,1.0,1.0,1.0,1.0,144,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,144,144.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.45434606075287
2,120000000000,2.0,15.0,2.4524221453287196,2.0,4.0,1156,0.0,84.0,45.57142857142857,48.0,84.0,140,0.0,264.0,119.02857142857142,120.0,264.0,140,1.0,1.0,1.0,1.0,1.0,140,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,140,140.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,128.26882675290108
3,180000000000,2.0,14.0,2.4420415224913494,2.0,4.0,1156,0.0,84.0,45.02255639097744,44.0,81.59999999999997,133,0.0,264.0,116.21052631578948,104.0,254.39999999999986,133,1.0,1.0,1.0,1.0,1.0,133,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,133,133.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.88006352633238
4,240000000000,2.0,16.0,2.4377162629757785,2.0,4.0,1156,0.0,88.0,43.94285714285714,44.0,84.0,140,0.0,280.0,112.0,104.0,264.0,140,1.0,1.0,1.0,1.0,1.0,140,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,140,140.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,124.176693148911
5,300000000000,2.0,13.0,2.4550173010380623,2.0,4.0,1156,0.0,84.0,46.028985507246375,48.0,84.0,138,0.0,264.0,119.42028985507247,120.0,264.0,138,1.0,1.0,1.0,1.0,1.0,138,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,138,138.0,138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.05386228859425
6,360000000000,2.0,15.0,2.4472318339100347,2.0,4.0,1156,0.0,84.0,45.285714285714285,44.0,84.0,140,0.0,264.0,116.34285714285714,104.0,264.0,140,1.0,1.0,1.0,1.0,1.0,140,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,140,140.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.45154694467783
7,420000000000,2.0,16.0,2.4377162629757785,2.0,4.0,1156,0.0,88.0,44.05882352941177,44.0,81.0,136,0.0,280.0,112.17647058823529,104.0,252.0,136,1.0,1.0,1.0,1.0,1.0,136,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,136,136.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,128.1143892556429
8,480000000000,2.0,14.0,2.453287197231834,2.0,4.0,1156,0.0,88.0,47.029411764705884,48.0,84.0,136,0.0,280.0,123.0,120.0,264.0,136,1.0,1.0,1.0,1.0,1.0,136,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,136,136.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.15682060271502
9,540000000000,2.0,15.0,2.4394463667820068,2.0,4.0,1156,0.0,84.0,45.197080291970806,48.0,84.0,137,0.0,264.0,116.14598540145985,120.0,264.0,137,1.0,1.0,1.0,1.0,1.0,137,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,137,137.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,125.75067486613989
