time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,4.0,32.0,4.810553633217993,4.0,6.0,1156,0.0,124.0,60.231884057971016,60.0,96.0,552,0.0,424.0,170.6231884057971,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,410.83564795553684
1,60000000000,4.0,32.0,4.788062283737024,4.0,6.0,1156,0.0,120.0,60.95652173913044,60.0,100.0,552,0.0,408.0,173.91304347826087,168.0,328.0,552,1.0,1.0,1.0,1.0,1.0,420,0.9999999999999997,1.0086047690565096,1.0001597501104544,1.0,1.0000000000000002,420,552.0,420.0,0.7608695652173914,0.0,0.0,0.0,0.0,132.0,0.2391304347826087,78.2052893191576
2,120000000000,4.0,32.0,4.8088235294117645,4.0,6.0,1156,0.0,128.0,61.471014492753625,60.0,100.0,552,0.0,440.0,175.84057971014494,168.0,328.0,552,1.0,1.0,1.0,1.0,1.0,313,0.9999999999999997,1.0348879635180952,1.0005087732917968,1.0,1.0000000000000002,313,552.0,313.0,0.5670289855072463,0.0,0.0,0.0,0.0,239.0,0.4329710144927536,126.48206111043692
3,180000000000,4.0,32.0,4.786332179930795,4.0,6.0,1156,0.0,124.0,60.34782608695652,60.0,96.0,552,0.0,424.0,171.34782608695653,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,418.10124833136797
4,240000000000,4.0,32.0,4.782006920415225,4.0,6.0,1156,0.0,120.0,61.22463768115942,60.0,100.0,552,0.0,408.0,174.85507246376812,168.0,328.0,552,1.0,1.0,1.0,1.0,1.0,432,0.9999999999999997,1.012789604375237,1.0002998659729228,1.0,1.0000000000000002,432,552.0,432.0,0.782608695652174,0.0,0.0,0.0,0.0,120.0,0.21739130434782608,78.25646363198757
5,300000000000,4.0,32.0,4.813148788927336,4.0,6.0,1156,0.0,128.0,61.78260869565217,64.0,100.0,552,0.0,440.0,176.82608695652175,184.0,328.0,552,1.0,1.0,1.0,1.0,1.0,328,0.9999999999999997,1.0386794215405621,1.0006029991616239,1.0,1.0000086321453328,328,552.0,328.0,0.5942028985507246,0.0,0.0,0.0,0.0,224.0,0.4057971014492754,78.96168902516365
6,360000000000,4.0,31.0,4.7854671280276815,4.0,6.0,1156,0.0,124.0,60.405797101449274,60.0,96.0,552,0.0,424.0,171.44927536231884,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,407.20532927662134
7,420000000000,4.0,32.0,4.7854671280276815,4.0,6.0,1156,0.0,120.0,61.528985507246375,60.0,100.0,552,0.0,408.0,175.94202898550725,168.0,328.0,552,1.0,1.0,1.0,1.0,1.0,451,0.9999999999999997,1.016996863650265,1.0003790864874458,1.0,1.0000000000000002,451,552.0,451.0,0.8170289855072463,0.0,0.0,0.0,0.0,101.0,0.18297101449275363,115.53437076508999
8,480000000000,4.0,32.0,4.813148788927336,4.0,6.0,1156,0.0,128.0,61.369565217391305,60.0,100.0,552,0.0,440.0,175.04347826086956,168.0,328.0,552,1.0,1.0,1.0,1.0,1.0,345,0.9999999999999998,1.043020064530371,1.0011620848319198,1.0,1.002458251007089,345,552.0,345.0,0.625,0.0,0.0,0.0,0.0,207.0,0.375,77.18044985085726
9,540000000000,4.0,31.0,4.780276816608996,4.0,6.0,1156,0.0,124.0,60.427536231884055,60.0,96.0,552,0.0,424.0,171.53623188405797,168.0,312.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,415.3702147305012
