time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,2.0,13.0,2.4515570934256057,2.0,4.0,1156,0.0,88.0,46.160583941605836,48.0,84.0,137,0.0,280.0,119.47445255474453,120.0,264.0,137,1.0,1.0,1.0,1.0,1.0,137,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,137,137.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,136.84393092989922
1,60000000000,2.0,16.0,2.4463667820069204,2.0,4.0,1156,0.0,88.0,43.91608391608391,40.0,84.0,143,0.0,280.0,111.72027972027972,88.0,264.0,143,1.0,1.0,1.0,1.0,1.0,115,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,115,143.0,115.0,0.8041958041958042,0.0,0.0,0.0,0.0,28.0,0.1958041958041958,35.11456958949566
2,120000000000,2.0,14.0,2.453287197231834,2.0,4.0,1156,0.0,88.0,45.90070921985816,48.0,84.0,141,0.0,280.0,119.26241134751773,120.0,264.0,141,1.0,1.0,1.0,1.0,1.0,93,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,93,141.0,93.0,0.6595744680851063,0.0,0.0,0.0,0.0,48.0,0.3404255319148936,32.75346104055643
3,180000000000,2.0,14.0,2.4420415224913494,2.0,4.0,1156,0.0,84.0,45.02255639097744,44.0,81.59999999999997,133,0.0,264.0,116.21052631578948,104.0,254.39999999999986,133,1.0,1.0,1.0,1.0,1.0,133,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,133,133.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,131.8026166409254
4,240000000000,2.0,16.0,2.4368512110726646,2.0,4.0,1156,0.0,84.0,43.798561151079134,44.0,84.0,139,0.0,264.0,110.96402877697842,104.0,264.0,139,1.0,1.0,1.0,1.0,1.0,113,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,113,139.0,113.0,0.8129496402877698,0.0,0.0,0.0,0.0,26.0,0.18705035971223022,32.4010644108057
5,300000000000,2.0,13.0,2.454152249134948,2.0,4.0,1156,0.0,88.0,46.07299270072993,48.0,84.0,137,0.0,280.0,119.12408759124088,120.0,264.0,137,1.0,1.0,1.0,1.0,1.0,91,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,91,137.0,91.0,0.6642335766423357,0.0,0.0,0.0,0.0,46.0,0.3357664233576642,32.56384190171957
6,360000000000,2.0,15.0,2.4472318339100347,2.0,4.0,1156,0.0,84.0,45.285714285714285,44.0,84.0,140,0.0,264.0,116.34285714285714,104.0,264.0,140,1.0,1.0,1.0,1.0,1.0,140,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,140,140.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,124.03347808867693
7,420000000000,2.0,16.0,2.438581314878893,2.0,4.0,1156,0.0,84.0,44.78832116788321,44.0,80.79999999999995,137,0.0,264.0,114.51094890510949,104.0,251.19999999999982,137,1.0,1.0,1.0,1.0,1.0,111,1.0,1.0000000000000002,1.0,1.0,1.0,111,137.0,111.0,0.8102189781021898,0.0,0.0,0.0,0.0,26.0,0.1897810218978102,33.067031763494015
8,480000000000,2.0,14.0,2.454152249134948,2.0,4.0,1156,0.0,88.0,47.24087591240876,48.0,84.0,137,0.0,280.0,123.27007299270073,120.0,264.0,137,1.0,1.0,1.0,1.0,1.0,88,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,88,137.0,88.0,0.6423357664233577,0.0,0.0,0.0,0.0,49.0,0.35766423357664234,32.28358365595341
9,540000000000,2.0,15.0,2.4394463667820068,2.0,4.0,1156,0.0,84.0,45.197080291970806,48.0,84.0,137,0.0,264.0,116.14598540145985,120.0,264.0,137,1.0,1.0,1.0,1.0,1.0,137,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,137,137.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,114.24173694103956
10,600000000000,2.0,16.0,2.4411764705882355,2.0,4.0,1156,0.0,84.0,44.529411764705884,44.0,81.0,136,0.0,264.0,114.05882352941177,104.0,252.0,136,1.0,1.0,1.0,1.0,1.0,112,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,112,136.0,112.0,0.8235294117647058,0.0,0.0,0.0,0.0,24.0,0.17647058823529413,33.007219433784485
11,660000000000,2.0,14.0,2.454152249134948,2.0,4.0,1156,0.0,88.0,47.97142857142857,52.0,84.0,140,0.0,280.0,125.54285714285714,136.0,264.0,140,1.0,1.0,1.0,1.0,1.0,88,0.9999999999999998,1.0,1.0,1.0,1.0,88,140.0,88.0,0.6285714285714286,0.0,0.0,0.0,0.0,52.0,0.37142857142857144,32.33754448592663
12,720000000000,2.0,15.0,2.4377162629757785,2.0,4.0,1156,0.0,84.0,46.029411764705884,48.0,84.0,136,0.0,264.0,119.0,120.0,264.0,136,1.0,1.0,1.0,1.0,1.0,136,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,136,136.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.40213124454021
13,780000000000,2.0,16.0,2.43598615916955,2.0,4.0,1156,0.0,84.0,43.70802919708029,44.0,80.79999999999995,137,0.0,264.0,111.24087591240875,104.0,251.19999999999982,137,1.0,1.0,1.0,1.0,1.0,112,1.0,1.0000000000000004,1.0,1.0,1.0000000000000002,112,137.0,112.0,0.8175182481751825,0.0,0.0,0.0,0.0,25.0,0.18248175182481752,33.12619589269161
14,840000000000,2.0,14.0,2.4480968858131487,2.0,4.0,1156,0.0,88.0,47.7593984962406,52.0,84.0,133,0.0,280.0,125.53383458646617,136.0,264.0,133,1.0,1.0,1.0,1.0,1.0,88,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,88,133.0,88.0,0.6616541353383458,0.0,0.0,0.0,0.0,45.0,0.3383458646616541,63.19722160696983
15,900000000000,2.0,16.0,2.4394463667820068,2.0,4.0,1156,0.0,84.0,45.16417910447761,48.0,84.0,134,0.0,264.0,116.71641791044776,120.0,264.0,134,1.0,1.0,1.0,1.0,1.0,134,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,134,134.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.61131078749895
16,960000000000,2.0,15.0,2.4472318339100347,2.0,4.0,1156,0.0,84.0,43.737226277372265,44.0,84.0,137,0.0,264.0,111.35766423357664,104.0,264.0,137,1.0,1.0,1.0,1.0,1.0,114,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,114,137.0,114.0,0.8321167883211679,0.0,0.0,0.0,0.0,23.0,0.1678832116788321,33.766673877835274
17,1020000000000,2.0,14.0,2.4506920415224913,2.0,4.0,1156,0.0,88.0,47.09489051094891,52.0,84.0,137,0.0,280.0,122.68613138686132,136.0,264.0,137,1.0,1.0,1.0,1.0,1.0,95,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,95,137.0,95.0,0.6934306569343066,0.0,0.0,0.0,0.0,42.0,0.30656934306569344,60.795352794229984
18,1080000000000,2.0,16.0,2.434256055363322,2.0,4.0,1156,0.0,84.0,45.66153846153846,48.0,84.0,130,0.0,264.0,117.84615384615384,120.0,264.0,130,1.0,1.0,1.0,1.0,1.0,130,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,130,130.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,89.80363048613071
19,1140000000000,2.0,15.0,2.4463667820069204,2.0,4.0,1156,0.0,84.0,44.058394160583944,44.0,84.0,137,0.0,264.0,112.64233576642336,104.0,264.0,137,1.0,1.0,1.0,1.0,1.0,112,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,112,137.0,112.0,0.8175182481751825,0.0,0.0,0.0,0.0,25.0,0.18248175182481752,35.20177956670523
20,1200000000000,2.0,14.0,2.4506920415224913,2.0,4.0,1156,0.0,88.0,47.04477611940298,52.0,84.0,134,0.0,280.0,122.08955223880596,136.0,264.0,134,1.0,1.0,1.0,1.0,1.0,92,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,92,134.0,92.0,0.6865671641791045,0.0,0.0,0.0,0.0,42.0,0.31343283582089554,60.77793799340725
21,1260000000000,2.0,16.0,2.4394463667820068,2.0,4.0,1156,0.0,88.0,46.64705882352941,48.0,84.0,136,0.0,280.0,119.88235294117646,120.0,264.0,136,1.0,1.0,1.0,1.0,1.0,136,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,136,136.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.57351294904947
22,1320000000000,2.0,15.0,2.459342560553633,2.0,4.0,1156,0.0,88.0,44.916666666666664,44.0,84.0,144,0.0,280.0,115.16666666666667,104.0,264.0,144,1.0,1.0,1.0,1.0,1.0,120,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,120,144.0,120.0,0.8333333333333334,0.0,0.0,0.0,0.0,24.0,0.16666666666666666,69.4033419713378
23,1380000000000,2.0,14.0,2.453287197231834,2.0,4.0,1156,0.0,88.0,47.35766423357664,52.0,84.0,137,0.0,280.0,123.21167883211679,136.0,264.0,137,1.0,1.0,1.0,1.0,1.0,93,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,93,137.0,93.0,0.6788321167883211,0.0,0.0,0.0,0.0,44.0,0.32116788321167883,33.76204427331686
