time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4648.18796236068
1,60000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4276.009494438767
2,120000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4542.697777040303
3,180000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4283.53485185653
4,240000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4336.412839591503
5,300000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4302.680698223412
6,360000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4256.674611009657
7,420000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4332.269934006035
8,480000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4458.94971024245
9,540000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4282.216723076999
10,600000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4245.8093371242285
11,660000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4464.783270843327
12,720000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4324.67442099005
13,780000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4372.222607955337
14,840000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4419.461549259722
15,900000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4183.246144093573
16,960000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4215.406695380807
17,1020000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4440.723736770451
18,1080000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4495.775398798287
19,1140000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4536.382542923093
20,1200000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4435.2201679721475
21,1260000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4465.892823413014
22,1320000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4477.989370003343
23,1380000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4498.1251610443
24,1440000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4509.933079592884
25,1500000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4465.919038280845
26,1560000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4488.365691155195
27,1620000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4547.783629968762
28,1680000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4497.37330339849
29,1740000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,552,4458.848590962589
30,1800000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4438.555350527167
31,1860000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4515.931003727019
32,1920000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4725.043972954154
33,1980000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,4639.188910834491
34,2040000000000,1156.0,1156.0,1156.0,1156.0,1156.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,4572.784462943673
