time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,2.0,6.0,2.3122837370242215,2.0,4.0,1156,1.0,2.1666666666666665,1.1944444444444444,1.0,2.1666666666666665,12,1.0,2.2490626623988432,1.2081771103998071,1.0,2.249062662398843,12,2240.2589162811637
1,60000000000,2.0,6.0,2.3105536332179932,2.0,4.0,1156,1.0,6.6,1.28,1.0,1.280000000000004,20,1.0,7.95537136846009,1.3477685684230045,1.0,1.3477685684230094,20,2400.960966013372
2,120000000000,2.0,6.0,2.3105536332179932,2.0,4.0,1156,1.0,1.2352941176470589,1.0392156862745099,1.0,1.2352941176470589,12,1.0,1.248660488288862,1.04155103573775,1.0,1.2486604882888614,12,2269.667172804475
3,180000000000,2.0,6.0,2.3088235294117645,2.0,4.0,1156,1.0,2.1666666666666665,1.193452380952381,1.0,2.1666666666666665,14,1.0,2.248773643483715,1.2066651178435506,1.0,2.2487736434837147,14,2167.84745734185
4,240000000000,2.0,6.0,2.3044982698961936,2.0,4.0,1156,1.0,6.6,1.56,1.0,6.6,20,0.9999999999999998,7.976011671363902,1.69760116713639,1.0,7.9760116713639,20,2396.5983483940363
5,300000000000,2.0,6.0,2.314878892733564,2.0,4.0,1156,1.0,2.8,1.2544117647058823,1.0,2.8,16,1.0,2.992932651207222,1.2802547496756511,1.0,2.9929326512072216,16,2264.451991766691
6,360000000000,2.0,6.0,2.3079584775086506,2.0,4.0,1156,1.0,2.1666666666666665,1.2202380952380951,1.0,2.1666666666666665,14,0.9999999999999998,2.248142096526268,1.2348360872210855,1.0,2.2481420965262675,14,2202.678620815277
7,420000000000,2.0,6.0,2.3079584775086506,2.0,4.0,1156,1.0,6.6,1.46,1.0,2.9900000000000024,20,1.0,7.980104015170612,1.5469583004009582,1.0,3.2333019502455853,20,2426.4731844887137
8,480000000000,2.0,6.0,2.314878892733564,2.0,4.0,1156,1.0,6.6,1.6936974789915964,1.0,3.75,16,0.9999999999999998,7.864198146444526,1.804436648179576,1.0006316245312652,4.2114948167595685,16,2246.8700418248773
9,540000000000,2.0,6.0,2.3027681660899653,2.0,4.0,1156,1.0,2.1666666666666665,1.1666666666666665,1.0,2.1666666666666665,14,0.9999999999999998,2.247156693773619,1.1781652419676598,1.0,2.2471566937736185,14,2176.8107656389475
10,600000000000,2.0,6.0,2.311418685121107,2.0,4.0,1156,1.0,2.8,1.3599999999999999,1.0,2.8,20,1.0,2.987267460605883,1.396514894382088,1.0,2.987267460605883,20,2437.9604356363416
11,660000000000,2.0,6.0,2.3122837370242215,2.0,4.0,1156,1.0,6.6,2.0436974789915965,1.1176470588235294,6.6,16,0.9999999999999998,7.8940989365547996,2.237022468298535,1.124205367221884,7.894098936554799,16,2272.067421115935
12,720000000000,2.0,6.0,2.3019031141868513,2.0,4.0,1156,1.0,2.1666666666666665,1.1666666666666665,1.0,2.1666666666666665,14,1.0,2.245823040209335,1.1779747200299049,1.0,2.2458230402093347,14,2174.8882066458464
13,780000000000,2.0,6.0,2.305363321799308,2.0,4.0,1156,1.0,2.8,1.3599999999999999,1.0,2.8,20,1.0,2.9900421933842574,1.3969186989471853,1.0,2.9900421933842574,20,2388.484349474311
14,840000000000,2.0,6.0,2.3122837370242215,2.0,4.0,1156,1.0,6.6,1.6166666666666665,1.0,4.509999999999997,12,0.9999999999999997,7.913250166264794,1.7421942661066634,1.0,5.206478887521042,12,2253.273082897067
15,900000000000,2.0,6.0,2.305363321799308,2.0,4.0,1156,1.0,2.8,1.1458333333333335,1.0,1.85,16,0.9999999999999999,2.970835533850607,1.1586408060194908,1.0,1.9182719053085873,16,2257.6596224680543
16,960000000000,2.0,6.0,2.315743944636678,2.0,4.0,1156,1.0,2.8,1.3323232323232324,1.0,2.8,22,0.9999999999999999,2.9917271047435072,1.366306722367147,1.0,2.9911070760377174,22,2414.8021154105663
17,1020000000000,2.0,6.0,2.311418685121107,2.0,4.0,1156,1.0,1.2352941176470589,1.0392156862745099,1.0,1.2352941176470589,12,1.0,1.2473480198946012,1.0412246699824335,1.0,1.247348019894601,12,2213.849488645792
18,1080000000000,2.0,6.0,2.3036332179930796,2.0,4.0,1156,1.0,2.8,1.3333333333333333,1.0,2.8,14,0.9999999999999998,2.9703563990870765,1.362502056209351,1.0,2.970356399087076,14,2296.0126334801316
19,1140000000000,2.0,6.0,2.314878892733564,2.0,4.0,1156,1.0,3.75,1.5441919191919196,1.0,2.8,22,1.0,4.140781557238314,1.6046963137610577,1.0,2.992279156823354,22,2422.9531288146973
20,1200000000000,2.0,6.0,2.31401384083045,2.0,4.0,1156,1.0,1.2352941176470589,1.0336134453781514,1.0,1.2352941176470589,14,1.0,1.2476102859007479,1.0353728979858212,1.0,1.2476102859007476,14,2204.028750769794
21,1260000000000,2.0,6.0,2.3036332179930796,2.0,4.0,1156,1.0,2.8,1.259259259259259,1.0,2.8,18,0.9999999999999998,2.968905004604857,1.2817225584636407,1.0,2.9689050046048555,18,2277.709019370377
