time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.4583333333333333,11.0,0.4583333333333333,0.09291409465020577,0.0,0.47644927536231885,0.0,0.016975308641975308,0.0,0.016975308641975308,0.0,0.0,0.0,0.033950617283950615,0.0,19.0,0.029320987654320986
2,120000000000,0.5416666666666666,13.0,0.5416666666666666,0.05922067901234568,0.0,0.5434782608695652,0.0,0.020061728395061727,0.0,0.020061728395061727,0.0,0.0,0.0,0.040123456790123455,0.0,25.0,0.038580246913580245
3,180000000000,0.4583333333333333,11.0,0.4583333333333333,0.0668724279835391,0.0,0.46195652173913043,0.0,0.016975308641975308,0.0,0.016975308641975308,0.0,0.0,0.0,0.033950617283950615,0.0,20.0,0.030864197530864196
4,240000000000,0.4166666666666667,10.0,0.4166666666666667,0.09445730452674897,0.0,0.4438405797101449,0.0,0.015432098765432098,0.0,0.015432098765432098,0.0,0.0,0.0,0.030864197530864196,0.0,17.0,0.026234567901234566
5,300000000000,0.4583333333333333,11.0,0.4583333333333333,0.06565072016460906,0.0,0.4746376811594203,0.0,0.016975308641975308,0.0,0.016975308641975308,0.0,0.0,0.0,0.033950617283950615,0.0,22.0,0.033950617283950615
6,360000000000,0.625,15.0,0.625,0.05870627572016461,0.0,0.6086956521739131,0.0,0.023148148148148147,0.0,0.023148148148148147,0.0,0.0,0.0,0.046296296296296294,0.0,27.0,0.041666666666666664
7,420000000000,0.25,6.0,0.25,0.08712705761316872,0.0,0.2971014492753623,0.0,0.009259259259259259,0.0,0.009259259259259259,0.0,0.0,0.0,0.018518518518518517,0.0,12.0,0.018518518518518517
8,480000000000,0.5,12.0,0.5,0.061535493827160496,0.0,0.5036231884057971,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.0,0.037037037037037035,0.0,24.0,0.037037037037037035
9,540000000000,0.6666666666666666,16.0,0.6666666666666666,0.06552211934156378,0.0,0.6521739130434783,0.0,0.024691358024691357,0.0,0.024691358024691357,0.0,0.0,0.0,0.04938271604938271,0.0,30.0,0.046296296296296294
10,600000000000,0.2916666666666667,7.0,0.2916666666666667,0.08603395061728394,0.0,0.338768115942029,0.0,0.010802469135802469,0.0,0.010802469135802469,0.0,0.0,0.0,0.021604938271604937,0.0,14.0,0.021604938271604937
11,660000000000,0.5416666666666666,13.0,0.5416666666666666,0.07613168724279835,0.0,0.5471014492753623,0.0,0.020061728395061727,0.0,0.020061728395061727,0.0,0.0,0.0,0.040123456790123455,0.0,26.0,0.040123456790123455
12,720000000000,0.6666666666666666,16.0,0.6666666666666666,0.0720164609053498,0.0,0.6594202898550725,0.0,0.024691358024691357,0.0,0.024691358024691357,0.0,0.0,0.0,0.04938271604938271,0.0,29.0,0.044753086419753084
13,780000000000,0.25,6.0,0.25,0.0878343621399177,0.0,0.29528985507246375,0.0,0.009259259259259259,0.0,0.009259259259259259,0.0,0.0,0.0,0.018518518518518517,0.0,11.0,0.016975308641975308
14,840000000000,0.6666666666666666,16.0,0.6666666666666666,0.08301183127572016,0.0,0.6594202898550725,0.0,0.024691358024691357,0.0,0.024691358024691357,0.0,0.0,0.0,0.04938271604938271,0.0,31.0,0.047839506172839504
15,900000000000,0.5416666666666666,13.0,0.5416666666666666,0.0733667695473251,0.0,0.5471014492753623,0.0,0.020061728395061727,0.0,0.020061728395061727,0.0,0.0,0.0,0.040123456790123455,0.0,26.0,0.040123456790123455
16,960000000000,0.25,6.0,0.25,0.08429783950617284,0.0,0.2807971014492754,0.0,0.009259259259259259,0.0,0.009259259259259259,0.0,0.0,0.0,0.018518518518518517,0.0,10.0,0.015432098765432098
17,1020000000000,0.7083333333333334,17.0,0.7083333333333334,0.08976337448559671,0.0,0.6992753623188406,0.0,0.026234567901234566,0.0,0.026234567901234566,0.0,0.0,0.0,0.05246913580246913,0.6499999999999773,33.0,0.05092592592592592
18,1080000000000,0.625,15.0,0.625,0.07349537037037036,0.0,0.625,0.0,0.023148148148148147,0.0,0.023148148148148147,0.0,0.0,0.0,0.046296296296296294,0.0,30.0,0.046296296296296294
19,1140000000000,0.20833333333333334,5.0,0.20833333333333334,0.07516718106995884,0.0,0.24094202898550723,0.0,0.007716049382716049,0.0,0.007716049382716049,0.0,0.0,0.0,0.015432098765432098,0.0,8.0,0.012345679012345678
20,1200000000000,0.6666666666666666,16.0,0.6666666666666666,0.10037294238683128,0.0,0.6594202898550725,0.0,0.024691358024691357,0.0,0.024691358024691357,0.0,0.0,0.0,0.04938271604938271,0.0,32.0,0.04938271604938271
21,1260000000000,0.5416666666666666,13.0,0.5416666666666666,0.0729809670781893,0.0,0.5434782608695652,0.0,0.020061728395061727,0.0,0.020061728395061727,0.0,0.0,0.0,0.040123456790123455,0.0,26.0,0.040123456790123455
22,1320000000000,0.20833333333333334,5.0,0.20833333333333334,0.0775462962962963,0.0,0.2318840579710145,0.0,0.007716049382716049,0.0,0.007716049382716049,0.0,0.0,0.0,0.015432098765432098,0.0,9.0,0.013888888888888888
23,1380000000000,0.7083333333333334,17.0,0.7083333333333334,0.08674125514403293,0.0,0.6920289855072463,0.0,0.026234567901234566,0.0,0.026234567901234566,0.0,0.0,0.0,0.05246913580246913,1.0,34.0,0.05246913580246913
