time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,explicit_failover_dynamic_egress_repair_count,explicit_failover_dynamic_egress_repair_rate,explicit_failover_dynamic_egress_unavailable_count,explicit_failover_dynamic_egress_unavailable_rate,compute_time_ms
0,0,3.0,10.0,4.5246913580246915,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,415,0.9999999999999998,1.1871211046959718,1.0185470214694132,1.0,1.1041820009992571,415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.64168799688923
1,60000000000,3.0,10.0,4.530864197530864,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,440,0.9999999999999998,1.2401591158204963,1.0172136046933882,1.0,1.0981203484728819,440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.9646350010007
2,120000000000,3.0,10.0,4.530864197530864,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,413,0.9999999999999997,1.1966598573330225,1.0175680869507842,1.0,1.0964533386212523,413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0294639993808
3,180000000000,3.0,10.0,4.520061728395062,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,412,0.9999999999999996,1.1904798936899526,1.0192393777282052,1.0,1.1054502862592546,412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.2481539999135
4,240000000000,3.0,10.0,4.532407407407407,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,426,0.9999999999999998,1.2413904282717465,1.014230838416727,1.0,1.0896018922870643,426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.3968579985376
5,300000000000,3.0,10.0,4.533950617283951,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,425,0.9999999999999997,1.1991813479749636,1.0149503118496992,1.0,1.094085924819771,425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.02187999815214
6,360000000000,3.0,10.0,4.529320987654321,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,414,0.9999999999999998,1.193754618932905,1.0186035436885723,1.0,1.1046698659195553,414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.41850299964426
7,420000000000,3.0,10.0,4.530864197530864,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,424,0.9999999999999998,1.24253704840555,1.0140862699872888,1.0,1.0957905391038107,424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.663529999787
8,480000000000,3.0,10.0,4.53858024691358,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,448,0.9999999999999998,1.1956468857675093,1.0131616957113496,1.0,1.0762071030524178,448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.28031099945656
9,540000000000,3.0,10.0,4.530864197530864,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,418,0.9999999999999998,1.1969423323937152,1.015896296247068,1.0,1.0939680248710364,418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.61267600007704
10,600000000000,3.0,10.0,4.530864197530864,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,430,0.9999999999999998,1.1527884335573007,1.012872711888485,1.0,1.0916168389549707,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.04555099998834
11,660000000000,3.0,10.0,4.541666666666667,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,451,0.9999999999999998,1.2011066380384414,1.0138394449928405,1.0,1.0799145359457598,451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.96876899839845
12,720000000000,3.0,10.0,4.529320987654321,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,409,0.9999999999999998,1.200039818631638,1.0168586398661221,1.0,1.0970303035389086,409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.6455179982877
13,780000000000,3.0,10.0,4.53858024691358,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,429,0.9999999999999998,1.1563486682010227,1.013939616167355,1.0,1.0931181050138927,429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.2933089999133
14,840000000000,3.0,10.0,4.530864197530864,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,444,0.9999999999999996,1.2028763727344767,1.0151932908351151,1.0,1.0889444088335993,444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.5019570000004
15,900000000000,3.0,9.0,4.526234567901234,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,418,0.9999999999999998,1.1741572706581829,1.015573650830578,1.0,1.0931595977029114,418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0990140004724
16,960000000000,3.0,10.0,4.529320987654321,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,426,0.9999999999999998,1.185981199999719,1.015289943223976,1.0,1.1002592123726402,426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0226999990118
17,1020000000000,3.0,10.0,4.529320987654321,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,451,0.9999999999999999,1.2045897717592673,1.0156834029891337,1.0,1.0989517330688212,451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.4335970004031
18,1080000000000,3.0,9.0,4.529320987654321,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,419,0.9999999999999997,1.173610437743139,1.0156344218062507,1.0,1.0924166564219076,419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0711830019718
19,1140000000000,3.0,10.0,4.533950617283951,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,423,0.9999999999999998,1.1876867941130658,1.0152592213563245,1.0,1.098986202710876,423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.42521799952374
20,1200000000000,3.0,10.0,4.537037037037037,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,457,0.9999999999999998,1.206244261361225,1.0147310103216216,1.0,1.0973319952692566,457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.478137000493
21,1260000000000,3.0,9.0,4.540123456790123,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,441,0.9999999999999998,1.1690506221306813,1.0138400516341013,1.0,1.092126537502097,441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.27150699996855
22,1320000000000,3.0,10.0,4.541666666666667,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,424,0.9999999999999998,1.189324688830433,1.014103733831884,1.0,1.0850893236235133,424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.62051299991435
23,1380000000000,3.0,10.0,4.537037037037037,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,459,0.9999999999999998,1.2078393237873974,1.0145699932291639,1.0,1.0998220885616987,459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.2353799996781
24,1440000000000,3.0,9.0,4.533950617283951,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,445,0.9999999999999998,1.1718353404722917,1.0138838595439128,1.0,1.0907828823994203,445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.52805900317617
25,1500000000000,3.0,10.0,4.54320987654321,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,426,0.9999999999999997,1.1908928816805735,1.0151628284169616,1.0,1.0954572631722068,426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.3006469992106
26,1560000000000,3.0,10.0,4.54320987654321,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,470,0.9999999999999998,1.17458350766853,1.012440549879884,1.0,1.0909429868456826,470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.1603189977468
27,1620000000000,3.0,9.0,4.533950617283951,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,439,0.9999999999999998,1.225213767170469,1.014518182633224,1.0,1.091211536429815,439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.6406029991631
28,1680000000000,3.0,9.0,4.540123456790123,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,418,0.9999999999999998,1.1923891225337995,1.0149823333069026,1.0,1.0889236245232585,418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.3101200007659
29,1740000000000,3.0,10.0,4.544753086419753,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,455,0.9999999999999997,1.2072391177861137,1.0106026163867226,1.0,1.074862252473063,455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.80998799941153
30,1800000000000,3.0,9.0,4.53858024691358,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,442,0.9999999999999997,1.228523693058505,1.0144264766326305,1.0,1.0988614583884861,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.4480749981594
31,1860000000000,3.0,9.0,4.533950617283951,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,419,0.9999999999999997,1.2149494414781987,1.0148129439242297,1.0,1.088163526825742,419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.956400001829
32,1920000000000,3.0,10.0,4.541666666666667,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,460,0.9999999999999998,1.1955492974949995,1.011906660008754,1.0,1.0818532490575552,460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.11106699774973
33,1980000000000,3.0,9.0,4.549382716049383,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,447,0.9999999999999998,1.2317220230050634,1.0121357116808845,1.0,1.0878306422684672,447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.22995700116735
34,2040000000000,3.0,9.0,4.537037037037037,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,425,0.9999999999999998,1.2167586304593108,1.019267430891022,1.0,1.1080838234540906,425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0398020011489
35,2100000000000,3.0,10.0,4.54320987654321,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,473,0.9999999999999998,1.1972381814017214,1.0142742178471713,1.0,1.1032371493094164,473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.2378719992121
36,2160000000000,3.0,9.0,4.540123456790123,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,459,0.9999999999999997,1.1835994309607358,1.016529935538468,1.0,1.1060146363153551,459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.6787100013753
37,2220000000000,3.0,9.0,4.533950617283951,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,436,0.9999999999999997,1.2184722092489144,1.0174706482530658,1.0,1.1087854257965493,436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.5413839989342
38,2280000000000,3.0,10.0,4.537037037037037,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,471,0.9999999999999998,1.1988522279494032,1.0165946110239108,1.0,1.1133291092570825,471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.3283110001066
39,2340000000000,3.0,9.0,4.529320987654321,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,469,0.9999999999999998,1.1854064743947372,1.015901934615066,1.0,1.1048849188437637,469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.4978639993642
40,2400000000000,3.0,9.0,4.537037037037037,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,443,0.9999999999999998,1.2195876384500681,1.0168592714687046,1.0,1.1079703291257834,443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.1000189992192
41,2460000000000,3.0,10.0,4.53858024691358,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,471,0.9999999999999998,1.2003869088608068,1.0170386676926844,1.0,1.1145706754079159,471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.4722850009566
42,2520000000000,3.0,9.0,4.532407407407407,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,475,0.9999999999999998,1.2463654660460959,1.0164133921506664,1.0,1.1189300635955937,475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.6610110022302
43,2580000000000,3.0,9.0,4.535493827160494,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,440,0.9999999999999998,1.2865605622409373,1.019891710408815,1.0,1.1253227401880135,440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.42149000117206
44,2640000000000,3.0,9.0,4.547839506172839,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,464,0.9999999999999997,1.2018934553241394,1.0177567584947596,1.0,1.1151995370781689,464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.80599200187135
45,2700000000000,3.0,9.0,4.527777777777778,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,457,0.9999999999999998,1.3083510326859618,1.0215308838491484,1.0,1.1455863488863383,457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.3457930026925
46,2760000000000,3.0,9.0,4.526234567901234,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,441,0.9999999999999997,1.288970400207333,1.0200356614451909,1.0,1.1298765612816088,441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.2262919981731
47,2820000000000,3.0,9.0,4.53858024691358,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,467,0.9999999999999998,1.2034679909767338,1.015689788153875,1.0,1.1128841306235424,467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.9899779999687
48,2880000000000,3.0,9.0,4.527777777777778,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,467,0.9999999999999998,1.3123247672185452,1.0195157510904362,1.0,1.131695751233801,467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.1874160004372
49,2940000000000,3.0,9.0,4.5246913580246915,4.0,6.649999999999977,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,435,0.9999999999999998,1.340222450265272,1.0241009974207722,1.0,1.1418106088369029,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0981350002985
50,3000000000000,3.0,9.0,4.533950617283951,4.0,7.0,648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,454,0.9999999999999998,1.2049629056544928,1.0162478395691277,1.0,1.108056233766098,454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.8875670003181
