time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,24.0,24.0,24.0,24.0,24.0,648,1.0,1.7272727272727273,1.0194250998598826,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,21189.548928290606
1,60000000000,24.0,24.0,24.0,24.0,24.0,648,0.14285714285714285,10.0,1.1904027490196654,1.0,2.5555555555555554,552,0.1832506914141585,8.034182763000361,1.0800589673682386,1.0000000000000002,1.9896275315096799,552,42.45548788458109
2,120000000000,24.0,24.0,24.0,24.0,24.0,648,0.1,10.0,1.1864592837482304,1.0,2.5555555555555554,552,0.13723311778796127,8.419654984016335,1.1003063411490879,1.0088092711463545,1.8767325911575257,552,37.03573811799288
3,180000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.7272727272727273,1.0266430595075098,1.0,1.1499999999999773,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,21015.09882416576
4,240000000000,24.0,24.0,24.0,24.0,24.0,648,0.14285714285714285,10.0,1.1767106865169004,1.0,2.5555555555555554,552,0.1829256517225761,8.003313453689657,1.0724633842121716,1.0005721019156661,1.980530657011214,552,71.60928472876549
5,300000000000,24.0,24.0,24.0,24.0,24.0,648,0.13043478260869565,11.0,1.258534485891141,1.0,2.7724999999999964,552,0.207251171706709,8.708300716635637,1.141514060515479,1.00239211401145,2.0545581875653345,552,37.63190936297178
6,360000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.7272727272727273,1.0278507889761088,1.0,1.3333333333333333,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,21018.648211844265
7,420000000000,24.0,24.0,24.0,24.0,24.0,648,0.14285714285714285,10.0,1.1235645716076483,1.0,1.9090909090909092,552,0.183183353240537,7.936257788943523,1.0439575927672025,1.000410788786942,1.3216480190729487,552,41.321614757180214
8,480000000000,24.0,24.0,24.0,24.0,24.0,648,0.13043478260869565,11.0,1.3686797645762905,1.0,3.2857142857142856,552,0.20756363112304316,8.690454024253762,1.186566735869502,1.0011154739940005,2.2998711103251996,552,38.01697585731745
9,540000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.9090909090909092,1.0228387918050053,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,21164.79504108429
10,600000000000,24.0,24.0,24.0,24.0,24.0,648,0.14285714285714285,7.0,1.1109204659667962,1.0,1.8653846153846125,552,0.19625863213836037,4.572606096343267,1.0336281927201967,1.0,1.3132886313206134,552,37.84540481865406
11,660000000000,24.0,24.0,24.0,24.0,24.0,648,0.13043478260869565,11.0,1.3214383418855704,1.0,3.2507936507936463,552,0.20818507343218887,8.650925903351105,1.1581716105447555,1.0,2.2975528175054363,552,37.61505149304867
12,720000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.9090909090909092,1.0180337077160337,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,21156.307748518884
13,780000000000,24.0,24.0,24.0,24.0,24.0,648,0.13636363636363635,7.333333333333333,1.0996490939144488,1.0,1.6248251748251734,552,0.21766026429578963,4.651735952557928,1.0311362135198665,1.0,1.1197259251090714,552,38.93283195793629
14,840000000000,24.0,24.0,24.0,24.0,24.0,648,0.13043478260869565,7.666666666666667,1.286073972742891,1.0,3.2222222222222223,552,0.19826074291585633,5.851404177319886,1.1373303172788132,1.0,2.2770167485623705,552,37.578136660158634
15,900000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.9090909090909092,1.0191990607120502,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,21068.738856352866
16,960000000000,24.0,24.0,24.0,24.0,24.0,648,0.10526315789473684,7.333333333333333,1.047730036407997,1.0,1.5,552,0.146398018189967,4.5755613445249,1.0059078501760157,1.0,1.0761159904267832,552,66.61500781774521
17,1020000000000,24.0,24.0,24.0,24.0,24.0,648,0.13043478260869565,7.666666666666667,1.3407546450654804,1.0185185185185186,3.3333333333333335,552,0.21032820070301878,5.839415938610125,1.1741407835420277,1.0,2.4999361559245337,552,37.798453122377396
18,1080000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.9090909090909092,1.0191990607120502,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,21239.70911744982
19,1140000000000,24.0,24.0,24.0,24.0,24.0,648,0.10526315789473684,2.8333333333333335,1.0237989788857313,1.0,1.3333333333333333,552,0.14768495896392608,2.306935171915736,0.9959757065574691,1.0,1.0191622281671582,552,38.932161405682564
20,1200000000000,24.0,24.0,24.0,24.0,24.0,648,0.13043478260869565,7.666666666666667,1.3528544224234287,1.0,3.408333333333322,552,0.21182743965023754,5.817477502142132,1.184054480062713,1.0000000000000002,2.608323349659006,552,65.05813915282488
21,1260000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.9090909090909092,1.0248936881458082,1.0,1.2105263157894737,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,20875.08159223944
22,1320000000000,24.0,24.0,24.0,24.0,24.0,648,0.09523809523809523,5.0,1.0590380670812394,1.0,1.513235294117645,552,0.12906142068233153,3.6111740026525054,1.0153489709800476,1.0,1.078259007521711,552,38.699524477124214
23,1380000000000,24.0,24.0,24.0,24.0,24.0,648,0.13043478260869565,7.666666666666667,1.2958467607396198,1.037037037037037,3.3333333333333335,552,0.21359185166921202,5.161448943162966,1.1446150786560638,1.000234093557021,2.434255094755156,552,37.08271682262421
24,1440000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.9090909090909092,1.0315931268145562,1.0,1.3421568627450966,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,20610.008051618934
25,1500000000000,24.0,24.0,24.0,24.0,24.0,648,0.09523809523809523,7.333333333333333,1.1265358106118402,1.0,2.3687499999999995,552,0.12960259618755895,4.756107752117352,1.0442352578731384,1.0,1.6029589445821328,552,37.57408447563648
26,1560000000000,24.0,24.0,24.0,24.0,24.0,648,0.13043478260869565,7.666666666666667,1.244341984125671,1.0,3.128571428571409,552,0.21560352725617324,5.146629845930108,1.1215445958261252,1.0006538319261407,2.1226061755192633,552,37.90199290961027
27,1620000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.9090909090909092,1.0300403317835005,1.0,1.3333333333333333,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,20638.780191540718
28,1680000000000,24.0,24.0,24.0,24.0,24.0,648,0.09523809523809523,7.333333333333333,1.106410112907046,1.0,1.786607142857132,552,0.13039787216748863,4.745906901918478,1.0391840194931325,1.0,1.1425499520638538,552,37.82006539404392
29,1740000000000,24.0,24.0,24.0,24.0,24.0,648,0.15384615384615385,7.666666666666667,1.2785907538974863,1.0,3.4404761904761743,552,0.19130567600686124,5.138756537265575,1.1280198370896306,1.0,2.450357568160851,552,37.435430102050304
30,1800000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,2.090909090909091,1.031786661686379,1.0,1.3333333333333333,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,20650.27743484825
31,1860000000000,24.0,24.0,24.0,24.0,24.0,648,0.09523809523809523,7.333333333333333,1.2499746374031229,1.0,3.1666666666666665,552,0.131445782389964,4.727412935237347,1.1177876702264788,1.0,2.2024423515046943,552,63.19080665707588
32,1920000000000,24.0,24.0,24.0,24.0,24.0,648,0.15384615384615385,7.666666666666667,1.1668269557486113,1.0,2.5555555555555554,552,0.19146813366639803,5.121536560076302,1.0857102751989824,1.0063187737979464,1.6949807730716648,552,37.377938628196716
33,1980000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,2.090909090909091,1.0317924402962766,1.0,1.3421568627450966,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,20681.34834524244
34,2040000000000,24.0,24.0,24.0,24.0,24.0,648,0.15,7.333333333333333,1.311704095136229,1.0,3.908333333333322,552,0.2011597849951109,5.7869477990410845,1.152507342696253,1.0,2.6084065346926706,552,37.84242458641529
35,2100000000000,24.0,24.0,24.0,24.0,24.0,648,0.15384615384615385,9.5,1.2029154573657277,1.0,2.7303571428571405,552,0.19154421538908664,7.273042984807275,1.1124876054769963,1.0051337383916614,1.8812072174774028,552,62.517344020307064
36,2160000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.6,1.0189110447590728,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,20744.419981725514
37,2220000000000,24.0,24.0,24.0,24.0,24.0,648,0.15,7.333333333333333,1.284401927833351,1.0,3.4312499999999915,552,0.21050364740575392,4.6859792645516505,1.1270636310472004,1.0,2.4408237953248744,552,37.985351867973804
38,2280000000000,24.0,24.0,24.0,24.0,24.0,648,0.15384615384615385,9.5,1.1842725224456565,1.0,2.862499999999983,552,0.1919020443756844,7.401279497924495,1.1068668774713026,1.0033149821030511,1.930203983531349,552,37.286439910531044
39,2340000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.7142857142857142,1.025922486681842,1.0,1.3421568627450966,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,20796.091957949102
40,2400000000000,24.0,24.0,24.0,24.0,24.0,648,0.15,7.333333333333333,1.2755067631231765,1.0,3.704999999999984,552,0.20384672943288112,4.645442321654065,1.1193094850951248,1.0,2.2704228593408815,552,38.85602205991745
41,2460000000000,24.0,24.0,24.0,24.0,24.0,648,0.15384615384615385,9.5,1.1508151369044064,1.0,2.2785714285714276,552,0.19253372085401851,7.516894149875706,1.0852270485298066,1.0010037864252932,1.6816593620791547,552,37.23501693457365
42,2520000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.7142857142857142,1.0227886639828017,1.0,1.1349999999999796,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,20858.553351834416
43,2580000000000,24.0,24.0,24.0,24.0,24.0,648,0.13636363636363635,7.0,1.2307566216541475,1.0,2.875,552,0.20209908044303496,4.524084151366057,1.0905130552266848,1.0,2.1780168169384506,552,38.002969697117805
44,2640000000000,24.0,24.0,24.0,24.0,24.0,648,0.10714285714285714,8.5,1.0954088384091447,1.0,1.653571428571427,552,0.18933701491162366,6.565147550923824,1.046530058793492,1.0006249462398231,1.2779787906901752,552,37.40806970745325
45,2700000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.7142857142857142,1.0205882033256175,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,20795.9038997069
46,2760000000000,24.0,24.0,24.0,24.0,24.0,648,0.13636363636363635,6.75,1.1950684099238054,1.0,2.875,552,0.2006291890854626,4.408925200157328,1.0759555196571418,1.0,2.1471199860203654,552,37.5704038888216
47,2820000000000,24.0,24.0,24.0,24.0,24.0,648,0.10714285714285714,6.75,1.1069115765901831,1.0,2.1,552,0.1890097343824273,5.453025255801603,1.0613336746216564,1.0009875550162026,1.519837594426169,552,38.81605248898268
48,2880000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.6666666666666667,1.0213791234428264,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,20815.812847577035
49,2940000000000,24.0,24.0,24.0,24.0,24.0,648,0.13636363636363635,6.75,1.2203911638785998,1.0,2.875,552,0.19945118954717886,4.393744873715836,1.0912327251878782,1.0,2.139279709964013,552,37.407017312943935
50,3000000000000,24.0,24.0,24.0,24.0,24.0,648,0.14814814814814814,6.75,1.1368676296073883,1.0,2.1112499999999983,552,0.19566083806061701,5.394489557069316,1.0664424331806537,1.0,1.5966181899140253,552,36.361766047775745
51,3060000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.6666666666666667,1.0217855708601435,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,20759.74613428116
52,3120000000000,24.0,24.0,24.0,24.0,24.0,648,0.15,6.75,1.1893307554137609,1.0,2.8651785714285705,552,0.19857672414503377,4.3747609518102095,1.070725652903814,1.0,1.9769097295279148,552,37.38291375339031
53,3180000000000,24.0,24.0,24.0,24.0,24.0,648,0.14814814814814814,6.75,1.1979330009891318,1.0,2.875,552,0.19743583650606428,4.598387165748783,1.104515428139556,1.0118738649608856,2.1402800044024723,552,37.125423550605774
