time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,explicit_failover_dynamic_egress_repair_count,explicit_failover_dynamic_egress_repair_rate,explicit_failover_dynamic_egress_unavailable_count,explicit_failover_dynamic_egress_unavailable_rate,compute_time_ms
0,0,4.0,34.0,5.450617283950617,4.0,7.649999999999977,648,0.0,88.0,46.210144927536234,44.0,80.0,552,0.0,280.0,116.4927536231884,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.47938616015017
1,60000000000,4.0,34.0,5.493827160493828,4.0,7.649999999999977,648,0.0,92.0,46.28260869565217,44.0,80.0,552,0.0,296.0,116.65217391304348,104.0,248.0,552,1.0,1.25,1.0004528985507246,1.0,1.0,552,0.9999999999999998,1.06621926210629,1.0009640373524407,1.0,1.0027505773045489,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.12681159420289856,0.0,0.0,248.43236012384295
2,120000000000,4.0,33.0,5.45679012345679,4.0,7.649999999999977,648,0.0,92.0,46.05072463768116,44.0,81.79999999999973,552,0.0,296.0,116.1159420289855,104.0,255.1999999999989,552,1.0,1.25,1.0018468196457326,1.0,1.0,552,0.9999999999999997,1.0643764768174555,1.0029683310109514,1.0,1.015246217607076,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.25905797101449274,0.0,0.0,291.16831603460014
3,180000000000,4.0,34.0,5.445987654320987,4.0,7.0,648,0.0,92.0,46.02173913043478,44.0,80.0,552,0.0,296.0,115.8695652173913,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.5341150313616
4,240000000000,4.0,34.0,5.49537037037037,4.0,8.0,648,0.0,92.0,46.231884057971016,44.0,80.0,552,0.0,296.0,116.57971014492753,104.0,248.0,552,1.0,1.25,1.0009057971014492,1.0,1.0,552,0.9999999999999998,1.0666609486748764,1.000756156144054,1.0,1.0017780664868556,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.125,0.0,0.0,241.484739119187
5,300000000000,4.0,33.0,5.422839506172839,4.0,7.0,648,0.0,92.0,45.905797101449274,44.0,81.79999999999973,552,0.0,296.0,115.66666666666667,104.0,255.1999999999989,552,1.0,1.25,1.0013083735909822,1.0,1.0,552,0.9999999999999997,1.0652392152814845,1.0025714176592824,1.0,1.0138790019324015,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.2898550724637681,0.0,0.0,248.9818010944873
6,360000000000,4.0,34.0,5.492283950617284,4.0,7.0,648,0.0,92.0,46.166666666666664,44.0,80.0,552,0.0,296.0,116.44927536231884,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.71069893054664
7,420000000000,4.0,34.0,5.493827160493828,4.0,8.0,648,0.0,92.0,46.35507246376812,44.0,80.0,552,0.0,296.0,116.94202898550725,104.0,248.0,552,1.0,1.25,1.0007116977225672,1.0,1.0,552,0.9999999999999998,1.067079414152097,1.0005779677022582,1.0,1.0008612413179396,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.15760869565217392,0.0,0.0,288.81098493002355
8,480000000000,4.0,33.0,5.427469135802469,4.0,7.0,648,0.0,92.0,46.28260869565217,44.0,80.0,552,0.0,296.0,117.04347826086956,104.0,248.0,552,1.0,1.25,1.0018793002488655,1.0,1.0,552,0.9999999999999997,1.0656911470354784,1.0021582026293208,1.0,1.012678540412674,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.25905797101449274,0.0,0.0,246.9122048933059
9,540000000000,4.0,34.0,5.493827160493828,4.0,7.0,648,0.0,92.0,46.10144927536232,44.0,80.0,552,0.0,296.0,116.44927536231884,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.53213810920715
10,600000000000,4.0,34.0,5.493827160493828,4.0,8.0,648,0.0,92.0,46.31159420289855,44.0,80.0,552,0.0,296.0,117.02898550724638,104.0,248.0,552,1.0,1.1428571428571428,1.0005003450655623,1.0,1.0,552,0.9999999999999997,1.0613596391571076,1.0009229936954978,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.16304347826086957,0.0,0.0,245.29978493228555
11,660000000000,4.0,33.0,5.430555555555555,4.0,7.0,648,0.0,92.0,46.45652173913044,44.0,81.79999999999973,552,0.0,296.0,117.73913043478261,104.0,255.1999999999989,552,1.0,1.25,1.0018793002488655,1.0,1.0,552,0.9999999999999997,1.0661319097806483,1.0024496956700475,1.0,1.0141228931744783,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.22826086956521738,0.0,0.0,290.6387480907142
12,720000000000,4.0,34.0,5.455246913580247,4.0,7.0,648,0.0,92.0,46.17391304347826,44.0,80.0,552,0.0,296.0,116.73913043478261,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.29775497317314
13,780000000000,4.0,34.0,5.5015432098765435,4.0,8.0,648,0.0,92.0,46.30434782608695,44.0,80.0,552,0.0,296.0,117.1304347826087,104.0,248.0,552,1.0,1.1428571428571428,1.0004852484472049,1.0,1.0,552,0.9999999999999997,1.061817245425259,1.000957078534878,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.14673913043478262,0.0,0.0,283.0828030128032
14,840000000000,4.0,33.0,5.45679012345679,4.0,7.0,648,0.0,92.0,46.492753623188406,44.0,80.0,552,0.0,296.0,117.8840579710145,104.0,248.0,552,1.0,1.5,1.0032372770144509,1.0,1.0,552,0.9999999999999996,1.2737673779258545,1.0030409568745644,1.0,1.0173090256529376,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.26811594202898553,0.0,0.0,242.6503610331565
15,900000000000,4.0,33.0,5.452160493827161,4.0,7.0,648,0.0,92.0,46.06521739130435,44.0,80.0,552,0.0,296.0,116.30434782608695,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.42717288061976
