time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.4583333333333333,11.0,0.4583333333333333,0.002507716049382716,6.430041152263375e-05,0.09239130434782608,0.014492753623188406,0.12654320987654322,0.0,0.11265432098765432,0.0,0.0,0.0,0.23919753086419754,0.0,19.0,0.029320987654320986
2,120000000000,0.5416666666666666,13.0,0.5416666666666666,0.0024434156378600825,6.430041152263375e-05,0.12318840579710146,0.009057971014492754,0.13271604938271606,0.0,0.14660493827160495,0.0,0.0,0.0,0.279320987654321,0.0,25.0,0.038580246913580245
3,180000000000,0.4583333333333333,11.0,0.4583333333333333,0.01787551440329218,0.006815843621399177,0.10326086956521739,0.018115942028985508,0.13425925925925927,0.0,0.12962962962962962,0.0,0.0941358024691358,0.0,0.35802469135802467,0.0,32.0,0.04938271604938271
4,240000000000,0.4166666666666667,10.0,0.4166666666666667,0.0023791152263374486,0.0,0.07971014492753623,0.02355072463768116,0.11419753086419752,0.0,0.10493827160493827,0.0,0.0,0.0,0.2191358024691358,0.0,17.0,0.026234567901234566
5,300000000000,0.4583333333333333,11.0,0.4583333333333333,0.002507716049382716,6.430041152263375e-05,0.10326086956521739,0.010869565217391304,0.1095679012345679,0.0,0.13734567901234568,0.0,0.0,0.0,0.24691358024691357,0.0,22.0,0.033950617283950615
6,360000000000,0.625,15.0,0.625,0.01768261316872428,0.004693930041152264,0.14673913043478262,0.016304347826086956,0.18981481481481483,0.0,0.1574074074074074,0.0,0.06944444444444445,0.0,0.4166666666666667,3.6499999999999773,35.0,0.05401234567901234
7,420000000000,0.25,6.0,0.25,0.002507716049382716,6.430041152263375e-05,0.057971014492753624,0.0018115942028985507,0.06944444444444445,0.0,0.06481481481481481,0.0,0.0,0.0,0.13425925925925927,0.0,12.0,0.018518518518518517
8,480000000000,0.5,12.0,0.5,0.0023148148148148147,6.430041152263375e-05,0.09963768115942029,0.028985507246376812,0.1111111111111111,0.0,0.15432098765432098,0.0,0.0,0.0,0.2654320987654321,0.0,24.0,0.037037037037037035
9,540000000000,0.6666666666666666,16.0,0.6666666666666666,0.017939814814814815,0.011574074074074073,0.14673913043478262,0.021739130434782608,0.19753086419753085,0.0,0.16049382716049382,0.0,0.05709876543209876,0.0,0.41512345679012347,4.649999999999977,36.0,0.05555555555555555
10,600000000000,0.2916666666666667,7.0,0.2916666666666667,0.002764917695473251,0.00019290123456790122,0.07427536231884058,0.012681159420289856,0.08950617283950617,0.0,0.08487654320987655,0.0,0.0,0.0,0.1743827160493827,0.0,14.0,0.021604938271604937
11,660000000000,0.5416666666666666,13.0,0.5416666666666666,0.001993312757201646,6.430041152263375e-05,0.10869565217391304,0.03260869565217391,0.12808641975308643,0.0,0.16512345679012347,0.0,0.0,0.0,0.2932098765432099,0.0,26.0,0.040123456790123455
12,720000000000,0.6666666666666666,16.0,0.6666666666666666,0.018518518518518517,0.011445473251028807,0.13768115942028986,0.043478260869565216,0.18518518518518517,0.0,0.16666666666666666,0.0,0.06018518518518518,0.0,0.41203703703703703,4.0,35.0,0.05401234567901234
13,780000000000,0.25,6.0,0.25,0.00257201646090535,0.0,0.05615942028985507,0.009057971014492754,0.07716049382716049,0.0,0.06018518518518518,0.0,0.0,0.0,0.13734567901234568,0.0,11.0,0.016975308641975308
14,840000000000,0.6666666666666666,16.0,0.6666666666666666,0.002700617283950617,0.0,0.13949275362318841,0.036231884057971016,0.16820987654320987,0.0,0.19135802469135801,0.0,0.0,0.0,0.3595679012345679,0.0,31.0,0.047839506172839504
15,900000000000,0.5416666666666666,13.0,0.5416666666666666,0.01838991769547325,0.004629629629629629,0.12318840579710146,0.030797101449275364,0.1697530864197531,0.0,0.15895061728395063,0.0,0.06481481481481481,0.0,0.39351851851851855,3.6499999999999773,35.0,0.05401234567901234
16,960000000000,0.25,6.0,0.25,0.002507716049382716,0.0001286008230452675,0.043478260869565216,0.018115942028985508,0.07561728395061729,0.0,0.05555555555555555,0.0,0.0,0.0,0.13117283950617284,0.0,10.0,0.015432098765432098
17,1020000000000,0.7083333333333334,17.0,0.7083333333333334,0.0026363168724279837,6.430041152263375e-05,0.14855072463768115,0.043478260869565216,0.19290123456790123,0.0,0.21141975308641975,0.0,0.0,0.0,0.404320987654321,1.2999999999999545,33.0,0.05092592592592592
18,1080000000000,0.625,15.0,0.625,0.01819701646090535,0.016010802469135804,0.13043478260869565,0.05253623188405797,0.18209876543209877,0.0,0.1882716049382716,0.0,0.05555555555555555,0.0,0.42592592592592593,5.0,37.0,0.05709876543209876
19,1140000000000,0.20833333333333334,5.0,0.20833333333333334,0.002507716049382716,6.430041152263375e-05,0.041666666666666664,0.009057971014492754,0.05864197530864197,0.0,0.043209876543209874,0.0,0.0,0.0,0.10185185185185185,0.0,8.0,0.012345679012345678
20,1200000000000,0.6666666666666666,16.0,0.6666666666666666,0.0026363168724279837,6.430041152263375e-05,0.1431159420289855,0.034420289855072464,0.2006172839506173,0.0,0.20833333333333334,0.0,0.0,0.0,0.4089506172839506,0.0,32.0,0.04938271604938271
21,1260000000000,0.5416666666666666,13.0,0.5416666666666666,0.018582818930041153,0.006944444444444444,0.125,0.041666666666666664,0.1743827160493827,0.0,0.15895061728395063,0.0,0.07716049382716049,0.0,0.4104938271604938,4.649999999999977,36.0,0.05555555555555555
22,1320000000000,0.20833333333333334,5.0,0.20833333333333334,0.002507716049382716,0.00019290123456790122,0.043478260869565216,0.0018115942028985507,0.05709876543209876,0.0,0.047839506172839504,0.0,0.0,0.0,0.10493827160493827,0.0,9.0,0.013888888888888888
23,1380000000000,0.7083333333333334,17.0,0.7083333333333334,0.002507716049382716,0.0,0.1539855072463768,0.034420289855072464,0.2052469135802469,0.0,0.22067901234567902,0.0,0.0,0.0,0.42592592592592593,4.249999999999886,34.0,0.05246913580246913
24,1440000000000,0.5,12.0,0.5,0.01903292181069959,0.011381172839506173,0.12681159420289856,0.03985507246376811,0.15895061728395063,0.0,0.1574074074074074,0.0,0.08487654320987655,0.0,0.4012345679012346,3.6499999999999773,35.0,0.05401234567901234
25,1500000000000,0.3333333333333333,8.0,0.3333333333333333,0.0024434156378600825,0.0,0.06702898550724638,0.010869565217391304,0.09722222222222222,0.0,0.09104938271604938,0.0,0.0,0.0,0.1882716049382716,0.0,15.0,0.023148148148148147
26,1560000000000,0.625,15.0,0.625,0.0023791152263374486,6.430041152263375e-05,0.1286231884057971,0.02717391304347826,0.17592592592592593,0.0,0.18981481481481483,0.0,0.0,0.0,0.36574074074074076,0.0,30.0,0.046296296296296294
27,1620000000000,0.5,12.0,0.5,0.018840020576131686,0.004565329218106996,0.1286231884057971,0.02717391304347826,0.1574074074074074,0.0,0.14969135802469136,0.0,0.08179012345679013,0.0,0.3888888888888889,3.2999999999999545,35.0,0.05401234567901234
28,1680000000000,0.25,6.0,0.25,0.0026363168724279837,0.0,0.050724637681159424,0.0018115942028985507,0.06944444444444445,0.0,0.06172839506172839,0.0,0.0,0.0,0.13117283950617284,0.0,11.0,0.016975308641975308
29,1740000000000,0.6666666666666666,16.0,0.6666666666666666,0.0023148148148148147,0.0,0.1431159420289855,0.028985507246376812,0.19598765432098766,0.0,0.2052469135802469,0.0,0.0,0.0,0.4012345679012346,0.0,32.0,0.04938271604938271
30,1800000000000,0.4583333333333333,11.0,0.4583333333333333,0.01806841563786008,0.006944444444444444,0.12318840579710146,0.028985507246376812,0.14506172839506173,0.0,0.13271604938271606,0.0,0.0941358024691358,0.0,0.37191358024691357,2.6499999999999773,34.0,0.05246913580246913
31,1860000000000,0.375,9.0,0.375,0.0031507201646090535,0.00019290123456790122,0.07065217391304347,0.018115942028985508,0.10648148148148148,0.0,0.1095679012345679,0.0,0.0,0.0,0.21604938271604937,0.0,17.0,0.026234567901234566
32,1920000000000,0.75,18.0,0.75,0.0021219135802469135,0.0001286008230452675,0.15217391304347827,0.03985507246376811,0.22376543209876543,0.0,0.2175925925925926,0.0,0.0,0.0,0.44135802469135804,6.0,35.0,0.05401234567901234
33,1980000000000,0.375,9.0,0.375,0.018775720164609055,0.01613940329218107,0.11413043478260869,0.028985507246376812,0.12962962962962962,0.0,0.12345679012345678,0.0,0.1111111111111111,0.0,0.36419753086419754,1.2999999999999545,33.0,0.05092592592592592
34,2040000000000,0.5,12.0,0.5,0.0028935185185185184,0.0001286008230452675,0.09963768115942029,0.02717391304347826,0.1527777777777778,0.0,0.1574074074074074,0.0,0.0,0.0,0.3101851851851852,0.0,24.0,0.037037037037037035
35,2100000000000,0.7083333333333334,17.0,0.7083333333333334,0.002507716049382716,0.0,0.16485507246376813,0.02717391304347826,0.2175925925925926,0.0,0.22685185185185186,0.0,0.0,0.0,0.4444444444444444,4.249999999999886,34.0,0.05246913580246913
