time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,26,5093.485541641712
1,60000000000,24.0,24.0,24.0,24.0,24.0,648,0.9375,1.0,0.9947916666666666,1.0,1.0,12,0.9486419563745007,1.0,0.9957201630312084,1.0,1.0,12,40.057117119431496
2,120000000000,24.0,24.0,24.0,24.0,24.0,648,0.8333333333333334,1.5,1.0587983115683948,1.0,1.5,19,0.8593468976419284,1.7014142822012839,1.082749595600547,1.0,1.6280631684072837,19,11.325192637741566
3,180000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,26,5067.226056009531
4,240000000000,24.0,24.0,24.0,24.0,24.0,648,0.9375,1.0,0.99609375,1.0,1.0,16,0.9472516128636737,1.0000000000000002,0.9967032258039796,1.0,1.0000000000000002,16,11.170344427227974
5,300000000000,24.0,24.0,24.0,24.0,24.0,648,0.9285714285714286,1.5,1.0551825993555317,1.0,1.5,21,0.9387256120211085,1.6825076654405131,1.0736636379655864,1.0,1.6035209678862408,21,12.118430808186531
6,360000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,24,5098.9397168159485
7,420000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.0,0.9825757575757575,1.0,1.0,22,0.7181309211877119,1.0000000000000002,0.985193461899653,1.0,1.0,22,45.661586336791515
8,480000000000,24.0,24.0,24.0,24.0,24.0,648,0.9285714285714286,1.5,1.0643796992481203,1.0,1.5,18,0.9370802010491196,1.6614380526753962,1.0820109981989512,1.0,1.596505393667482,18,11.67110912501812
9,540000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999998,1.0,1.0,1.0,1.0,26,5086.449276655912
10,600000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.5,1.0141666666666667,1.0,1.1833333333333336,20,0.7120561835576867,1.5434103275012028,1.0194023361594624,1.0,1.1958182416330128,20,11.615375988185406
11,660000000000,24.0,24.0,24.0,24.0,24.0,648,0.8,1.5,1.105421642341147,1.0,1.5,17,0.8343634019735796,1.682217082437285,1.1405665224561128,1.0,1.6473548117677312,17,11.531936936080456
12,720000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,28,0.9999999999999998,1.0,1.0,1.0,1.0,28,5058.209051378071
13,780000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.5,1.0141666666666667,1.0,1.1833333333333336,20,0.7066400469674514,1.5265480421061044,1.0179909550625097,1.0,1.19036764408178,20,37.008567713201046
14,840000000000,24.0,24.0,24.0,24.0,24.0,648,0.8,1.5,1.1449613617376775,1.026315789473684,1.5,12,0.8299557113814579,1.6696591821885163,1.1878819260348545,1.0276751259376424,1.6393510672170843,12,11.892657727003098
15,900000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,24,5050.4759745672345
16,960000000000,24.0,24.0,24.0,24.0,24.0,648,0.95,1.5,1.061829836829837,1.0,1.4833333333333332,22,0.9528340498900786,1.599388872074497,1.0684745483960236,1.0,1.4930064389743518,22,11.762447655200958
17,1020000000000,24.0,24.0,24.0,24.0,24.0,648,0.8,1.5,1.1198953823953823,1.0526315789473684,1.5,11,0.8255869350625801,1.7303017756518708,1.1850643617995429,1.0540348135494424,1.6925435165422464,11,11.975749395787716
18,1080000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,24,5057.7636901289225
19,1140000000000,24.0,24.0,24.0,24.0,24.0,648,0.95,1.5,1.0591415830546267,1.0,1.4666666666666661,23,0.9516947383476474,1.5784381121040234,1.0631650352576147,1.0,1.4598755959891143,23,34.2080183327198
20,1200000000000,24.0,24.0,24.0,24.0,24.0,648,0.8,1.5,1.1032614087301589,1.026315789473684,1.5,16,0.8212936621641327,1.7128260994163487,1.1498781523075237,1.0263571046717375,1.6565775874288486,16,11.818121187388897
21,1260000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,30,5084.076623432338
22,1320000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.1666666666666667,0.9888888888888889,1.0,1.0,24,0.7334452600954342,1.187319762750824,0.9933320763935397,1.0,1.0000000000000002,24,11.477384716272354
23,1380000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.5,1.0513257575757575,1.0,1.4916666666666665,22,0.7701318428531878,1.6932873179045265,1.0976850087882357,1.0000000000000002,1.611446341359719,22,11.713934130966663
24,1440000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,32,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,32,5062.8200666978955
25,1500000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.1666666666666667,0.9873015873015871,1.0,1.0,21,0.726912791500976,1.1813408428772065,0.9916941164180583,1.0,1.0000000000000002,21,32.473606057465076
26,1560000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.5,1.040696080235554,1.0,1.4249999999999994,30,0.7647690522060229,1.672009801709899,1.0750492414547304,1.0,1.534459451756067,30,11.396649293601513
27,1620000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,26,5062.858019024134
28,1680000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.0,0.9803030303030301,1.0,1.0,22,0.7208085903660822,1.0000000000000002,0.9834644780167866,1.0,1.0000000000000002,22,11.723049916327
29,1740000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.5,1.0551729082321186,1.0,1.5,20,0.759506485739125,1.6493499124397053,1.0949125961160115,1.0,1.5809822369736004,20,13.203758746385574
30,1800000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,28,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,28,5121.696880087256
31,1860000000000,24.0,24.0,24.0,24.0,24.0,648,0.9,1.0,0.9944444444444444,1.0,1.0,18,0.913478017716594,1.0000000000000002,0.9951932232064773,1.0,1.0000000000000002,18,11.993622407317162
32,1920000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.3333333333333333,0.9892919580419579,1.0,1.3249999999999997,22,0.7451281134856342,1.4647989482885717,1.021016782646373,1.0,1.3780862502608997,22,11.617619544267654
33,1980000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,34,5118.486472405493
34,2040000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,16,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,16,11.831413954496384
35,2100000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.5,1.0182724439303388,1.0,1.3333333333333333,21,0.7495639244186505,1.6258159379653359,1.0497965973482783,1.0,1.3742670000057269,21,11.708193458616734
36,2160000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,34,5122.318763285875
37,2220000000000,24.0,24.0,24.0,24.0,24.0,648,0.9,1.0555555555555556,0.997037037037037,1.0,1.0166666666666666,15,0.9078833938555486,1.0626611498971066,0.9980363029168438,1.0,1.018798344969132,15,11.557829566299915
38,2280000000000,24.0,24.0,24.0,24.0,24.0,648,0.8,1.5,1.0384226661972658,1.0,1.4699999999999995,23,0.851514089377026,1.629822074188925,1.0635562982618616,1.0,1.5362942214489426,23,12.088188901543617
39,2340000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,34,5107.534005306661
40,2400000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.2,1.0220133667502087,1.0,1.106111111111111,14,0.9999999999999998,1.2362027174287415,1.025734686829432,1.0,1.1235154954647926,14,12.451093643903732
41,2460000000000,24.0,24.0,24.0,24.0,24.0,648,0.8,1.5,1.0250497076023393,1.0,1.439999999999999,25,0.8476499089357481,1.6317079710683615,1.0502978404837362,1.0,1.500793082303197,25,11.635401286184788
42,2520000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,30,5117.679823189974
43,2580000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.2,1.019433198380567,1.0,1.1115789473684208,13,0.9999999999999999,1.2317465092140658,1.0225563742367956,1.0,1.1295904172041922,13,11.736219748854637
44,2640000000000,24.0,24.0,24.0,24.0,24.0,648,0.8,1.5,1.046716374269006,1.0,1.4499999999999993,25,0.8437275393718381,1.6313328916471042,1.0690013361458266,1.0,1.5035024116307745,25,12.520449236035347
45,2700000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,28,0.9999999999999998,1.0,1.0,1.0,1.0,28,5111.6836704313755
46,2760000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.2,0.9840315073397781,1.0,1.1042105263157893,14,0.7067464579584988,1.2269256957493284,0.9904490828014276,1.0,1.1184944436550754,14,12.06191722303629
47,2820000000000,24.0,24.0,24.0,24.0,24.0,648,0.8,1.5,1.0544184535412606,1.0,1.5,27,0.8398030029202042,1.648798711225385,1.0801750156572585,1.0,1.606272593259615,27,11.811499483883381
48,2880000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,32,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,32,5021.181241609156
49,2940000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.2,0.9833821566904274,1.0,1.129090909090909,14,0.6973931117792554,1.2217991730346371,0.9913234678800924,1.0,1.1489504134327573,14,11.70105580240488
50,3000000000000,24.0,24.0,24.0,24.0,24.0,648,0.8,1.5,1.065904761904762,1.0,1.5,25,0.835935444972687,1.7205271321529925,1.1029135261595373,1.0,1.63959845439465,25,11.257823556661606
51,3060000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,32,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,32,4953.615005128086
52,3120000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.2,0.9844900129110655,1.0,1.1236363636363635,15,0.6883062459084182,1.2164241790678976,0.990340653010506,1.0,1.1404846603120522,15,11.604273691773415
53,3180000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.5,1.0383089133089134,1.0,1.5,26,0.7094531447911375,1.7177079833876667,1.079203126348879,1.0,1.6313068787610094,26,11.609823442995548
54,3240000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,34,4971.826092340052
55,3300000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.0909090909090908,0.9744588744588745,1.0,1.0090909090909088,19,0.6795835728266838,1.1060280550098873,0.97710531735197,1.0,1.0106028055009888,19,11.810445226728916
56,3360000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.5,1.0342350975477912,1.0,1.5,17,0.7007939440311265,1.6271185584094745,1.0641049415242787,1.0,1.5456478981614845,17,11.494318023324013
57,3420000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,36,4940.9975204616785
58,3480000000000,24.0,24.0,24.0,24.0,24.0,648,0.9,1.0,0.9954545454545454,1.0,1.0,22,0.916092895391484,1.0000000000000002,0.9961860406996128,1.0,1.0,22,11.526416055858135
59,3540000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.3333333333333333,0.9652696556205327,1.0,1.171428571428571,18,0.7541757100867307,1.3816223558274394,0.9900132080730928,1.0,1.189085158163979,18,11.27123087644577
60,3600000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,38,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,38,4968.021526001394
61,3660000000000,24.0,24.0,24.0,24.0,24.0,648,0.9,1.0,0.9952380952380951,1.0,1.0,21,0.9140479313008841,1.0000000000000002,0.9959070443476612,1.0,1.0,21,11.30633894354105
62,3720000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.3333333333333333,0.9652696556205327,1.0,1.171428571428571,18,0.7462131969324043,1.3773279102278528,0.9875663884494633,1.0,1.1846640342271202,18,11.465317569673061
63,3780000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,38,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,38,4941.743792034686
64,3840000000000,24.0,24.0,24.0,24.0,24.0,648,0.9,1.0,0.9952380952380951,1.0,1.0,21,0.9120269011039507,1.0000000000000002,0.9958108048144738,1.0,1.0,21,11.585612781345844
65,3900000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.3333333333333333,0.9652696556205327,1.0,1.171428571428571,18,0.738473616949394,1.3720230002661247,0.9850841433546245,0.9999999999999999,1.1800632845786676,18,10.953165590763092
66,3960000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,38,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,38,4948.7059731036425
67,4020000000000,24.0,24.0,24.0,24.0,24.0,648,0.9,1.0,0.9949999999999999,1.0,1.0,20,0.91004921853258,1.0000000000000002,0.9955024609266291,1.0,1.0000000000000002,20,12.077558785676956
68,4080000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.3333333333333333,0.9652696556205327,1.0,1.171428571428571,18,0.7310452043814684,1.3657478997731698,0.982591060647497,1.0,1.1753307384671592,18,11.588681489229202
69,4140000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,30,4915.507675148547
70,4200000000000,24.0,24.0,24.0,24.0,24.0,648,0.9,1.0666666666666667,0.9984848484848484,1.0,1.0,22,0.9081338127730102,1.0717776372482715,0.9990868840918764,1.0,1.0000000000000002,22,11.25013642013073
71,4260000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.3333333333333333,0.9369698284171969,0.9375,1.164912280701754,13,0.7240135501326449,1.3585679054917337,0.9573022844013087,0.959673932677783,1.1760221129554802,13,11.952931992709637
72,4320000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,28,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,28,4936.403342522681
73,4380000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.0,0.9866666666666666,1.0,1.0,25,0.7065463654120568,1.0000000000000002,0.9882618546164824,1.0,1.0000000000000002,25,11.699935421347618
74,4440000000000,24.0,24.0,24.0,24.0,24.0,648,0.8333333333333334,1.0,0.9772435897435898,1.0,1.0,13,0.8456166247426763,1.0000000000000002,0.9803104482433505,1.0,1.0,13,11.382823809981346
75,4500000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,30,4930.1618905738
76,4560000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.0,0.9843137254901961,1.0,1.0,25,0.6989662269357043,1.0000000000000002,0.986130845180869,1.0,1.0000000000000002,25,11.697137728333473
77,4620000000000,24.0,24.0,24.0,24.0,24.0,648,0.9375,1.25,1.0239583333333333,1.0,1.1675,12,0.9570199558964532,1.2504361549680958,1.028897287157873,1.0,1.1893175040021016,12,11.85324601829052
78,4680000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,26,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,26,4977.208393625915
79,4740000000000,24.0,24.0,24.0,24.0,24.0,648,0.6666666666666666,1.0,0.9843137254901961,1.0,1.0,25,0.691912079526279,1.0000000000000002,0.98579408563474,1.0,1.0000000000000002,25,11.540369130671024
80,4800000000000,24.0,24.0,24.0,24.0,24.0,648,0.9375,1.25,1.0239583333333333,1.0,1.1675,12,0.9556316620585253,1.2465808339140891,1.0282107366324127,1.0,1.185935364250326,12,11.731699109077454
81,4860000000000,24.0,24.0,24.0,24.0,24.0,648,1.0,1.0,1.0,1.0,1.0,28,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,28,4933.710356242955
