time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,explicit_failover_dynamic_egress_repair_count,explicit_failover_dynamic_egress_repair_rate,explicit_failover_dynamic_egress_unavailable_count,explicit_failover_dynamic_egress_unavailable_rate,compute_time_ms
0,0,2.0,17.0,2.881172839506173,2.0,5.649999999999977,648,0.0,88.0,43.0,44.0,84.0,148,0.0,280.0,113.62162162162163,104.0,264.0,148,1.0,1.0,1.0,1.0,1.0,148,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,148,148.0,148.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.4881458133459
1,60000000000,2.0,17.0,2.9012345679012346,2.0,5.649999999999977,648,0.0,88.0,42.906666666666666,44.0,84.0,150,0.0,280.0,112.58666666666667,104.0,264.0,150,1.0,1.0,1.0,1.0,1.0,149,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,149,150.0,149.0,0.9933333333333333,0.0,0.0,0.0,0.0,1.0,0.006666666666666667,20.0,0.13333333333333333,1.0,0.006666666666666667,69.47510386817157
2,120000000000,2.0,16.0,2.8873456790123457,2.0,5.649999999999977,648,0.0,88.0,42.20134228187919,40.0,84.0,149,0.0,280.0,111.30201342281879,88.0,264.0,149,1.0,1.0,1.0,1.0,1.0,148,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,148,149.0,148.0,0.9932885906040269,0.0,0.0,0.0,0.0,1.0,0.006711409395973154,44.0,0.2953020134228188,1.0,0.006711409395973154,68.262395914644
3,180000000000,2.0,17.0,2.881172839506173,2.0,5.0,648,0.0,88.0,43.04635761589404,44.0,84.0,151,0.0,280.0,114.01324503311258,104.0,264.0,151,1.0,1.0,1.0,1.0,1.0,151,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,151,151.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.01700800471008
4,240000000000,2.0,17.0,2.9027777777777777,2.0,6.0,648,0.0,88.0,42.666666666666664,44.0,84.0,150,0.0,280.0,112.10666666666667,104.0,264.0,150,1.0,1.0,1.0,1.0,1.0,150,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,150,150.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.11333333333333333,0.0,0.0,69.46263113059103
5,300000000000,2.0,16.0,2.876543209876543,2.0,5.0,648,0.0,88.0,42.053333333333335,40.0,84.0,150,0.0,280.0,111.09333333333333,88.0,264.0,150,1.0,1.125,1.0016666666666667,1.0,1.0,150,0.9999999999999998,1.1171634998581206,1.0015588606860482,1.0,1.0000000000000002,150,150.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.32,0.0,0.0,69.34060202911496
6,360000000000,2.0,17.0,2.904320987654321,2.0,5.0,648,0.0,88.0,42.94193548387097,44.0,84.0,155,0.0,280.0,113.23870967741935,104.0,264.0,155,1.0,1.0,1.0,1.0,1.0,155,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,155,155.0,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.09356687404215
7,420000000000,2.0,17.0,2.9104938271604937,2.0,6.0,648,0.0,88.0,43.205128205128204,44.0,84.0,156,0.0,280.0,113.28205128205128,104.0,264.0,156,1.0,1.0,1.0,1.0,1.0,155,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,155,156.0,155.0,0.9935897435897436,0.0,0.0,0.0,0.0,1.0,0.00641025641025641,21.0,0.1346153846153846,1.0,0.00641025641025641,100.79775308258832
8,480000000000,2.0,16.0,2.875,2.0,5.0,648,0.0,92.0,42.87671232876713,40.0,84.0,146,0.0,296.0,114.3013698630137,88.0,264.0,146,1.0,1.3333333333333333,1.0047260802469136,1.0,1.0,144,0.9999999999999997,1.2831466333466068,1.0041201167543576,1.0,1.0000000000000002,144,146.0,144.0,0.9863013698630136,0.0,0.0,0.0,0.0,2.0,0.0136986301369863,38.0,0.2602739726027397,2.0,0.0136986301369863,72.19306705519557
9,540000000000,2.0,17.0,2.904320987654321,2.0,5.0,648,0.0,92.0,43.09090909090909,44.0,84.0,154,0.0,296.0,114.85714285714286,104.0,264.0,154,1.0,1.0,1.0,1.0,1.0,154,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,154,154.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.1221779063344
10,600000000000,2.0,17.0,2.9089506172839505,2.0,6.0,648,0.0,92.0,43.225806451612904,44.0,84.0,155,0.0,296.0,114.3741935483871,104.0,264.0,155,1.0,1.0,1.0,1.0,1.0,151,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,151,155.0,151.0,0.9741935483870968,0.0,0.0,0.0,0.0,4.0,0.025806451612903226,24.0,0.15483870967741936,4.0,0.025806451612903226,101.959957042709
11,660000000000,2.0,16.0,2.882716049382716,2.0,5.0,648,0.0,92.0,43.060402684563755,40.0,84.0,149,0.0,296.0,114.73825503355705,88.0,264.0,149,1.0,1.6666666666666667,1.0127314814814816,1.0,1.0,144,0.9999999999999997,1.5020819282230744,1.0097300310912962,1.0,1.0,144,149.0,144.0,0.9664429530201343,0.0,0.0,0.0,0.0,5.0,0.03355704697986577,36.0,0.24161073825503357,5.0,0.03355704697986577,75.98119508475065
12,720000000000,2.0,17.0,2.888888888888889,2.0,5.0,648,0.0,88.0,42.33112582781457,44.0,84.0,151,0.0,280.0,112.10596026490066,104.0,264.0,151,1.0,1.0,1.0,1.0,1.0,151,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,151,151.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.43643889389932
13,780000000000,2.0,17.0,2.9151234567901234,2.0,6.0,648,0.0,88.0,42.90909090909091,44.0,84.0,154,0.0,280.0,113.66233766233766,104.0,264.0,154,1.0,1.5,1.0040584415584415,1.0,1.0,154,0.9999999999999998,1.3962508372708995,1.0033379261915634,1.0,1.0000000000000002,154,154.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.16233766233766234,0.0,0.0,105.829763924703
14,840000000000,2.0,16.0,2.884259259259259,2.0,5.0,648,0.0,88.0,42.054794520547944,40.0,84.0,146,0.0,280.0,111.01369863013699,88.0,264.0,146,1.0,2.0,1.0224952994896588,1.0,1.0,146,0.9999999999999998,1.658101178411038,1.0167285254287228,1.0,1.0000000000000002,146,146.0,146.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.273972602739726,0.0,0.0,71.7103579081595
15,900000000000,2.0,16.0,2.890432098765432,2.0,5.0,648,0.0,88.0,42.27450980392157,44.0,84.0,153,0.0,280.0,111.68627450980392,104.0,264.0,153,1.0,1.0,1.0,1.0,1.0,153,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,153,153.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.89451793953776
16,960000000000,2.0,17.0,2.9135802469135803,2.0,6.0,648,0.0,92.0,42.9937106918239,44.0,84.0,159,0.0,296.0,113.55974842767296,104.0,264.0,159,1.0,1.0,1.0,1.0,1.0,156,0.9999999999999997,1.00084077389776,1.0000053895762677,1.0,1.0000000000000002,156,159.0,156.0,0.9811320754716981,0.0,0.0,0.0,0.0,3.0,0.018867924528301886,27.0,0.16981132075471697,3.0,0.018867924528301886,101.07379895634949
17,1020000000000,2.0,16.0,2.8950617283950617,2.0,5.0,648,0.0,92.0,42.53061224489796,40.0,84.0,147,0.0,296.0,112.81632653061224,88.0,264.0,147,1.0,2.0,1.019406392694064,1.0,1.0,146,0.9999999999999998,1.664045665781466,1.013993712645157,1.0,1.0000000000000002,146,147.0,146.0,0.9931972789115646,0.0,0.0,0.0,0.0,1.0,0.006802721088435374,40.0,0.272108843537415,1.0,0.006802721088435374,71.43613905645907
18,1080000000000,2.0,15.0,2.888888888888889,2.0,5.0,648,0.0,92.0,42.21333333333333,44.0,84.0,150,0.0,296.0,112.21333333333334,104.0,264.0,150,1.0,1.0,1.0,1.0,1.0,150,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0,150,150.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.90251401625574
19,1140000000000,2.0,16.0,2.9089506172839505,2.0,6.0,648,0.0,92.0,42.61437908496732,44.0,84.0,153,0.0,296.0,113.04575163398692,104.0,264.0,153,1.0,1.1666666666666667,1.0010893246187365,1.0,1.0,153,0.9999999999999998,1.1522212312638613,1.0009949100082605,1.0,1.0000000000000002,153,153.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.1830065359477124,0.0,0.0,102.67118690535426
20,1200000000000,2.0,15.0,2.904320987654321,2.0,5.649999999999977,648,0.0,88.0,42.24324324324324,44.0,84.0,148,0.0,280.0,112.54054054054055,104.0,264.0,148,1.0,1.6666666666666667,1.0154440154440154,1.0,1.0,148,0.9999999999999998,1.4880374896318367,1.0118918762710827,1.0,1.0000000000000002,148,148.0,148.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.27702702702702703,0.0,0.0,78.23324901983142
21,1260000000000,2.0,15.0,2.9228395061728394,2.0,5.649999999999977,648,0.0,92.0,43.34591194968554,44.0,84.0,159,0.0,296.0,115.87421383647799,104.0,264.0,159,1.0,1.0,1.0,1.0,1.0,159,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,159,159.0,159.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.3739121556282
22,1320000000000,2.0,16.0,2.933641975308642,2.0,6.0,648,0.0,92.0,43.46835443037975,44.0,84.0,158,0.0,296.0,116.45569620253164,104.0,264.0,158,1.0,1.0,1.0,1.0,1.0,152,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,152,158.0,152.0,0.9620253164556962,0.0,0.0,0.0,0.0,6.0,0.0379746835443038,20.0,0.12658227848101267,6.0,0.0379746835443038,107.80470492318273
23,1380000000000,2.0,15.0,2.9135802469135803,2.0,6.0,648,0.0,92.0,43.50967741935484,44.0,84.0,155,0.0,296.0,116.90322580645162,104.0,264.0,155,1.0,1.1666666666666667,1.0021367521367521,1.0,1.0,150,0.9999999999999998,1.1536116552321223,1.0019767897602574,1.0,1.0000000000000002,150,155.0,150.0,0.967741935483871,0.0,0.0,0.0,0.0,5.0,0.03225806451612903,42.0,0.2709677419354839,5.0,0.03225806451612903,72.1275070682168
24,1440000000000,2.0,15.0,2.912037037037037,2.0,5.649999999999977,648,0.0,92.0,42.78709677419355,44.0,84.0,155,0.0,296.0,114.47741935483872,104.0,264.0,155,1.0,1.0,1.0,1.0,1.0,155,0.9999999999999998,1.0,1.0,1.0,1.0,155,155.0,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.3811410125345
