time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,4.0,34.0,5.450617283950617,4.0,7.649999999999977,648,0.0,88.0,46.210144927536234,44.0,80.0,552,0.0,280.0,116.4927536231884,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,232.72548336535692
1,60000000000,4.0,34.0,5.493827160493828,4.0,7.649999999999977,648,0.0,88.0,46.07971014492754,44.0,80.0,552,0.0,280.0,116.10144927536231,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.36951452493668
2,120000000000,4.0,33.0,5.45679012345679,4.0,7.649999999999977,648,0.0,92.0,46.094202898550726,44.0,80.0,552,0.0,296.0,116.15942028985508,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,243.00140608102083
3,180000000000,4.0,34.0,5.445987654320987,4.0,7.0,648,0.0,92.0,46.02173913043478,44.0,80.0,552,0.0,296.0,115.8695652173913,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,195.84569614380598
4,240000000000,4.0,34.0,5.49537037037037,4.0,8.0,648,0.0,88.0,46.094202898550726,44.0,80.0,552,0.0,280.0,116.15942028985508,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,243.38181130588055
5,300000000000,4.0,33.0,5.422839506172839,4.0,7.0,648,0.0,92.0,46.13768115942029,44.0,80.0,552,0.0,296.0,116.33333333333333,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,193.92715394496918
6,360000000000,4.0,34.0,5.492283950617284,4.0,7.0,648,0.0,92.0,46.166666666666664,44.0,80.0,552,0.0,296.0,116.44927536231884,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,240.42408540844917
7,420000000000,4.0,34.0,5.493827160493828,4.0,8.0,648,0.0,88.0,46.13768115942029,44.0,80.0,552,0.0,280.0,116.46376811594203,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,194.73059754818678
8,480000000000,4.0,33.0,5.427469135802469,4.0,7.0,648,0.0,88.0,45.84782608695652,44.0,80.0,552,0.0,280.0,115.56521739130434,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,234.9090287461877
9,540000000000,4.0,34.0,5.493827160493828,4.0,7.0,648,0.0,92.0,46.10144927536232,44.0,80.0,552,0.0,296.0,116.44927536231884,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,195.445092394948
