time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,2.0,17.0,2.881172839506173,2.0,5.649999999999977,648,0.0,88.0,43.0,44.0,84.0,148,0.0,280.0,113.62162162162163,104.0,264.0,148,1.0,1.0,1.0,1.0,1.0,148,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,148,148.0,148.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.832988142967224
1,60000000000,2.0,17.0,2.8996913580246915,2.0,5.649999999999977,648,0.0,88.0,42.577181208053695,44.0,84.0,149,0.0,280.0,112.32214765100672,104.0,264.0,149,1.0,1.0,1.0,1.0,1.0,149,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,149,149.0,149.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.80636912584305
2,120000000000,2.0,16.0,2.8858024691358026,2.0,5.649999999999977,648,0.0,88.0,42.54054054054054,44.0,84.0,148,0.0,280.0,112.27027027027027,104.0,264.0,148,1.0,1.0,1.0,1.0,1.0,148,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,148,148.0,148.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3398138359189
3,180000000000,2.0,17.0,2.881172839506173,2.0,5.0,648,0.0,88.0,43.04635761589404,44.0,84.0,151,0.0,280.0,114.01324503311258,104.0,264.0,151,1.0,1.0,1.0,1.0,1.0,151,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,151,151.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.10518853366375
4,240000000000,2.0,17.0,2.9027777777777777,2.0,6.0,648,0.0,88.0,42.42666666666667,42.0,84.0,150,0.0,280.0,111.62666666666667,96.0,264.0,150,1.0,1.0,1.0,1.0,1.0,150,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,150,150.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0233593955636
5,300000000000,2.0,16.0,2.878086419753086,2.0,5.0,648,0.0,88.0,42.64900662251656,44.0,84.0,151,0.0,280.0,112.42384105960265,104.0,264.0,151,1.0,1.0,1.0,1.0,1.0,151,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,151,151.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.755748853087425
6,360000000000,2.0,17.0,2.904320987654321,2.0,5.0,648,0.0,88.0,42.94193548387097,44.0,84.0,155,0.0,280.0,113.23870967741935,104.0,264.0,155,1.0,1.0,1.0,1.0,1.0,155,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,155,155.0,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.02815407514572
7,420000000000,2.0,17.0,2.9089506172839505,2.0,6.0,648,0.0,88.0,42.73548387096774,44.0,84.0,155,0.0,280.0,112.87741935483871,104.0,264.0,155,1.0,1.0,1.0,1.0,1.0,155,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,155,155.0,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.56965552270412
8,480000000000,2.0,16.0,2.875,2.0,5.0,648,0.0,88.0,41.36986301369863,42.0,84.0,146,0.0,280.0,109.26027397260275,96.0,264.0,146,1.0,1.0,1.0,1.0,1.0,146,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,146,146.0,146.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.24926972389221
9,540000000000,2.0,17.0,2.904320987654321,2.0,5.0,648,0.0,92.0,43.09090909090909,44.0,84.0,154,0.0,296.0,114.85714285714286,104.0,264.0,154,1.0,1.0,1.0,1.0,1.0,154,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,154,154.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.76663338392973
10,600000000000,2.0,17.0,2.9074074074074074,2.0,6.0,648,0.0,92.0,42.5974025974026,40.0,84.0,154,0.0,296.0,112.41558441558442,88.0,264.0,154,1.0,1.0,1.0,1.0,1.0,154,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,154,154.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.939223498106
11,660000000000,2.0,16.0,2.881172839506173,2.0,5.0,648,0.0,88.0,41.17006802721088,40.0,84.0,147,0.0,280.0,108.84353741496598,88.0,264.0,147,1.0,1.0,1.0,1.0,1.0,147,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,147,147.0,147.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.555746123194695
12,720000000000,2.0,17.0,2.888888888888889,2.0,5.0,648,0.0,88.0,42.33112582781457,44.0,84.0,151,0.0,280.0,112.10596026490066,104.0,264.0,151,1.0,1.0,1.0,1.0,1.0,151,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,151,151.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.158822633326054
13,780000000000,2.0,17.0,2.91820987654321,2.0,6.0,648,0.0,92.0,42.82051282051282,44.0,84.0,156,0.0,296.0,113.12820512820512,104.0,264.0,156,1.0,1.0,1.0,1.0,1.0,156,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,156,156.0,156.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.961041547358036
14,840000000000,2.0,16.0,2.8858024691358026,2.0,5.0,648,0.0,92.0,41.034013605442176,40.0,84.0,147,0.0,296.0,108.78911564625851,88.0,264.0,147,1.0,1.0,1.0,1.0,1.0,147,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,147,147.0,147.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.1743928566575
15,900000000000,2.0,16.0,2.890432098765432,2.0,5.0,648,0.0,88.0,42.27450980392157,44.0,84.0,153,0.0,280.0,111.68627450980392,104.0,264.0,153,1.0,1.0,1.0,1.0,1.0,153,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,153,153.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.649896919727325
16,960000000000,2.0,16.0,2.9089506172839505,2.0,6.0,648,0.0,92.0,43.1025641025641,44.0,84.0,156,0.0,296.0,114.25641025641026,104.0,264.0,156,1.0,1.0,1.0,1.0,1.0,156,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,156,156.0,156.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.74925972521305
17,1020000000000,2.0,15.0,2.9012345679012346,2.0,5.0,648,0.0,92.0,42.19867549668874,44.0,84.0,151,0.0,296.0,112.52980132450331,104.0,264.0,151,1.0,1.0,1.0,1.0,1.0,151,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,151,151.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.09867803007364
18,1080000000000,2.0,15.0,2.888888888888889,2.0,5.0,648,0.0,92.0,42.21333333333333,44.0,84.0,150,0.0,296.0,112.21333333333334,104.0,264.0,150,1.0,1.0,1.0,1.0,1.0,150,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0,150,150.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.46269845217466
19,1140000000000,2.0,16.0,2.9151234567901234,2.0,6.0,648,0.0,92.0,43.210191082802545,44.0,84.0,157,0.0,296.0,114.59872611464968,104.0,264.0,157,1.0,1.0,1.0,1.0,1.0,157,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,157,157.0,157.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.98440656810999
20,1200000000000,2.0,15.0,2.9074074074074074,2.0,5.649999999999977,648,0.0,92.0,41.57333333333333,44.0,84.0,150,0.0,296.0,110.13333333333334,104.0,264.0,150,1.0,1.0,1.0,1.0,1.0,150,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,150,150.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63562943041325
21,1260000000000,2.0,15.0,2.9228395061728394,2.0,5.649999999999977,648,0.0,92.0,43.34591194968554,44.0,84.0,159,0.0,296.0,115.87421383647799,104.0,264.0,159,1.0,1.0,1.0,1.0,1.0,159,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,159,159.0,159.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.7436758428812
22,1320000000000,2.0,16.0,2.924382716049383,2.0,6.0,648,0.0,88.0,43.23684210526316,44.0,84.0,152,0.0,280.0,115.63157894736842,104.0,264.0,152,1.0,1.0,1.0,1.0,1.0,152,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,152,152.0,152.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.773764573037624
23,1380000000000,2.0,15.0,2.9074074074074074,2.0,6.0,648,0.0,92.0,43.6,44.0,84.0,150,0.0,296.0,117.28,104.0,264.0,150,1.0,1.0,1.0,1.0,1.0,150,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,150,150.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8179404810071
24,1440000000000,2.0,15.0,2.912037037037037,2.0,5.649999999999977,648,0.0,92.0,42.78709677419355,44.0,84.0,155,0.0,296.0,114.47741935483872,104.0,264.0,155,1.0,1.0,1.0,1.0,1.0,155,0.9999999999999998,1.0,1.0,1.0,1.0,155,155.0,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.14972300827503
25,1500000000000,2.0,16.0,2.927469135802469,2.0,6.0,648,0.0,88.0,43.032679738562095,44.0,84.0,153,0.0,280.0,115.18954248366013,104.0,264.0,153,1.0,1.0,1.0,1.0,1.0,153,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,153,153.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.598852224648
26,1560000000000,2.0,15.0,2.9104938271604937,2.0,6.0,648,0.0,92.0,44.189189189189186,44.0,84.0,148,0.0,296.0,118.37837837837837,104.0,264.0,148,1.0,1.0,1.0,1.0,1.0,148,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,148,148.0,148.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.97213227301836
27,1620000000000,2.0,15.0,2.912037037037037,2.0,5.649999999999977,648,0.0,88.0,42.55483870967742,44.0,84.0,155,0.0,280.0,113.54838709677419,104.0,264.0,155,1.0,1.0,1.0,1.0,1.0,155,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,155,155.0,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.27444216609001
28,1680000000000,2.0,15.0,2.925925925925926,2.0,6.0,648,0.0,92.0,43.09090909090909,44.0,84.0,154,0.0,296.0,114.85714285714286,104.0,264.0,154,1.0,1.0,1.0,1.0,1.0,154,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,154,154.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.938126519322395
29,1740000000000,2.0,15.0,2.925925925925926,2.0,6.0,648,0.0,92.0,43.64331210191083,44.0,84.79999999999995,157,0.0,296.0,115.87261146496816,104.0,267.1999999999998,157,1.0,1.0,1.0,1.0,1.0,157,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,157,157.0,157.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.77275057137012
30,1800000000000,2.0,15.0,2.927469135802469,2.0,6.0,648,0.0,92.0,42.282051282051285,44.0,84.0,156,0.0,296.0,111.8974358974359,104.0,264.0,156,1.0,1.0,1.0,1.0,1.0,156,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,156,156.0,156.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.73019960522652
31,1860000000000,2.0,15.0,2.91820987654321,2.0,6.0,648,0.0,88.0,42.745098039215684,44.0,84.0,153,0.0,280.0,113.09803921568627,104.0,264.0,153,1.0,1.0,1.0,1.0,1.0,153,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,153,153.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.69024460762739
32,1920000000000,2.0,15.0,2.942901234567901,2.0,6.0,648,0.0,92.0,42.41463414634146,44.0,84.0,164,0.0,296.0,111.26829268292683,104.0,264.0,164,1.0,1.0,1.0,1.0,1.0,164,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,164,164.0,164.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.909873478114605
33,1980000000000,2.0,15.0,2.947530864197531,2.0,6.0,648,0.0,92.0,42.27160493827161,44.0,84.0,162,0.0,296.0,111.75308641975309,104.0,264.0,162,1.0,1.0,1.0,1.0,1.0,162,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,162,162.0,162.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.1254136711359
34,2040000000000,2.0,15.0,2.925925925925926,2.0,6.0,648,0.0,88.0,41.256410256410255,44.0,84.0,156,0.0,280.0,108.25641025641026,104.0,264.0,156,1.0,1.0,1.0,1.0,1.0,156,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,156,156.0,156.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.71978183090687
35,2100000000000,2.0,16.0,2.9290123456790123,2.0,6.0,648,0.0,92.0,41.693251533742334,44.0,84.0,163,0.0,296.0,109.79141104294479,104.0,264.0,163,1.0,1.0,1.0,1.0,1.0,163,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,163,163.0,163.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.72883505374193
36,2160000000000,2.0,15.0,2.9305555555555554,2.0,6.0,648,0.0,88.0,41.65605095541401,44.0,84.0,157,0.0,280.0,110.21656050955414,104.0,264.0,157,1.0,1.0,1.0,1.0,1.0,157,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,157,157.0,157.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.23935446888208
37,2220000000000,2.0,15.0,2.9228395061728394,2.0,6.0,648,0.0,88.0,41.53846153846154,44.0,84.0,156,0.0,280.0,108.46153846153847,104.0,264.0,156,1.0,1.0,1.0,1.0,1.0,156,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,156,156.0,156.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.00929183512926
38,2280000000000,2.0,16.0,2.9104938271604937,2.0,6.0,648,0.0,88.0,41.61963190184049,44.0,84.0,163,0.0,280.0,109.49693251533742,104.0,264.0,163,1.0,1.0,1.0,1.0,1.0,163,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,163,163.0,163.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.150986813008785
39,2340000000000,2.0,15.0,2.9212962962962963,2.0,6.0,648,0.0,88.0,42.43037974683544,44.0,84.0,158,0.0,280.0,112.30379746835443,104.0,264.0,158,1.0,1.0,1.0,1.0,1.0,158,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,158,158.0,158.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.93080171197653
40,2400000000000,2.0,15.0,2.9290123456790123,2.0,6.0,648,0.0,88.0,41.59493670886076,44.0,84.0,158,0.0,280.0,108.50632911392405,104.0,264.0,158,1.0,1.0,1.0,1.0,1.0,158,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,158,158.0,158.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.38638138771057
