time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,4.0,34.0,5.450617283950617,4.0,7.649999999999977,648,0.0,88.0,46.210144927536234,44.0,80.0,552,0.0,280.0,116.4927536231884,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,231.4778072759509
1,60000000000,4.0,34.0,5.493827160493828,4.0,7.649999999999977,648,0.0,92.0,46.28260869565217,44.0,80.0,552,0.0,296.0,116.65217391304348,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,482,0.9999999999999998,1.007416857880624,1.000245262553554,1.0,1.0017964390765386,482,552.0,482.0,0.8731884057971014,0.0,0.0,0.0,0.0,70.0,0.12681159420289856,41.89683310687542
2,120000000000,4.0,33.0,5.45679012345679,4.0,7.649999999999977,648,0.0,92.0,46.05072463768116,44.0,81.79999999999973,552,0.0,296.0,116.1159420289855,104.0,255.1999999999989,552,1.0,1.0,1.0,1.0,1.0,409,0.9999999999999997,1.043081595587988,1.0010261259122586,1.0,1.0085822193958898,409,552.0,409.0,0.7409420289855072,0.0,0.0,0.0,0.0,143.0,0.25905797101449274,40.30029382556677
3,180000000000,4.0,34.0,5.445987654320987,4.0,7.0,648,0.0,92.0,46.02173913043478,44.0,80.0,552,0.0,296.0,115.8695652173913,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,198.90272617340088
4,240000000000,4.0,34.0,5.49537037037037,4.0,8.0,648,0.0,92.0,46.231884057971016,44.0,80.0,552,0.0,296.0,116.57971014492753,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,483,0.9999999999999998,1.0046902758437997,1.000183613202197,1.0,1.0011725407839676,483,552.0,483.0,0.875,0.0,0.0,0.0,0.0,69.0,0.125,41.41399171203375
5,300000000000,4.0,33.0,5.422839506172839,4.0,7.0,648,0.0,92.0,45.905797101449274,44.0,81.79999999999973,552,0.0,296.0,115.66666666666667,104.0,255.1999999999989,552,1.0,1.0,1.0,1.0,1.0,392,0.9999999999999997,1.0403096339681022,1.001047500838961,1.0,1.00754938595834,392,552.0,392.0,0.7101449275362319,0.0,0.0,0.0,0.0,160.0,0.2898550724637681,41.360579431056976
6,360000000000,4.0,34.0,5.492283950617284,4.0,7.0,648,0.0,92.0,46.166666666666664,44.0,80.0,552,0.0,296.0,116.44927536231884,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,197.81797006726265
7,420000000000,4.0,34.0,5.493827160493828,4.0,8.0,648,0.0,92.0,46.35507246376812,44.0,80.0,552,0.0,296.0,116.94202898550725,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,465,0.9999999999999998,1.0024187399885065,1.0000844148763717,1.0,1.0005666812903857,465,552.0,465.0,0.842391304347826,0.0,0.0,0.0,0.0,87.0,0.15760869565217392,80.50065953284502
8,480000000000,4.0,33.0,5.427469135802469,4.0,7.0,648,0.0,92.0,46.28260869565217,44.0,80.0,552,0.0,296.0,117.04347826086956,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,409,0.9999999999999997,1.036563905268855,1.0012867173689108,1.0,1.0110136742764455,409,552.0,409.0,0.7409420289855072,0.0,0.0,0.0,0.0,143.0,0.25905797101449274,42.20918286591768
9,540000000000,4.0,34.0,5.493827160493828,4.0,7.0,648,0.0,92.0,46.10144927536232,44.0,80.0,552,0.0,296.0,116.44927536231884,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,197.17375002801418
10,600000000000,4.0,34.0,5.493827160493828,4.0,8.0,648,0.0,92.0,46.31159420289855,44.0,80.0,552,0.0,296.0,117.02898550724638,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,462,0.9999999999999997,1.000278641573418,1.000003229237568,1.0,1.0000000000000002,462,552.0,462.0,0.8369565217391305,0.0,0.0,0.0,0.0,90.0,0.16304347826086957,41.47638753056526
11,660000000000,4.0,33.0,5.430555555555555,4.0,7.0,648,0.0,92.0,46.45652173913044,44.0,81.79999999999973,552,0.0,296.0,117.73913043478261,104.0,255.1999999999989,552,1.0,1.0,1.0,1.0,1.0,426,0.9999999999999998,1.0339067579040049,1.0015751605436007,1.0,1.0115339827040453,426,552.0,426.0,0.7717391304347826,0.0,0.0,0.0,0.0,126.0,0.22826086956521738,76.51045359671116
12,720000000000,4.0,34.0,5.455246913580247,4.0,7.0,648,0.0,92.0,46.17391304347826,44.0,80.0,552,0.0,296.0,116.73913043478261,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.99024211615324
13,780000000000,4.0,34.0,5.5015432098765435,4.0,8.0,648,0.0,92.0,46.30434782608695,44.0,80.0,552,0.0,296.0,117.1304347826087,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,471,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,471,552.0,471.0,0.8532608695652174,0.0,0.0,0.0,0.0,81.0,0.14673913043478262,41.77202004939318
14,840000000000,4.0,33.0,5.45679012345679,4.0,7.0,648,0.0,92.0,46.492753623188406,44.0,80.0,552,0.0,296.0,117.8840579710145,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,404,0.9999999999999996,1.0312312375143766,1.001487685069766,1.0,1.010660363184285,404,552.0,404.0,0.7318840579710145,0.0,0.0,0.0,0.0,148.0,0.26811594202898553,77.93072424829006
15,900000000000,4.0,33.0,5.452160493827161,4.0,7.0,648,0.0,92.0,46.06521739130435,44.0,80.0,552,0.0,296.0,116.30434782608695,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196.14391215145588
16,960000000000,4.0,34.0,5.492283950617284,4.0,8.0,648,0.0,92.0,45.905797101449274,44.0,80.0,552,0.0,296.0,115.53623188405797,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,468,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,468,552.0,468.0,0.8478260869565217,0.0,0.0,0.0,0.0,84.0,0.15217391304347827,45.23757845163345
17,1020000000000,4.0,33.0,5.492283950617284,4.0,7.0,648,0.0,92.0,46.333333333333336,44.0,80.0,552,0.0,296.0,117.2463768115942,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,405,0.9999999999999998,1.028537814953109,1.0013992648280123,1.0,1.0087747902205073,405,552.0,405.0,0.7336956521739131,0.0,0.0,0.0,0.0,147.0,0.266304347826087,41.73953831195831
18,1080000000000,4.0,33.0,5.455246913580247,4.0,7.0,648,0.0,92.0,46.15217391304348,44.0,80.0,552,0.0,296.0,116.78260869565217,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,240.66751450300217
19,1140000000000,4.0,34.0,5.496913580246914,4.0,8.0,648,0.0,92.0,46.10144927536232,44.0,80.0,552,0.0,296.0,116.44927536231884,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,474,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,474,552.0,474.0,0.8586956521739131,0.0,0.0,0.0,0.0,78.0,0.14130434782608695,41.030921041965485
20,1200000000000,4.0,33.0,5.5,4.0,7.649999999999977,648,0.0,92.0,46.44202898550725,44.0,80.0,552,0.0,296.0,117.94202898550725,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,404,0.9999999999999998,1.02582990686268,1.001232910534725,1.0,1.008445071484474,404,552.0,404.0,0.7318840579710145,0.0,0.0,0.0,0.0,148.0,0.26811594202898553,41.16017371416092
21,1260000000000,4.0,33.0,5.503086419753086,4.0,7.649999999999977,648,0.0,92.0,46.02173913043478,44.0,80.0,552,0.0,296.0,116.26086956521739,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,233.26638620346785
22,1320000000000,4.0,34.0,5.541666666666667,4.0,8.0,648,0.0,92.0,46.03623188405797,44.0,80.0,552,0.0,296.0,116.31884057971014,104.0,248.0,552,1.0,1.0,1.0,1.0,1.0,475,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,475,552.0,475.0,0.8605072463768116,0.0,0.0,0.0,0.0,77.0,0.13949275362318841,41.71895235776901
