time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,2.0,17.0,2.881172839506173,2.0,5.649999999999977,648,0.0,88.0,43.0,44.0,84.0,148,0.0,280.0,113.62162162162163,104.0,264.0,148,1.0,1.0,1.0,1.0,1.0,148,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,148,148.0,148.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42737776786089
1,60000000000,2.0,17.0,2.9012345679012346,2.0,5.649999999999977,648,0.0,88.0,42.906666666666666,44.0,84.0,150,0.0,280.0,112.58666666666667,104.0,264.0,150,1.0,1.0,1.0,1.0,1.0,129,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,129,150.0,129.0,0.86,0.0,0.0,0.0,0.0,21.0,0.14,48.251861706376076
2,120000000000,2.0,16.0,2.8873456790123457,2.0,5.649999999999977,648,0.0,88.0,42.20134228187919,40.0,84.0,149,0.0,280.0,111.30201342281879,88.0,264.0,149,1.0,1.0,1.0,1.0,1.0,104,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,104,149.0,104.0,0.697986577181208,0.0,0.0,0.0,0.0,45.0,0.30201342281879195,19.655415788292885
3,180000000000,2.0,17.0,2.881172839506173,2.0,5.0,648,0.0,88.0,43.04635761589404,44.0,84.0,151,0.0,280.0,114.01324503311258,104.0,264.0,151,1.0,1.0,1.0,1.0,1.0,151,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,151,151.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.883532389998436
4,240000000000,2.0,17.0,2.9027777777777777,2.0,6.0,648,0.0,88.0,42.666666666666664,44.0,84.0,150,0.0,280.0,112.10666666666667,104.0,264.0,150,1.0,1.0,1.0,1.0,1.0,133,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,133,150.0,133.0,0.8866666666666667,0.0,0.0,0.0,0.0,17.0,0.11333333333333333,20.97680512815714
5,300000000000,2.0,16.0,2.876543209876543,2.0,5.0,648,0.0,88.0,42.053333333333335,40.0,84.0,150,0.0,280.0,111.09333333333333,88.0,264.0,150,1.0,1.0,1.0,1.0,1.0,102,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,102,150.0,102.0,0.68,0.0,0.0,0.0,0.0,48.0,0.32,20.455713383853436
6,360000000000,2.0,17.0,2.904320987654321,2.0,5.0,648,0.0,88.0,42.94193548387097,44.0,84.0,155,0.0,280.0,113.23870967741935,104.0,264.0,155,1.0,1.0,1.0,1.0,1.0,155,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,155,155.0,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.04229635745287
7,420000000000,2.0,17.0,2.9104938271604937,2.0,6.0,648,0.0,88.0,43.205128205128204,44.0,84.0,156,0.0,280.0,113.28205128205128,104.0,264.0,156,1.0,1.0,1.0,1.0,1.0,134,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,134,156.0,134.0,0.8589743589743589,0.0,0.0,0.0,0.0,22.0,0.14102564102564102,20.82958910614252
8,480000000000,2.0,16.0,2.875,2.0,5.0,648,0.0,92.0,42.87671232876713,40.0,84.0,146,0.0,296.0,114.3013698630137,88.0,264.0,146,1.0,1.0,1.0,1.0,1.0,106,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,106,146.0,106.0,0.726027397260274,0.0,0.0,0.0,0.0,40.0,0.273972602739726,20.585922524333
9,540000000000,2.0,17.0,2.904320987654321,2.0,5.0,648,0.0,92.0,43.09090909090909,44.0,84.0,154,0.0,296.0,114.85714285714286,104.0,264.0,154,1.0,1.0,1.0,1.0,1.0,154,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,154,154.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6349391117692
10,600000000000,2.0,17.0,2.9089506172839505,2.0,6.0,648,0.0,92.0,43.225806451612904,44.0,84.0,155,0.0,296.0,114.3741935483871,104.0,264.0,155,1.0,1.0,1.0,1.0,1.0,127,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,127,155.0,127.0,0.8193548387096774,0.0,0.0,0.0,0.0,28.0,0.18064516129032257,20.382806658744812
11,660000000000,2.0,16.0,2.882716049382716,2.0,5.0,648,0.0,92.0,43.060402684563755,40.0,84.0,149,0.0,296.0,114.73825503355705,88.0,264.0,149,1.0,1.0,1.0,1.0,1.0,108,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,108,149.0,108.0,0.7248322147651006,0.0,0.0,0.0,0.0,41.0,0.2751677852348993,44.90127135068178
12,720000000000,2.0,17.0,2.888888888888889,2.0,5.0,648,0.0,88.0,42.33112582781457,44.0,84.0,151,0.0,280.0,112.10596026490066,104.0,264.0,151,1.0,1.0,1.0,1.0,1.0,151,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,151,151.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0157485306263
13,780000000000,2.0,17.0,2.9151234567901234,2.0,6.0,648,0.0,88.0,42.90909090909091,44.0,84.0,154,0.0,280.0,113.66233766233766,104.0,264.0,154,1.0,1.0,1.0,1.0,1.0,129,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,129,154.0,129.0,0.8376623376623377,0.0,0.0,0.0,0.0,25.0,0.16233766233766234,21.748866885900497
14,840000000000,2.0,16.0,2.884259259259259,2.0,5.0,648,0.0,88.0,42.054794520547944,40.0,84.0,146,0.0,280.0,111.01369863013699,88.0,264.0,146,1.0,1.0,1.0,1.0,1.0,106,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,106,146.0,106.0,0.726027397260274,0.0,0.0,0.0,0.0,40.0,0.273972602739726,21.26331441104412
