time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,648.0,648.0,648.0,648.0,648.0,648,1.0,1.7272727272727273,1.0194250998598826,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1257.6564066112041
1,60000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.8333333333333333,1.022038520823687,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1283.9047778397799
2,120000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,2.090909090909091,1.025042047884961,1.0,1.0947368421052488,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1249.3104012683034
3,180000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.7272727272727273,1.0266430595075098,1.0,1.1499999999999773,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1244.210190139711
4,240000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.8333333333333333,1.015780286304583,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1252.7838917449117
5,300000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,2.090909090909091,1.031966255864156,1.0,1.3529411764705883,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1253.3419709652662
6,360000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.7272727272727273,1.0278507889761088,1.0,1.3333333333333333,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1258.701579645276
7,420000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.7272727272727273,1.0166798295954307,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1245.286574587226
8,480000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0332748843938102,1.0,1.3529411764705883,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1235.180706717074
9,540000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0228387918050053,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1250.8514039218426
10,600000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.7272727272727273,1.0178875590640295,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1245.7614298909903
11,660000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0332748843938102,1.0,1.3529411764705883,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1256.5820515155792
12,720000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0180337077160337,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1184.5455076545477
13,780000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.7272727272727273,1.0178875590640295,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1216.6578825563192
14,840000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0309505971910065,1.0,1.3333333333333333,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1186.284818686545
15,900000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0191990607120502,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1223.5211646184325
16,960000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.7272727272727273,1.0175651951833133,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1241.8403439223766
17,1020000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0276582657656825,1.0,1.1499999999999773,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1227.2616000846028
18,1080000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0191990607120502,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1224.3782663717866
19,1140000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.7272727272727273,1.0159548892251813,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1236.5815648809075
20,1200000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0161678285719205,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1231.3573583960533
21,1260000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0248936881458082,1.0,1.2105263157894737,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1241.0441124811769
22,1320000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.7272727272727273,1.015509936263066,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1248.151771724224
23,1380000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.016096785662003,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1217.5011495128274
24,1440000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0315931268145562,1.0,1.3421568627450966,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1240.559189580381
25,1500000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.7272727272727273,1.015509936263066,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1184.2137621715665
26,1560000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0188733759671975,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1188.8697445392609
27,1620000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.9090909090909092,1.0300403317835005,1.0,1.3333333333333333,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1282.9895112663507
28,1680000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.7272727272727273,1.0174897499276623,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1246.5897081419826
29,1740000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,1.8333333333333333,1.0186917942638767,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,1252.6231529191136
30,1800000000000,648.0,648.0,648.0,648.0,648.0,648,1.0,2.090909090909091,1.031786661686379,1.0,1.3333333333333333,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,1250.5287937819958
