time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.4583333333333333,11.0,0.4583333333333333,0.00019290123456790122,0.046296296296296294,0.0,0.057971014492753624,0.5570987654320988,2.0,0.5030864197530864,1.0,0.0,0.0,1.0601851851851851,3.0,504.0,0.7777777777777778
2,120000000000,0.5416666666666666,13.0,0.5416666666666666,0.0015432098765432098,0.023148148148148147,0.0036231884057971015,0.03985507246376811,0.6141975308641975,2.0,0.6682098765432098,2.0,0.0,0.0,1.2824074074074074,3.0,433.0,0.6682098765432098
3,180000000000,0.4583333333333333,11.0,0.4583333333333333,0.0005787037037037037,0.037037037037037035,0.010869565217391304,0.03260869565217391,0.5570987654320988,2.0,0.5570987654320988,2.0,0.0,0.0,1.1141975308641976,4.0,432.0,0.6666666666666666
4,240000000000,0.4166666666666667,10.0,0.4166666666666667,0.00019290123456790122,0.041666666666666664,0.0,0.043478260869565216,0.5015432098765432,2.0,0.44753086419753085,1.0,0.0,0.0,0.9490740740740741,3.0,396.0,0.6111111111111112
5,300000000000,0.4583333333333333,11.0,0.4583333333333333,0.0011574074074074073,0.023148148148148147,0.010869565217391304,0.036231884057971016,0.5030864197530864,2.0,0.6111111111111112,2.0,0.0,0.0,1.1141975308641976,4.0,325.0,0.5015432098765432
6,360000000000,0.625,15.0,0.625,0.0011574074074074073,0.041666666666666664,0.016304347826086956,0.04710144927536232,0.779320987654321,2.0,0.6712962962962963,2.0,0.0,0.0,1.4506172839506173,4.0,468.0,0.7222222222222222
7,420000000000,0.25,6.0,0.25,0.00038580246913580245,0.018518518518518517,0.007246376811594203,0.021739130434782608,0.279320987654321,1.0,0.279320987654321,1.0,0.0,0.0,0.558641975308642,2.0,253.0,0.3904320987654321
8,480000000000,0.5,12.0,0.5,0.0007716049382716049,0.037037037037037035,0.014492753623188406,0.04710144927536232,0.558641975308642,2.0,0.6666666666666666,2.0,0.0,0.0,1.2253086419753085,3.0,468.0,0.7222222222222222
9,540000000000,0.6666666666666666,16.0,0.6666666666666666,0.0009645061728395061,0.05092592592592592,0.014492753623188406,0.06521739130434782,0.8348765432098766,2.0,0.7268518518518519,2.0,0.0,0.0,1.5617283950617284,3.0,576.0,0.8888888888888888
10,600000000000,0.2916666666666667,7.0,0.2916666666666667,0.0005787037037037037,0.018518518518518517,0.012681159420289856,0.03260869565217391,0.33487654320987653,1.0,0.33487654320987653,2.0,0.0,0.0,0.6697530864197531,3.0,324.0,0.5
