time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,4.0,10.0,4.635802469135802,4.0,7.0,648,1.0,5.285714285714286,1.2892126589283297,1.0,2.655288461538457,552,0.9999999999999998,4.726199569809875,1.512267415363067,1.2679762376422552,2.740096127123435,552,1262.1974209323525
1,60000000000,4.0,10.0,4.6419753086419755,4.0,7.0,648,1.0,5.285714285714286,1.2887106239576303,1.0,2.9266666666666574,552,0.9999999999999998,4.7415525110804575,1.507936789684304,1.2679776975990156,2.888336912555867,552,1213.4098950773478
2,120000000000,4.0,10.0,4.6419753086419755,4.0,7.0,648,1.0,4.2727272727272725,1.3630108597313182,1.0,3.0,552,0.9999999999999998,4.66853529825629,1.5964522172821904,1.3333735420521293,2.8212080831139184,552,1253.7180092185736
3,180000000000,4.0,10.0,4.631172839506172,4.0,7.0,648,1.0,6.0,1.3861206143331861,1.0,3.081818181818169,552,0.9999999999999999,5.337965293277765,1.609281812968475,1.3421052145241363,2.884150423180882,552,1219.5809474214911
4,240000000000,4.0,10.0,4.643518518518518,4.0,7.0,648,1.0,5.666666666666667,1.3398516919946173,1.0,3.1685714285714246,552,0.9999999999999998,5.676338583939632,1.5493607646593832,1.2735412447859722,3.0003933239037757,552,1225.1587882637978
5,300000000000,4.0,10.0,4.645061728395062,4.0,7.0,648,1.0,4.5,1.4456215756750455,1.0,3.3799999999999977,552,0.9999999999999998,4.665208652472557,1.6515288190341832,1.3639600883557088,3.123782302566554,552,1221.6247376054525
6,360000000000,4.0,10.0,4.640432098765432,4.0,7.0,648,1.0,6.0,1.4668012195033504,1.0,3.5,552,0.9999999999999998,5.590735657641931,1.6789543224533376,1.3836535111488306,3.0719505878742264,552,1205.0677435472608
7,420000000000,4.0,10.0,4.6419753086419755,4.0,7.0,648,1.0,6.0,1.583373582539775,1.0,3.727272727272727,552,0.9999999999999998,5.6526532327223835,1.7520911910878643,1.4554772459851084,3.2813635808383474,552,1205.8984003961086
8,480000000000,4.0,10.0,4.6496913580246915,4.0,7.0,648,1.0,6.333333333333333,1.5351244862440838,1.0,3.4444444444444446,552,0.9999999999999997,5.458986151140621,1.6798922846900182,1.3626582152846218,3.1864836882902234,552,1207.8799037262797
9,540000000000,4.0,10.0,4.6419753086419755,4.0,7.0,648,1.0,7.4,1.4741197605347902,1.0,3.408333333333322,552,0.9999999999999998,6.799406762808022,1.6843681647398618,1.3824935715285798,3.164169312335326,552,1182.2531698271632
10,600000000000,4.0,10.0,4.6419753086419755,4.0,7.0,648,1.0,7.4,1.4919534326567927,1.0,3.6572727272727183,552,0.9999999999999998,6.767371375771514,1.6722341688110225,1.3265209867846925,3.417773722560113,552,1200.1657327637076
11,660000000000,4.0,10.0,4.652777777777778,4.0,7.0,648,1.0,6.333333333333333,1.4173498542028549,1.0,3.4,552,0.9999999999999996,5.457822890147101,1.587135991706346,1.2679220911408593,3.138869566823057,552,1211.3867457956076
12,720000000000,4.0,10.0,4.640432098765432,4.0,7.0,648,1.0,7.4,1.4179191455721887,1.0,3.0,552,0.9999999999999997,6.834603893784773,1.6453298556248568,1.3597922423758084,3.150377900822603,552,1177.3177329450846
13,780000000000,4.0,10.0,4.6496913580246915,4.0,7.0,648,1.0,7.4,1.363553205283351,1.0,3.0,552,0.9999999999999998,6.8224596931515205,1.58078226433631,1.2839986906209182,3.1411692705311487,552,1205.554693005979
14,840000000000,4.0,10.0,4.6419753086419755,4.0,7.0,648,1.0,5.571428571428571,1.2693376471189184,1.0,2.2099999999999986,552,0.9999999999999996,5.063693414717099,1.4976059179885732,1.2167035745983719,2.7073099717672346,552,1208.6878130212426
15,900000000000,4.0,9.0,4.637345679012346,4.0,7.0,648,1.0,4.714285714285714,1.336878911651565,1.0,2.57740384615384,552,0.9999999999999998,4.834456546760417,1.5843031528285723,1.3344843896767977,3.1100446305685607,552,1191.7091803625226
16,960000000000,4.0,10.0,4.640432098765432,4.0,7.0,648,1.0,5.0,1.2954687138849175,1.0,2.178571428571423,552,0.9999999999999998,4.886072520329217,1.5465283441502795,1.2850057615186448,2.7817138348458754,552,1205.8940017595887
17,1020000000000,4.0,10.0,4.640432098765432,4.0,7.0,648,1.0,3.8,1.24097232521242,1.0,2.1330357142857133,552,0.9999999999999998,4.6121356766185615,1.4678492209054985,1.18271314667828,2.6572704425376314,552,1220.701931975782
18,1080000000000,4.0,9.0,4.640432098765432,4.0,7.0,648,1.0,3.8,1.3249225417908932,1.0,2.3846153846153846,552,0.9999999999999998,4.8425119216296695,1.5944073633582023,1.2925864229626132,3.080428105590223,552,1189.4498402252793
19,1140000000000,4.0,10.0,4.645061728395062,4.0,7.0,648,1.0,3.8,1.320620247027043,1.0,2.142857142857143,552,0.9999999999999998,4.902665538786631,1.5880496983407595,1.323422501974581,2.8594031157161592,552,1199.253587052226
20,1200000000000,4.0,10.0,4.648148148148148,4.0,7.0,648,1.0,3.8,1.2562051517785937,1.0,2.142857142857143,552,0.9999999999999997,4.590296891107578,1.4749996552516464,1.158095577611635,2.7029710099523037,552,1206.3281387090683
21,1260000000000,4.0,9.0,4.651234567901234,4.0,7.0,648,1.0,3.8,1.3044386345009236,1.0,2.2,552,0.9999999999999998,4.845308388906344,1.5580356235302968,1.2464434863836256,2.743873618821542,552,1182.4550665915012
22,1320000000000,4.0,10.0,4.652777777777778,4.0,7.0,648,1.0,3.8,1.34441445248946,1.0833333333333333,2.239423076923076,552,0.9999999999999998,4.914110838803533,1.618681131878033,1.3612589478602946,2.8961424478282143,552,1200.1273650676012
23,1380000000000,4.0,10.0,4.648148148148148,4.0,7.0,648,1.0,3.8,1.2542257855505623,1.0,2.142857142857143,552,0.9999999999999998,4.565685791796303,1.4710413029948513,1.1523827532886517,2.7002961541762023,552,1208.9190613478422
24,1440000000000,4.0,9.0,4.645061728395062,4.0,7.0,648,1.0,3.8,1.2625980991318004,1.0,2.111111111111111,552,0.9999999999999998,4.842725774615114,1.4972653093477764,1.1804323521700182,2.6907766295485214,552,1177.4531649425626
25,1500000000000,4.0,10.0,4.654320987654321,4.0,7.0,648,1.0,3.8,1.34441445248946,1.0833333333333333,2.239423076923076,552,0.9999999999999998,4.920104999569538,1.6187405002845474,1.3628311098022818,2.8921189404572436,552,1197.7785862982273
26,1560000000000,4.0,10.0,4.654320987654321,4.0,7.0,648,1.0,3.8,1.202157942604383,1.0,2.0588235294117645,552,0.9999999999999998,4.538649179801936,1.3863952199363703,1.1281132873702728,2.5698289319677916,552,1207.6251553371549
27,1620000000000,4.0,9.0,4.645061728395062,4.0,7.0,648,1.0,3.8,1.2927951226507985,1.0,2.111111111111111,552,0.9999999999999998,4.834760414927239,1.5480207854660935,1.2503989886246907,2.726808634946527,552,1186.2133331596851
28,1680000000000,4.0,9.0,4.651234567901234,4.0,7.0,648,1.0,3.8,1.360681914736812,1.0952380952380953,2.239423076923076,552,0.9999999999999998,4.920456215328237,1.638372422859903,1.385694942784141,2.871843355381919,552,1191.9469125568867
29,1740000000000,4.0,10.0,4.655864197530864,4.0,7.0,648,1.0,4.5,1.2058851753150135,1.0,2.066666666666667,552,0.9999999999999998,5.144474558569378,1.4113945125730152,1.1591334618876756,2.644989262930801,552,1234.1917073354125
30,1800000000000,4.0,9.0,4.6496913580246915,4.0,7.0,648,1.0,3.8,1.2944245967712942,1.0,2.142857142857143,552,0.9999999999999998,4.517656704746675,1.5532625894635568,1.2775791365247242,2.76003581501844,552,1211.6983337327838
31,1860000000000,4.0,9.0,4.645061728395062,4.0,7.0,648,1.0,3.8,1.3668498058615726,1.1,2.25,552,0.9999999999999998,4.9151015573428705,1.6448500521417082,1.3867100667918864,2.8761130637018963,552,1195.7643264904618
