constellation,condition,seed,variant,deliverable_per_snapshot,delivery_rate,non_optimal_egress_rate,stretch_dist_shared,stretch_hop_shared,isls_removed_per_snapshot,satellites_down_per_snapshot,fstate_updates_per_snapshot,compute_time_ms,loop_pairs_per_snapshot,live_minima_per_snapshot,detour_entries_per_snapshot,failure_events_per_snapshot,exception_entries_per_snapshot,exception_entries_one_pass_per_snapshot,exception_satellites_per_snapshot,exception_share_of_link_state,exception_hops_to_failure_mean,exception_hops_to_failure_max,exception_unresolved_total,failure_share_loop,failure_share_dead_end,failure_share_link_down,failure_share_hop_limit,failure_share_egress_lost,delivery_gap_vs_link_state
kuiper,cut,1,dra,458.8833333333333,0.8333272799912832,0.27610704323570434,1.029934338405221,1.0015852221494217,68.0,0.0,0.029558383672511877,1143.6382000955443,76.48333333333333,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.1666727200087168
kuiper,cut,1,explicit_r1,458.8833333333333,1.0,0.0,1.0,1.0106324350853255,68.0,0.0,0.6555627235939241,3633.9800285175443,0.0,,,,,,,,,,,,,,,,0.0
kuiper,cut,1,explicit_r15,458.8833333333333,0.9995278393200886,0.5192950581395349,1.3369086714897453,1.2899717405342264,68.0,0.0,0.605463022696616,810.3817472234368,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0004721606799114042
kuiper,cut,1,link_state,458.8833333333333,1.0,0.0,1.0,1.0106324350853255,68.0,0.0,27.59490645709929,8973.53386801357,0.0,,,,,,,,,,,,,,,,0.0
kuiper,cut,1,topological_nominal,458.8833333333333,0.8355428031816365,0.0016952836339926103,1.0001664765370764,1.0100926028579449,68.0,0.0,0.029558383672511877,4281.710753869265,75.46666666666667,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.16445719681836346
kuiper,cut,1,topological_nominal_progress,458.8833333333333,0.850579304834199,0.0031598274904991674,1.000137946281788,1.0106964818316893,68.0,0.0,0.029558383672511877,4450.7784946200745,0.0,56.333333333333336,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.14942069516580103
kuiper,cut,1,topological_nominal_progress_exceptions,458.8833333333333,1.0,0.04314822213343987,1.0487948875030269,1.0640542242169329,68.0,0.0,0.029558383672511877,4748.970720202972,0.0,56.333333333333336,0.0,1.1333333333333333,254.48333333333332,3458.4333333333334,115.21666666666667,0.009172553825451749,0.5348090903137075,8.0,0.0,,,,,,0.0
kuiper,cut,1,topological_nominal_progress_repair,458.8833333333333,0.850579304834199,0.0031598274904991674,1.000137946281788,1.0106964818316893,68.0,0.0,0.029558383672511877,4459.323404263705,0.0,56.333333333333336,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.14942069516580103
kuiper,cut,1,topological_nominal_progress_repair_exceptions,458.8833333333333,1.0,0.04314822213343987,1.0487948875030269,1.0640542242169329,68.0,0.0,0.029558383672511877,4851.269243098795,0.0,56.333333333333336,0.0,1.1333333333333333,254.48333333333332,3458.4333333333334,115.21666666666667,0.009172553825451749,0.5348090903137075,8.0,0.0,,,,,,0.0
kuiper,cut,1,topological_observed,458.8833333333333,1.0,0.0,1.0,1.0106324350853255,68.0,0.0,0.029558383672511877,4544.786566495895,0.0,,,,,,,,,,,,,,,,0.0
kuiper,cut,1,topological_observed_progress,458.8833333333333,1.0,0.0,1.0,1.0106324350853255,68.0,0.0,0.029558383672511877,4476.58040408666,0.0,0.0,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,1,dra,552.0,0.9418478260869565,0.27104571391934346,1.034386778408603,1.0000184821890465,23.0,0.0,0.029558383672511877,1159.0911349281669,32.1,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0581521739130435
kuiper,isl_p0.01,1,explicit_r1,552.0,1.0,0.0,1.0,1.0108495005935365,23.0,0.0,0.7764647234766289,4288.139123780032,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,1,explicit_r15,552.0,0.9586050724637681,0.54234779048159,1.3107432136360104,1.275724140792759,23.0,0.0,0.7111606357398392,896.7758389810721,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.04139492753623186
kuiper,isl_p0.01,1,link_state,552.0,1.0,0.0,1.0,1.0108495005935365,23.0,0.0,32.66194064864231,9334.253298615416,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,1,topological_nominal,552.0,0.982518115942029,0.01819243415998279,1.0014067573753547,1.0131933202352463,23.0,0.0,0.029558383672511877,4399.309669714421,9.65,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.01748188405797102
kuiper,isl_p0.01,1,topological_nominal_progress,552.0,0.9781702898550725,0.015803932462882364,1.0006669259908854,1.0116006776327064,23.0,0.0,0.029558383672511877,4415.598895897468,0.0,20.716666666666665,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.021829710144927517
kuiper,isl_p0.01,1,topological_nominal_progress_exceptions,552.0,1.0,0.025422705314009662,1.001710464129463,1.0133411751580332,23.0,0.0,0.029558383672511877,5008.805633553614,0.0,20.716666666666665,0.0,5.166666666666667,22.9,761.2,15.133333333333333,0.00082540369088812,0.09461426491994178,1.0,0.0,,,,,,0.0
kuiper,isl_p0.01,1,topological_nominal_progress_repair,552.0,1.0,0.02738526570048309,1.0033600279817694,1.0162539639052122,23.0,0.0,0.029558383672511877,5023.970389583458,0.0,0.0,40.7,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,1,topological_nominal_progress_repair_exceptions,552.0,1.0,0.02738526570048309,1.0033600279817694,1.0162539639052122,23.0,0.0,0.029558383672511877,4914.386583274852,0.0,0.0,40.7,5.166666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0
kuiper,isl_p0.01,1,topological_observed,552.0,1.0,0.005646135265700483,1.0002834596498977,1.0111330757757122,23.0,0.0,0.029558383672511877,4565.025718975812,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,1,topological_observed_progress,552.0,1.0,0.005646135265700483,1.0002834596498977,1.0111330757757122,23.0,0.0,0.029558383672511877,4349.930681784947,0.0,0.0,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,2,dra,552.0,0.9395531400966184,0.275981746898901,1.0346824296578663,1.0000379352686082,24.116666666666667,0.0,0.029558383672511877,1135.0937457755208,33.36666666666667,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.06044685990338161
kuiper,isl_p0.01,2,explicit_r1,552.0,1.0,0.0,1.0,1.0110277212481704,24.116666666666667,0.0,0.7774177467597209,4254.860979691148,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,2,explicit_r15,552.0,0.9303442028985507,0.5412650504657125,1.311028405653165,1.2773273317123623,24.116666666666667,0.0,0.7111606357398392,914.6000732357303,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.06965579710144931
kuiper,isl_p0.01,2,link_state,552.0,1.0,0.0,1.0,1.0110277212481704,24.116666666666667,0.0,32.66543018004809,8159.1746113883955,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,2,topological_nominal,552.0,0.97506038647343,0.01901281971883322,1.001476960848208,1.0132687293605,24.116666666666667,0.0,0.029558383672511877,4433.786142120759,13.766666666666667,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.024939613526570037
kuiper,isl_p0.01,2,topological_nominal_progress,552.0,0.9708031400966184,0.015332939383572296,1.000576601886893,1.01173240660023,24.116666666666667,0.0,0.029558383672511877,4323.333991567294,0.0,31.066666666666666,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.02919685990338161
kuiper,isl_p0.01,2,topological_nominal_progress_exceptions,552.0,1.0,0.024214975845410627,1.002153761755093,1.0142589456141164,24.116666666666667,0.0,0.029558383672511877,4884.393909449379,0.0,31.066666666666666,0.0,5.116666666666666,34.7,818.7166666666667,18.566666666666666,0.0012507208765859285,0.09990393852065321,1.0,0.0,,,,,,0.0
kuiper,isl_p0.01,2,topological_nominal_progress_repair,552.0,1.0,0.02826086956521739,1.0038632163082248,1.0170843909284435,24.116666666666667,0.0,0.029558383672511877,4539.757871472587,0.0,0.0,51.13333333333333,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,2,topological_nominal_progress_repair_exceptions,552.0,1.0,0.02826086956521739,1.0038632163082248,1.0170843909284435,24.116666666666667,0.0,0.029558383672511877,4912.732124918451,0.0,0.0,51.13333333333333,5.116666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0
