constellation,algorithm,isl,deliverable_per_snapshot,delivery_rate,non_optimal_egress_rate,stretch_dist_shared,stretch_hop_shared,fstate_proxy,fstate_installed,fstate_markers,fstate_neighbors,fstate_updates_per_snapshot,compute_time_ms,aux_decisions_per_sat_mean,aux_decisions_per_sat_max,aux_distance_evals_per_sat_mean,aux_distance_evals_per_sat_max,aux_cache_pairs_per_sat_mean,aux_cache_pairs_per_sat_max,aux_lsdb_node_entries,aux_lsdb_link_entries,aux_spf_tree_entries_per_sat,aux_spf_all_pairs_entries,aux_spf_all_pairs_build_ms,aux_lsdb_entries,aux_geometry_build_ms,aux_geometry_row_edge_entries,aux_geometry_plane_edge_entries,aux_path_cost_row_entries,aux_path_cost_plane_entries,aux_pivot_cache_entries,aux_geometry_entries,aux_path_cost_entries
kuiper,dra_routing,grid,552.0,1.0,0.28319746376811594,1.0352330863833288,1.0,4.30981353325644,24.0,0.0,4.30981353325644,0.029455137781804513,1101.8271988464726,24.0,24.0,478.14444444444445,492.0,89.88384275278739,96.0,,,,,,,,,,,,,,
kuiper,dra_routing,grid_seam,552.0,0.872277576489533,0.26857198899266754,1.0323672895831892,1.0000083170357892,4.2509900038446755,24.0,0.0,4.2509900038446755,0.029455137781804513,1078.6527598690654,24.0,24.0,476.73267973856207,492.0,88.56914888504421,96.0,,,,,,,,,,,,,,
kuiper,dra_routing,ring,137.54722222222222,0.8854332855383,0.0002736976553234194,1.0000106309635919,1.0000114040689718,2.3098135332564396,24.0,0.0,2.3098135332564396,0.029455137781804513,909.6131812211954,24.0,24.0,430.14444444444445,444.0,44.941921376393694,48.0,,,,,,,,,,,,,,
kuiper,explicit_path_routing,grid,552.0,1.0,0.0,1.0,1.0109373247043327,4.797645136485967,24.0,0.0,4.30981353325644,0.773084114851905,1117.8467500954866,,,,,,,,,,,,,,,,,,,,
kuiper,explicit_path_routing,grid_seam,552.0,1.0,0.0,1.0,1.0106147493984559,4.738821607074202,24.0,0.0,4.2509900038446755,0.7746503648157608,1106.270773977869,,,,,,,,,,,,,,,,,,,,
kuiper,explicit_path_routing,ring,137.54722222222222,1.0,0.0,1.0,1.0,2.4463691849288733,5.923202614379085,18.076797385620917,2.3098135332564396,0.23409412921321243,282.8676179103139,,,,,,,,,,,,,,,,,,,,
kuiper,shortest_path_link_state,grid,552.0,1.0,0.0,1.0,1.0109373247043327,1156.0,24.0,0.0,4.30981353325644,32.45069927036848,6329.074839461181,,,,,,,1156.0,2312.0,1156.0,1336336.0,4703.857728569872,3468.0,,,,,,,,
kuiper,shortest_path_link_state,grid_seam,552.0,1.0,0.0,1.0,1.0106147493984559,1156.0,24.0,0.0,4.2509900038446755,32.40953822131835,6417.880041995603,,,,,,,1156.0,2278.0,1156.0,1336336.0,4806.351457644875,3434.0,,,,,,,,
kuiper,shortest_path_link_state,ring,137.54722222222222,1.0,0.0,1.0,1.0,1156.0,5.923202614379085,18.076797385620917,2.3098135332564396,7.71749428921167,5411.380783147696,,,,,,,1156.0,1156.0,1156.0,1336336.0,4334.183896803815,2312.0,,,,,,,,
kuiper,topological_routing,grid,552.0,1.0,0.0,1.000000000459459,1.0109373247043327,4.30981353325644,24.0,0.0,4.30981353325644,0.029455137781804513,3802.773908339441,24.0,24.0,478.14444444444445,492.0,91.47985390234524,96.0,,,,,,,538.0081813109832,1156.0,1156.0,39304.0,39304.0,308625.625,2312.0,78608.0
kuiper,topological_routing,grid_seam,552.0,1.0,0.0,1.0000000003675342,1.0106147493984559,4.2509900038446755,24.0,0.0,4.2509900038446755,0.029455137781804513,3723.0832141513624,24.0,24.0,476.73267973856207,492.0,89.88555123029603,96.0,,,,,,,463.501956505287,1156.0,1156.0,39304.0,39304.0,308625.625,2312.0,78608.0
kuiper,topological_routing,ring,137.54722222222222,1.0,0.0,1.0,1.0,2.3098135332564396,5.923202614379085,0.0,2.3098135332564396,0.029455137781804513,3200.1637952867895,5.923202614379085,11.0,113.3015522875817,226.0,9.847693194925029,20.0,,,,,,,320.6991171050403,1156.0,1156.0,39304.0,39304.0,308625.625,2312.0,78608.0
oneweb,dra_routing,grid,552.0,1.0,0.4345662238325282,1.06626427826285,1.0099076889713217,4.643368484224966,24.0,0.0,4.643368484224966,0.03560989029884108,642.8802404190517,24.0,24.0,536.9027777777778,552.0,82.48201303155007,96.0,,,,,,,,,,,,,,
oneweb,dra_routing,grid_seam,552.0,0.7919082125603865,0.38447460728991917,1.0546100135321768,1.0099616519120485,4.532257373113855,24.0,0.0,4.532257373113855,0.03560989029884108,629.7940363279647,24.0,24.0,534.2361111111111,552.0,80.18764574759946,96.0,,,,,,,,,,,,,,
oneweb,dra_routing,ring,153.55,0.6568616809580665,0.107435968052878,1.0155772792486908,1.0213946494686286,2.6433684842249656,24.0,0.0,2.6433684842249656,0.03560989029884108,547.9592347155428,24.0,24.0,488.90277777777777,504.0,41.241006515775034,48.0,,,,,,,,,,,,,,
oneweb,explicit_path_routing,grid,552.0,1.0,0.0,1.0,1.0663956689748926,5.491825274348423,24.0,0.0,4.643368484224966,0.9682029987276041,560.5580902347962,,,,,,,,,,,,,,,,,,,,
oneweb,explicit_path_routing,grid_seam,552.0,1.0,0.0,1.0,1.0592430994027644,5.380714163237311,24.0,0.0,4.532257373113855,0.9803423432717768,545.6136378356152,,,,,,,,,,,,,,,,,,,,
oneweb,explicit_path_routing,ring,153.55,1.0,0.0,1.0,1.0,2.9052640603566533,6.963271604938272,17.03672839506173,2.6433684842249656,0.3081132432339489,155.84085864635804,,,,,,,,,,,,,,,,,,,,
