time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,300000000000,1.0,24.0,1.0,0.24459342560553632,0.0,0.9818840579710145,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,47.0,0.04065743944636678
2,600000000000,1.0,24.0,1.0,0.2916666666666667,0.0,0.9782608695652174,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,47.0,0.04065743944636678
3,900000000000,1.0,24.0,1.0,0.2809616493656286,0.0,0.980072463768116,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,45.0,0.03892733564013841
4,1200000000000,1.0,24.0,1.0,0.29473039215686275,0.0,0.9782608695652174,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,47.0,0.04065743944636678
5,1500000000000,1.0,24.0,1.0,0.23976355247981546,0.0,0.9782608695652174,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,47.0,0.04065743944636678
6,1800000000000,1.0,24.0,1.0,0.3020472895040369,0.0,0.9710144927536232,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,46.0,0.039792387543252594
7,2100000000000,1.0,24.0,1.0,0.27667243367935407,0.0,0.9764492753623188,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,46.0,0.039792387543252594
8,2400000000000,1.0,24.0,1.0,0.30125432525951557,0.0,0.9764492753623188,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,47.0,0.04065743944636678
9,2700000000000,1.0,24.0,1.0,0.2430435409457901,0.0,0.9746376811594203,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,47.0,0.04065743944636678
10,3000000000000,1.0,24.0,1.0,0.3005694925028835,0.0,0.9764492753623188,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,48.0,0.04152249134948097
11,3300000000000,1.0,24.0,1.0,0.27721309111880044,0.0,0.980072463768116,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,47.0,0.04065743944636678
12,3600000000000,1.0,24.0,1.0,0.2993800461361015,0.0,0.980072463768116,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,46.0,0.039792387543252594
13,3900000000000,1.0,24.0,1.0,0.24225057670126873,0.0,0.9728260869565217,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,47.0,0.04065743944636678
14,4200000000000,1.0,24.0,1.0,0.2973255478662053,0.0,0.9782608695652174,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,47.0,0.04065743944636678
15,4500000000000,1.0,24.0,1.0,0.27728517877739334,0.0,0.9746376811594203,0.0,0.020761245674740483,0.0,0.020761245674740483,0.0,0.0,0.0,0.04152249134948097,0.0,47.0,0.04065743944636678
