time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.7083333333333334,17.0,0.7083333333333334,0.3969506920415225,0.0,0.8278985507246377,0.0,16.000865051903116,16.0,17.0,17.0,0.2102076124567474,1.0,33.21107266435986,34.0,1156.0,1.0
2,120000000000,0.6666666666666666,16.0,0.6666666666666666,0.338739907727797,0.0,0.7735507246376812,0.0,15.000865051903114,15.0,14.001730103806228,14.0,0.020761245674740483,0.0,29.023356401384085,29.0,1156.0,1.0
3,180000000000,0.75,18.0,0.75,0.3948601499423299,0.0,0.8242753623188406,0.0,16.001730103806228,16.0,17.000865051903116,17.0,0.5865051903114187,4.0,33.589100346020764,37.0,1156.0,1.0
4,240000000000,0.7083333333333334,17.0,0.7083333333333334,0.3968065167243368,0.0,0.8278985507246377,0.0,16.000865051903116,16.0,16.000865051903116,16.0,0.21107266435986158,1.0,32.21280276816609,33.0,1156.0,1.0
5,300000000000,0.6666666666666666,16.0,0.6666666666666666,0.3457684544405998,0.0,0.7771739130434783,0.0,15.000865051903114,15.0,14.001730103806228,14.0,0.10986159169550173,1.0,29.112456747404845,30.0,1156.0,1.0
6,360000000000,0.75,18.0,0.75,0.37835207612456745,0.0,0.8134057971014492,0.0,16.001730103806228,16.0,17.000865051903116,17.0,0.4731833910034602,4.25,33.4757785467128,37.25,1156.0,1.0
7,420000000000,0.7083333333333334,17.0,0.7083333333333334,0.3408304498269896,0.0,0.8152173913043478,0.0,16.000865051903116,16.0,16.000865051903116,16.0,0.21107266435986158,1.0,32.21280276816609,33.0,1156.0,1.0
8,480000000000,0.6666666666666666,16.0,0.6666666666666666,0.3622044405997693,0.0,0.7590579710144928,0.0,16.0,16.0,15.000865051903114,15.0,0.6366782006920415,4.0,31.637543252595155,35.0,1156.0,1.0
9,540000000000,0.7083333333333334,17.0,0.7083333333333334,0.3567978662053056,0.0,0.8043478260869565,0.0,15.001730103806228,15.0,16.000865051903116,16.0,0.014705882352941176,0.0,31.017301038062282,31.0,1156.0,1.0
10,600000000000,0.7083333333333334,17.0,0.7083333333333334,0.3858852364475202,0.0,0.8297101449275363,0.0,16.000865051903116,16.0,16.000865051903116,16.0,0.21107266435986158,1.0,32.21280276816609,33.0,1156.0,1.0
11,660000000000,0.75,18.0,0.75,0.4058535178777393,0.0,0.822463768115942,0.0,18.0,18.0,17.000865051903116,17.0,0.48875432525951557,3.0,35.48961937716263,38.0,1156.0,1.0
12,720000000000,0.7083333333333334,17.0,0.7083333333333334,0.3162485582468281,0.0,0.7898550724637681,0.0,15.001730103806228,15.0,16.000865051903116,16.0,0.015570934256055362,0.0,31.018166089965398,31.0,1156.0,1.0
13,780000000000,0.7083333333333334,17.0,0.7083333333333334,0.3638264129181084,0.0,0.8079710144927537,0.0,16.000865051903116,16.0,16.000865051903116,16.0,0.21107266435986158,1.0,32.21280276816609,33.0,1156.0,1.0
14,840000000000,0.7083333333333334,17.0,0.7083333333333334,0.3781358131487889,0.0,0.8260869565217391,0.0,17.0,17.0,16.000865051903116,16.0,0.6029411764705882,4.0,33.6038062283737,37.0,1156.0,1.0
