time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,10000200000,0.0,0.0,0.0,0.00102880658436214,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.0,0.024691358024691357,0.0,12.0,0.018518518518518517
2,20000400000,0.08333333333333333,2.0,0.08333333333333333,0.024434156378600823,0.0,0.10326086956521739,0.0,2.0,2.0,0.0030864197530864196,0.0,0.0,0.0,2.003086419753086,2.0,648.0,1.0
3,30000600000,0.041666666666666664,1.0,0.041666666666666664,0.01716820987654321,0.0,0.041666666666666664,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,648.0,1.0
4,40000800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,50001000000,0.125,3.0,0.125,0.1541280864197531,0.0,0.23731884057971014,0.0,2.001543209876543,2.0,3.0,3.0,1.6527777777777777,10.0,6.654320987654321,15.0,648.0,1.0
6,60001200000,0.20833333333333334,5.0,0.20833333333333334,0.1388888888888889,0.0,0.3115942028985507,0.0,5.0,5.0,5.0,5.0,0.0,0.0,10.0,10.0,648.0,1.0
7,70001400000,0.125,3.0,0.125,0.09375,0.0,0.21920289855072464,0.0,3.0,3.0,3.0,3.0,0.0,0.0,6.0,6.0,648.0,1.0
8,80001600000,0.041666666666666664,1.0,0.041666666666666664,0.025270061728395063,0.0,0.06521739130434782,0.0,0.0015432098765432098,0.0,1.0,1.0,0.0,0.0,1.001543209876543,1.0,648.0,1.0
9,90001800000,0.041666666666666664,1.0,0.041666666666666664,0.004436728395061728,0.0,0.04891304347826087,0.0,1.0,1.0,1.0,1.0,0.021604938271604937,0.0,2.021604938271605,2.0,648.0,1.0
10,100002000000,0.041666666666666664,1.0,0.041666666666666664,0.0367798353909465,0.0,0.08695652173913043,0.0,1.0,1.0,1.0,1.0,0.06327160493827161,0.0,2.0632716049382718,2.0,648.0,1.0
11,110002200000,0.125,3.0,0.125,0.05639146090534979,0.0,0.18297101449275363,0.0,3.0,3.0,3.0,3.0,0.05864197530864197,0.0,6.058641975308642,6.0,648.0,1.0
12,120002400000,0.3333333333333333,8.0,0.3333333333333333,0.16229423868312756,0.0,0.4384057971014493,0.0,6.003086419753086,6.0,6.003086419753086,6.0,0.0,0.0,12.006172839506172,12.0,648.0,1.0
13,130002600000,0.0,0.0,0.0,0.00019290123456790122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.004629629629629629,0.0,3.0,0.004629629629629629
14,140002800000,0.125,3.0,0.125,0.13085133744855967,0.0,0.26992753623188404,0.0,3.0,3.0,3.0,3.0,0.4722222222222222,3.0,6.472222222222222,9.0,648.0,1.0
15,150003000000,0.25,6.0,0.25,0.10706018518518519,0.0,0.30434782608695654,0.0,6.0,6.0,5.0015432098765435,5.0,0.004629629629629629,0.0,11.006172839506172,11.0,648.0,1.0
16,160003200000,0.08333333333333333,2.0,0.08333333333333333,0.02263374485596708,0.0,0.09782608695652174,0.0,1.001543209876543,1.0,2.0,2.0,0.0,0.0,3.001543209876543,3.0,648.0,1.0
17,170003400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,180003600000,0.0,0.0,0.0,0.0030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06790123456790123,0.0,0.06790123456790123,0.0,26.0,0.040123456790123455
19,190003800000,0.08333333333333333,2.0,0.08333333333333333,0.050540123456790126,0.0,0.12318840579710146,0.0,2.0,2.0,1.001543209876543,1.0,0.08487654320987655,1.0,3.0864197530864197,4.0,648.0,1.0
20,200004000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,210004200000,0.041666666666666664,1.0,0.041666666666666664,0.0034079218106995886,0.0,0.05434782608695652,0.0,1.0,1.0,0.0015432098765432098,0.0,0.0,0.0,1.001543209876543,1.0,648.0,1.0
22,220004400000,0.041666666666666664,1.0,0.041666666666666664,0.01716820987654321,0.0,0.041666666666666664,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,648.0,1.0
23,230004600000,0.125,3.0,0.125,0.09169238683127572,0.0,0.2028985507246377,0.0,2.001543209876543,2.0,3.0,3.0,0.1867283950617284,2.0,5.188271604938271,7.0,648.0,1.0
24,240004800000,0.125,3.0,0.125,0.1503343621399177,0.0,0.23731884057971014,0.0,3.0,3.0,3.0,3.0,1.3873456790123457,10.0,7.387345679012346,16.0,648.0,1.0
25,250005000000,0.20833333333333334,5.0,0.20833333333333334,0.12827932098765432,0.0,0.3061594202898551,0.0,4.0015432098765435,4.0,5.0,5.0,0.0,0.0,9.001543209876543,9.0,648.0,1.0
26,260005200000,0.08333333333333333,2.0,0.08333333333333333,0.06410751028806584,0.0,0.14673913043478262,0.0,1.001543209876543,1.0,2.0,2.0,0.0,0.0,3.001543209876543,3.0,648.0,1.0
27,270005400000,0.041666666666666664,1.0,0.041666666666666664,0.0034079218106995886,0.0,0.04710144927536232,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,648.0,1.0
28,280005600000,0.041666666666666664,1.0,0.041666666666666664,0.0363940329218107,0.0,0.07427536231884058,0.0,1.0,1.0,1.0,1.0,0.04938271604938271,0.0,2.049382716049383,2.0,648.0,1.0
29,290005800000,0.041666666666666664,1.0,0.041666666666666664,0.031828703703703706,0.0,0.08876811594202899,0.0,1.0,1.0,1.0,1.0,0.09567901234567901,1.0,2.095679012345679,3.0,648.0,1.0
30,300006000000,0.20833333333333334,5.0,0.20833333333333334,0.11175411522633745,0.0,0.3007246376811594,0.0,4.0015432098765435,4.0,4.0015432098765435,4.0,0.0,0.0,8.003086419753087,8.0,648.0,1.0
