time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.7916666666666666,19.0,0.7916666666666666,0.10464015151515152,0.0,0.8297101449275363,0.0,18.00063131313131,18.0,18.00063131313131,18.0,0.29987373737373735,2.0,36.30113636363637,38.0,1584.0,1.0
2,120000000000,0.75,18.0,0.75,0.10627104377104377,0.0,0.7717391304347826,0.0,16.001262626262626,16.0,16.001262626262626,16.0,0.3352272727272727,3.0,32.337752525252526,35.0,1584.0,1.0
3,180000000000,0.875,21.0,0.875,0.11176872895622895,0.0,0.8913043478260869,0.0,20.00063131313131,20.0,20.00063131313131,20.0,0.2159090909090909,2.0,40.217171717171716,42.0,1584.0,1.0
4,240000000000,0.8333333333333334,20.0,0.8333333333333334,0.12294823232323232,0.0,0.8514492753623188,0.0,20.0,20.0,20.0,20.0,0.05618686868686869,1.0,40.05618686868687,41.0,1584.0,1.0
5,300000000000,0.8333333333333334,20.0,0.8333333333333334,0.09364478114478114,0.0,0.8677536231884058,0.0,19.00063131313131,19.0,19.00063131313131,19.0,0.2474747474747475,1.0,38.24873737373738,39.0,1584.0,1.0
6,360000000000,0.6666666666666666,16.0,0.6666666666666666,0.08872579966329966,0.0,0.6757246376811594,0.0,15.000631313131313,15.0,15.000631313131313,15.0,0.36047979797979796,3.849999999999909,30.361742424242426,33.84999999999991,1584.0,1.0
7,420000000000,0.75,18.0,0.75,0.09206649831649831,0.0,0.7608695652173914,0.0,18.0,18.0,18.0,18.0,0.3226010101010101,2.0,36.32260101010101,38.0,1584.0,1.0
8,480000000000,0.9583333333333334,23.0,0.9583333333333334,0.11445180976430977,0.0,0.9528985507246377,0.0,22.00063131313131,22.0,22.00063131313131,22.0,0.027146464646464648,0.0,44.02840909090909,44.0,1584.0,1.0
9,540000000000,0.7916666666666666,19.0,0.7916666666666666,0.1034827441077441,0.0,0.8242753623188406,0.0,18.00063131313131,18.0,18.00063131313131,18.0,0.3023989898989899,2.0,36.30366161616162,38.0,1584.0,1.0
10,600000000000,0.8333333333333334,20.0,0.8333333333333334,0.20170454545454544,0.0,0.855072463768116,0.0,19.00063131313131,19.0,19.00063131313131,19.0,0.20012626262626262,2.0,38.201388888888886,40.0,1584.0,1.0
