time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,300000000000,1.0,24.0,1.0,0.2808641975308642,0.0,0.9565217391304348,0.0,0.06837606837606838,1.0,0.06837606837606838,1.0,0.0,0.0,0.13675213675213677,1.0,44.0,0.12535612535612536
2,600000000000,1.0,24.0,1.0,0.3100664767331434,0.0,0.9438405797101449,0.0,0.06837606837606838,1.0,0.06837606837606838,1.0,0.0,0.0,0.13675213675213677,1.0,43.0,0.1225071225071225
3,900000000000,1.0,24.0,1.0,0.26163342830009495,0.0,0.9583333333333334,0.0,0.06837606837606838,1.0,0.06837606837606838,1.0,0.0,0.0,0.13675213675213677,1.0,43.0,0.1225071225071225
4,1200000000000,1.0,24.0,1.0,0.30626780626780625,0.0,0.9565217391304348,0.0,0.06837606837606838,1.0,0.06837606837606838,1.0,0.0,0.0,0.13675213675213677,1.0,44.0,0.12535612535612536
5,1500000000000,1.0,24.0,1.0,0.25427350427350426,0.0,0.9583333333333334,0.0,0.06837606837606838,1.0,0.06837606837606838,1.0,0.0,0.0,0.13675213675213677,1.0,43.0,0.1225071225071225
6,1800000000000,1.0,24.0,1.0,0.30804843304843305,0.0,0.9528985507246377,0.0,0.06837606837606838,1.0,0.06837606837606838,1.0,0.0,0.0,0.13675213675213677,1.0,43.0,0.1225071225071225
7,2100000000000,1.0,24.0,1.0,0.2604463437796771,0.0,0.9565217391304348,0.0,0.06837606837606838,1.0,0.06837606837606838,1.0,0.0,0.0,0.13675213675213677,1.0,45.0,0.1282051282051282
8,2400000000000,1.0,24.0,1.0,0.29178537511870845,0.0,0.9510869565217391,0.0,0.06837606837606838,1.0,0.06837606837606838,1.0,0.0,0.0,0.13675213675213677,1.0,44.0,0.12535612535612536
9,2700000000000,1.0,24.0,1.0,0.2594966761633428,0.0,0.9637681159420289,0.0,0.06837606837606838,1.0,0.06837606837606838,1.0,0.0,0.0,0.13675213675213677,1.0,43.0,0.1225071225071225
10,3000000000000,1.0,24.0,1.0,0.31445868945868943,0.0,0.9637681159420289,0.0,0.06837606837606838,1.0,0.06837606837606838,1.0,0.0,0.0,0.13675213675213677,1.0,45.0,0.1282051282051282
