time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.3333333333333333,8.0,0.3333333333333333,0.17818138651471985,0.0,0.39311594202898553,0.0,6.005698005698005,6.0,7.002849002849003,7.0,0.5384615384615384,5.0,13.547008547008547,18.0,351.0,1.0
2,120000000000,0.4166666666666667,10.0,0.4166666666666667,0.3200379867046534,0.0,0.5960144927536232,0.0,7.0085470085470085,7.0,7.0085470085470085,7.0,0.6381766381766382,4.0,14.655270655270655,18.0,351.0,1.0
3,180000000000,0.20833333333333334,5.0,0.20833333333333334,0.14458689458689458,0.0,0.32608695652173914,0.0,3.005698005698006,3.0,4.002849002849003,4.0,0.5413105413105413,4.0,7.54985754985755,11.0,351.0,1.0
4,240000000000,0.5833333333333334,14.0,0.5833333333333334,0.35090218423551756,0.0,0.6902173913043478,0.0,11.008547008547009,11.0,10.01139601139601,10.0,0.7578347578347578,6.0,21.77777777777778,27.0,351.0,1.0
5,300000000000,0.25,6.0,0.25,0.13081671415004748,0.0,0.34782608695652173,0.0,6.0,6.0,6.0,6.0,0.08262108262108261,0.0,12.082621082621083,12.0,351.0,1.0
6,360000000000,0.4166666666666667,10.0,0.4166666666666667,0.32015669515669515,0.0,0.5996376811594203,0.0,6.011396011396012,6.0,6.011396011396012,6.0,0.9629629629629629,5.0,12.985754985754985,17.0,351.0,1.0
7,420000000000,0.3333333333333333,8.0,0.3333333333333333,0.24477682811016144,0.0,0.5090579710144928,0.0,6.005698005698005,6.0,6.005698005698005,6.0,0.28774928774928776,1.0,12.2991452991453,13.0,351.0,1.0
8,480000000000,0.2916666666666667,7.0,0.2916666666666667,0.2543922127255461,0.0,0.43478260869565216,0.0,7.0,7.0,6.002849002849003,6.0,1.0797720797720798,9.0,14.082621082621083,22.0,351.0,1.0
9,540000000000,0.4583333333333333,11.0,0.4583333333333333,0.25866571699905033,0.0,0.5471014492753623,0.0,8.008547008547009,8.0,9.005698005698006,9.0,0.08831908831908832,0.5,17.102564102564102,18.0,351.0,1.0
10,600000000000,0.5,12.0,0.5,0.40384615384615385,0.0,0.6920289855072463,0.0,8.01139601139601,8.0,8.01139601139601,8.0,0.8717948717948718,3.0,16.894586894586894,19.0,351.0,1.0
11,660000000000,0.125,3.0,0.125,0.04249762583095917,0.0,0.17753623188405798,0.0,3.0,3.0,3.0,3.0,0.2564102564102564,2.0,6.256410256410256,8.0,351.0,1.0
12,720000000000,0.3333333333333333,8.0,0.3333333333333333,0.22613960113960113,0.0,0.447463768115942,0.0,6.005698005698005,6.0,6.005698005698005,6.0,1.1054131054131053,8.0,13.116809116809117,20.0,351.0,1.0
13,780000000000,0.375,9.0,0.375,0.20833333333333334,0.0,0.4927536231884058,0.0,7.005698005698005,7.0,8.002849002849002,8.0,0.05413105413105413,0.0,15.062678062678062,15.5,351.0,1.0
14,840000000000,0.4583333333333333,11.0,0.4583333333333333,0.31790123456790126,0.0,0.6086956521739131,0.0,8.008547008547009,8.0,6.014245014245014,6.0,0.9971509971509972,3.0,15.01994301994302,17.0,351.0,1.0
15,900000000000,0.20833333333333334,5.0,0.20833333333333334,0.1502849002849003,0.0,0.3442028985507246,0.0,5.0,5.0,5.0,5.0,0.11965811965811966,1.0,10.11965811965812,11.0,351.0,1.0
16,960000000000,0.4166666666666667,10.0,0.4166666666666667,0.29427825261158597,0.0,0.5217391304347826,0.0,7.0085470085470085,7.0,9.002849002849002,9.0,0.9287749287749287,8.5,16.94017094017094,24.5,351.0,1.0
17,1020000000000,0.2916666666666667,7.0,0.2916666666666667,0.21213200379867048,0.0,0.41847826086956524,0.0,7.0,7.0,6.002849002849003,6.0,0.10826210826210826,1.0,13.11111111111111,14.0,351.0,1.0
18,1080000000000,0.4166666666666667,10.0,0.4166666666666667,0.34140550807217473,0.0,0.5978260869565217,0.0,6.011396011396012,6.0,6.011396011396012,6.0,1.0826210826210827,3.0,13.105413105413106,15.0,351.0,1.0
19,1140000000000,0.16666666666666666,4.0,0.16666666666666666,0.10671889838556506,0.0,0.25,0.0,3.0028490028490027,3.0,4.0,4.0,0.15384615384615385,1.0,7.156695156695156,8.0,351.0,1.0
20,1200000000000,0.2916666666666667,7.0,0.2916666666666667,0.20762108262108261,0.0,0.40398550724637683,0.0,7.0,7.0,6.002849002849003,6.0,0.9971509971509972,7.0,14.0,20.0,351.0,1.0
21,1260000000000,0.375,9.0,0.375,0.21866096866096865,0.0,0.48731884057971014,0.0,6.0085470085470085,6.0,7.005698005698005,7.0,0.05698005698005698,0.0,13.07122507122507,14.0,351.0,1.0
22,1320000000000,0.5416666666666666,13.0,0.5416666666666666,0.3789173789173789,0.0,0.6865942028985508,0.0,11.005698005698006,11.0,9.01139601139601,9.0,0.7977207977207977,2.0,20.814814814814813,22.0,351.0,1.0
23,1380000000000,0.20833333333333334,5.0,0.20833333333333334,0.1103988603988604,0.0,0.302536231884058,0.0,4.002849002849003,4.0,5.0,5.0,0.10826210826210826,1.0,9.11111111111111,10.0,351.0,1.0
24,1440000000000,0.3333333333333333,8.0,0.3333333333333333,0.20975783475783477,0.0,0.37318840579710144,0.0,7.002849002849003,7.0,7.002849002849003,7.0,0.98005698005698,8.5,14.985754985754985,22.5,351.0,1.0
25,1500000000000,0.3333333333333333,8.0,0.3333333333333333,0.25273029439696104,0.0,0.5090579710144928,0.0,7.002849002849003,7.0,8.0,8.0,0.1111111111111111,1.0,15.113960113960115,16.0,351.0,1.0
