time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,129649.53650161624
1,60000000000,24.0,24.0,24.0,24.0,24.0,1584,0.21428571428571427,4.25,1.026445527495071,1.0,1.3333333333333333,552,0.16428668642540728,4.534356466412333,1.0253595871479262,1.001230892769271,1.154681843702397,552,116.80557485669851
2,120000000000,24.0,24.0,24.0,24.0,24.0,1584,0.18181818181818182,5.0,1.0576732614988629,1.0,1.5755555555555525,552,0.19840716166698483,5.0984281373150395,1.0693628123605157,1.024278965506004,1.3163937188325798,552,151.07205230742693
3,180000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,128805.46056199819
4,240000000000,24.0,24.0,24.0,24.0,24.0,1584,0.125,9.0,1.1139211518712788,1.0,1.8902941176470576,552,0.13944404593908882,8.362110538452601,1.0741216810795111,1.0,1.4890906580922756,552,153.6180404946208
5,300000000000,24.0,24.0,24.0,24.0,24.0,1584,0.12195121951219512,8.666666666666666,1.0747457735862844,1.0,1.5714285714285714,552,0.18650989324690131,8.36119047512602,1.0752284459138557,1.013831934869364,1.4125444446825464,552,115.02560880035162
6,360000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,128816.12163595855
7,420000000000,24.0,24.0,24.0,24.0,24.0,1584,0.22727272727272727,7.0,1.0306712369147522,1.0,1.1666666666666667,552,0.2067009621992958,6.048150349919714,1.0344359770038125,1.0002254904697432,1.13266430702702,552,111.68614216148853
8,480000000000,24.0,24.0,24.0,24.0,24.0,1584,0.16666666666666666,8.666666666666666,1.0955534124744262,1.024390243902439,1.9124999999999996,552,0.18866193881898297,8.398418597652494,1.1274062925493116,1.0313791348837664,1.7243439682091193,552,154.41555716097355
9,540000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,129969.38134450465
10,600000000000,24.0,24.0,24.0,24.0,24.0,1584,0.1875,9.666666666666666,1.1477871323489008,1.0,2.5,552,0.15399726866460584,8.737126707980416,1.1327523593631734,1.001296312627061,2.142616366976981,552,146.599642932415
11,660000000000,24.0,24.0,24.0,24.0,24.0,1584,0.22727272727272727,10.0,1.1172512192007515,1.0108695652173914,2.075797101449274,552,0.22790647940230246,9.033308723629897,1.1384811919812012,1.0237331843572535,1.8380643260094627,552,106.11255094408989
12,720000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,128923.86928293854
13,780000000000,24.0,24.0,24.0,24.0,24.0,1584,0.1956521739130435,8.333333333333334,1.0847986561743368,1.0,1.8151315789473585,552,0.30359646322460626,7.749430298366503,1.0804022844568213,1.0025740179881202,1.5114185256522168,552,110.36895867437124
14,840000000000,24.0,24.0,24.0,24.0,24.0,1584,0.10714285714285714,10.0,1.1053978312074753,1.011111111111111,2.0952380952380953,552,0.13598326089358825,9.22378627000089,1.1087568435137303,1.027192148821976,1.8681482306895985,552,147.53746520727873
15,900000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,127889.97348677367
16,960000000000,24.0,24.0,24.0,24.0,24.0,1584,0.10714285714285714,2.0952380952380953,0.9993980670242267,1.0,1.1111111111111112,552,0.12219962529919663,2.45715676535179,1.0096058665582446,1.0,1.0850914780581935,552,105.37722986191511
17,1020000000000,24.0,24.0,24.0,24.0,24.0,1584,0.13636363636363635,6.5,1.0628253344789396,1.0227390180878553,1.75,552,0.14135556688926962,5.683585975702403,1.0811652198628983,1.0307356976025472,1.6232803738862656,552,109.07118115574121
18,1080000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,128634.92843974382
19,1140000000000,24.0,24.0,24.0,24.0,24.0,1584,0.16666666666666666,8.0,1.055085746726573,1.0,1.565217391304348,552,0.15412487540973985,9.291347283491179,1.055102981163151,1.0007475284585658,1.3588648948434943,552,108.1926142796874
20,1200000000000,24.0,24.0,24.0,24.0,24.0,1584,0.125,8.333333333333334,1.062524044993485,1.011111111111111,1.5947463768115924,552,0.1742695394626888,8.068609500264916,1.0783389841748627,1.0279593801440476,1.480582406304701,552,107.97657165676355
21,1260000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,128130.6950841099
22,1320000000000,24.0,24.0,24.0,24.0,24.0,1584,0.1875,8.25,1.0344793811297421,1.0,1.2,552,0.15810367735681094,5.69271598705711,1.0384532748317834,1.0004297942661329,1.1761940900099377,552,111.70165054500103
23,1380000000000,24.0,24.0,24.0,24.0,24.0,1584,0.125,6.6,1.054116217697139,1.0,1.56,552,0.13796520324590636,5.61693782322022,1.0807179589886797,1.0242304832657898,1.4618967638537204,552,157.32067544013262
24,1440000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,127926.4304637909
25,1500000000000,24.0,24.0,24.0,24.0,24.0,1584,0.10810810810810811,5.75,1.033696217935321,1.0,1.3333333333333333,552,0.13630409656206252,5.7180500176537485,1.0451068030616748,1.0055550784303628,1.2205143001856151,552,153.49056199193
26,1560000000000,24.0,24.0,24.0,24.0,24.0,1584,0.13513513513513514,4.8,1.0314687649424497,1.0,1.3880952380952376,529,0.16796594240076873,5.669936622435621,1.0606912065966716,1.0293428199818873,1.3088024126367348,529,111.18428967893124
27,1620000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,128274.78953637183
28,1680000000000,24.0,24.0,24.0,24.0,24.0,1584,0.10714285714285714,6.25,1.0547903088588455,1.0,1.7408333333333321,552,0.12084432490906967,5.8198148884190095,1.043084210274639,1.000025629121705,1.3677240472792376,552,109.6173319965601
29,1740000000000,24.0,24.0,24.0,24.0,24.0,1584,0.10344827586206896,6.5,1.1173225315878852,1.023268398268398,2.2349999999999945,552,0.10932623412985674,6.119369710466472,1.10763183620126,1.027057193663886,1.8164387551887284,552,156.42440877854824
30,1800000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,127844.45234574378
31,1860000000000,24.0,24.0,24.0,24.0,24.0,1584,0.08571428571428572,7.0,1.0642739165576351,1.0,1.5701149425287328,552,0.12568626376205316,7.324452291166272,1.0647133015572634,1.0007942766977975,1.2893604295308647,552,155.4713062942028
32,1920000000000,24.0,24.0,24.0,24.0,24.0,1584,0.125,6.75,1.069393052019912,1.0256410256410255,1.6880952380952348,552,0.16026608611030696,7.3074643156066506,1.085197319808847,1.0239589395952384,1.502147573573178,552,107.8076297417283
33,1980000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,127949.39513504505
