time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,explicit_failover_dynamic_egress_repair_count,explicit_failover_dynamic_egress_repair_rate,explicit_failover_dynamic_egress_unavailable_count,explicit_failover_dynamic_egress_unavailable_rate,compute_time_ms
0,0,4.0,31.0,4.606060606060606,4.0,5.0,1584,0.0,172.0,79.89855072463769,76.0,152.0,552,0.0,616.0,248.8985507246377,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.0405000708997
1,60000000000,4.0,32.0,4.606060606060606,4.0,5.0,1584,0.0,176.0,80.42028985507247,76.0,152.0,552,0.0,632.0,250.85507246376812,232.0,536.0,552,1.0,2.0,1.004026289995099,1.0,1.0,552,0.9999999999999997,1.667102830815913,1.003519552770922,1.0,1.0103705083346086,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.3115942028985507,0.0,0.0,739.4638310652226
2,120000000000,4.0,32.0,4.607954545454546,4.0,5.0,1584,0.0,176.0,80.94927536231884,76.0,152.0,552,0.0,632.0,252.71014492753622,232.0,536.0,552,1.0,2.0,1.0032630262249826,1.0,1.0,552,0.9999999999999996,1.6605637056735023,1.0051503278204037,1.0,1.022971393794767,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.4438405797101449,0.0,0.0,733.6359599139541
3,180000000000,4.0,32.0,4.610479797979798,4.0,6.0,1584,0.0,168.0,80.01449275362319,76.0,152.0,552,0.0,600.0,249.4927536231884,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341.9995619915426
4,240000000000,4.0,31.0,4.607323232323233,4.0,5.849999999999909,1584,0.0,172.0,80.35507246376811,76.0,152.0,552,0.0,616.0,250.7246376811594,232.0,536.0,552,1.0,2.0,1.0063782665456835,1.0,1.0,552,0.9999999999999997,1.6764364174683202,1.005036714607672,1.0,1.017085811102528,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.34057971014492755,0.0,0.0,723.0460240971297
5,300000000000,4.0,32.0,4.611742424242424,4.0,6.0,1584,0.0,176.0,80.8695652173913,76.0,153.79999999999973,552,0.0,632.0,252.65217391304347,232.0,543.1999999999989,552,1.0,2.0,1.0056387087948624,1.0,1.0,552,0.9999999999999996,1.5192028749992263,1.0060532945764753,1.0,1.027222823352395,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.4891304347826087,0.0,0.0,710.9379239846021
6,360000000000,4.0,32.0,4.609217171717172,4.0,5.0,1584,0.0,168.0,79.97101449275362,76.0,152.0,552,0.0,600.0,249.05797101449275,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.9414589125663
7,420000000000,4.0,31.0,4.606060606060606,4.0,5.0,1584,0.0,172.0,80.01449275362319,76.0,152.0,552,0.0,616.0,249.6231884057971,232.0,536.0,552,1.0,1.25,1.0008554750402576,1.0,1.0,552,0.9999999999999997,1.0950865837378763,1.001590609740861,1.0,1.0127461110980058,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.34782608695652173,0.0,0.0,702.9637668747455
8,480000000000,4.0,32.0,4.603535353535354,4.0,5.0,1584,0.0,176.0,80.51449275362319,76.0,153.79999999999973,552,0.0,632.0,251.231884057971,232.0,543.1999999999989,552,1.0,1.5,1.0064770896781394,1.0,1.0,552,0.9999999999999998,1.2659723865609582,1.0066026833448587,1.0,1.0332093296854594,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,0.5054347826086957,0.0,0.0,708.456007996574
9,540000000000,4.0,32.0,4.608585858585859,4.0,5.0,1584,0.0,168.0,79.46376811594203,76.0,152.0,552,0.0,600.0,247.55072463768116,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341.819731052965
10,600000000000,4.0,32.0,4.608585858585859,4.0,5.0,1584,0.0,168.0,79.8913043478261,76.0,152.0,552,0.0,600.0,248.8695652173913,232.0,536.0,552,1.0,1.25,1.003099028588159,1.0,1.0,552,0.9999999999999996,1.1670069026524101,1.002773415879446,1.0,1.0137105948501408,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.3278985507246377,0.0,0.0,712.5448400620371
11,660000000000,4.0,31.0,4.60479797979798,4.0,5.0,1584,0.0,172.0,80.18115942028986,76.0,152.0,552,0.0,616.0,249.8985507246377,232.0,536.0,552,1.0,2.0,1.007792423742329,1.0,1.0,552,0.9999999999999997,1.701766602956215,1.0077823752857535,1.0,1.0273716035693077,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.4891304347826087,0.0,0.0,715.3191328980029
12,720000000000,4.0,32.0,4.602904040404041,4.0,5.0,1584,0.0,168.0,80.05797101449275,80.0,148.0,552,0.0,600.0,249.53623188405797,248.0,520.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0025609564036
13,780000000000,4.0,32.0,4.607954545454546,4.0,6.0,1584,0.0,168.0,79.33333333333333,76.0,152.0,552,0.0,600.0,246.3768115942029,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0362334859665308,1.001689701289145,1.0,1.0133023259604779,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.32608695652173914,0.0,0.0,720.2060320414603
14,840000000000,4.0,32.0,4.611111111111111,4.0,5.849999999999909,1584,0.0,172.0,79.73188405797102,76.0,152.0,552,0.0,616.0,248.4927536231884,232.0,536.0,552,1.0,2.0,1.0056093446216319,1.0,1.0,552,0.9999999999999996,1.7123614439707633,1.0071333470456476,1.0,1.025071497199897,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.5,0.0,0.0,724.1793060675263
