time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,24,24520.241359248757
1,60000000000,24.0,24.0,24.0,24.0,24.0,1584,0.6666666666666666,1.3333333333333333,1.00952380952381,1.0,1.125,21,0.8030446305622977,1.5417268424803956,1.0313310374974116,1.0,1.1517157367682735,21,30.07821086794138
2,120000000000,24.0,24.0,24.0,24.0,24.0,1584,0.8571428571428571,1.6666666666666667,1.0492184640570312,1.032258064516129,1.2857142857142858,21,0.942884516851745,2.0973652221655823,1.114633634299809,1.046705231621436,1.3716746640639468,21,67.15201307088137
3,180000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,30,24441.866883076727
4,240000000000,24.0,24.0,24.0,24.0,24.0,1584,0.875,1.1666666666666667,1.006527471878349,1.0,1.1312499999999999,18,0.9008627483542258,1.2268289718718706,1.018876540276166,1.0,1.1784491532733543,18,30.46579100191593
5,300000000000,24.0,24.0,24.0,24.0,24.0,1584,0.6666666666666666,1.3333333333333333,0.9991970221136887,0.9972222222222222,1.171428571428571,18,0.7823344794186272,1.5148042324310957,1.0420878202992327,1.0125730204184114,1.2696987970643943,18,30.697518028318882
6,360000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,26,24451.109521090984
7,420000000000,24.0,24.0,24.0,24.0,24.0,1584,0.875,1.125,0.9986204142454141,1.0,1.0753846153846154,24,0.9199123359916292,1.1874500178690357,1.0114303988739155,1.0,1.0844431933808714,24,57.5882513076067
8,480000000000,24.0,24.0,24.0,24.0,24.0,1584,0.6666666666666666,1.3333333333333333,1.0503497755377456,1.028174603174603,1.3333333333333333,14,0.8301977832523116,1.5468976188119814,1.1197753931557273,1.0432982951225145,1.5280332030166455,14,30.268889851868153
9,540000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,26,24037.35493309796
10,600000000000,24.0,24.0,24.0,24.0,24.0,1584,0.6666666666666666,1.3333333333333333,1.0047227900169078,1.0,1.1066666666666662,18,0.6957204119193233,1.3796692630986713,1.0172103986420094,1.0,1.137047903616157,18,31.15026094019413
11,660000000000,24.0,24.0,24.0,24.0,24.0,1584,0.6666666666666666,1.3333333333333333,1.0114074712472882,1.0277777777777777,1.1666666666666667,23,0.8696106733928632,1.5521730010684276,1.0685257827443209,1.0451744651265908,1.2424070801392308,23,29.612787067890167
12,720000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,24,24196.857066825032
13,780000000000,24.0,24.0,24.0,24.0,24.0,1584,0.6666666666666666,1.3333333333333333,1.0223268823888019,1.0277992277992278,1.1857142857142857,26,0.7452879720348382,1.442709922595572,1.0403841778205167,1.036122108511623,1.1899454798489573,26,29.295279644429684
14,840000000000,24.0,24.0,24.0,24.0,24.0,1584,0.7142857142857143,1.25,1.042326053228309,1.0666666666666667,1.2,21,0.8279468004659014,1.383419607522971,1.0966538489854596,1.098164080073674,1.2645117193412427,21,55.46833202242851
15,900000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,32,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,32,23988.695241510868
16,960000000000,24.0,24.0,24.0,24.0,24.0,1584,0.6666666666666666,1.3333333333333333,0.9951058177336486,1.0,1.1666666666666667,29,0.7945710666704021,1.485707559393554,1.0177450663084255,1.0,1.194121456407592,29,56.50019459426403
17,1020000000000,24.0,24.0,24.0,24.0,24.0,1584,0.7142857142857143,1.25,1.01946300937529,1.0416666666666667,1.19,27,0.8606946814759465,1.4086228463324104,1.0725337714357646,1.0657041144375468,1.287410529022326,27,31.635554507374763
18,1080000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,36,23954.880728386343
19,1140000000000,24.0,24.0,24.0,24.0,24.0,1584,0.8333333333333334,1.3333333333333333,1.0240438976534196,1.0,1.1666666666666667,27,0.8649792309234691,1.5047644572917742,1.0440486399193742,1.0,1.224879332753626,27,31.298906542360783
20,1200000000000,24.0,24.0,24.0,24.0,24.0,1584,0.8,1.4,1.027845373225808,1.0286650286650287,1.2999999999999998,26,0.901680563610432,1.5775480708222367,1.0772017272356222,1.0453112192731708,1.409272043210696,26,29.963106848299503
21,1260000000000,24.0,24.0,24.0,24.0,24.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,36,24107.42165800184
22,1320000000000,24.0,24.0,24.0,24.0,24.0,1584,0.8333333333333334,1.1666666666666667,1.0107253455608718,1.0,1.1666666666666667,30,0.8899653068075303,1.259495341035631,1.02593493590981,1.0,1.214004001190489,30,29.939758591353893
23,1380000000000,24.0,24.0,24.0,24.0,24.0,1584,0.6666666666666666,1.3333333333333333,1.00641474363294,0.972972972972973,1.276190476190476,27,0.8066755533493738,1.52908751874502,1.0575511464123615,0.9908446876294279,1.3884599442182253,27,58.337246999144554
