time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,4.0,31.0,4.606060606060606,4.0,5.0,1584,0.0,172.0,79.89855072463769,76.0,152.0,552,0.0,616.0,248.8985507246377,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,564.4414536654949
1,60000000000,4.0,32.0,4.606060606060606,4.0,5.0,1584,0.0,172.0,79.80434782608695,76.0,152.0,552,0.0,616.0,248.65217391304347,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,675.9537197649479
2,120000000000,4.0,32.0,4.607954545454546,4.0,5.0,1584,0.0,168.0,80.02898550724638,76.0,152.0,552,0.0,600.0,249.55072463768116,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,619.3000730127096
3,180000000000,4.0,32.0,4.610479797979798,4.0,6.0,1584,0.0,168.0,80.01449275362319,76.0,152.0,552,0.0,600.0,249.4927536231884,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,608.4538511931896
4,240000000000,4.0,31.0,4.607323232323233,4.0,5.849999999999909,1584,0.0,172.0,79.97101449275362,76.0,152.0,552,0.0,616.0,249.18840579710144,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,601.84046626091
5,300000000000,4.0,32.0,4.611742424242424,4.0,6.0,1584,0.0,168.0,79.81159420289855,76.0,149.79999999999973,552,0.0,600.0,248.68115942028984,232.0,527.1999999999989,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,653.7917610257864
6,360000000000,4.0,32.0,4.609217171717172,4.0,5.0,1584,0.0,168.0,79.97101449275362,76.0,152.0,552,0.0,600.0,249.05797101449275,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,610.3185331448913
7,420000000000,4.0,31.0,4.606060606060606,4.0,5.0,1584,0.0,172.0,80.07971014492753,76.0,152.0,552,0.0,616.0,249.4927536231884,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,592.9092345759273
8,480000000000,4.0,32.0,4.603535353535354,4.0,5.0,1584,0.0,172.0,80.15942028985508,76.0,152.0,552,0.0,616.0,250.07246376811594,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,585.7037613168359
9,540000000000,4.0,32.0,4.608585858585859,4.0,5.0,1584,0.0,168.0,79.46376811594203,76.0,152.0,552,0.0,600.0,247.55072463768116,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,649.6318215504289
