time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,2.0,14.0,2.32260101010101,2.0,3.0,1584,0.0,160.0,78.13592233009709,80.0,151.59999999999997,103,0.0,568.0,247.53398058252426,248.0,534.3999999999999,103,1.0,1.0,1.0,1.0,1.0,103,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,103,103.0,103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0705749541521
1,60000000000,2.0,14.0,2.3257575757575757,2.0,3.0,1584,0.0,164.0,77.07407407407408,80.0,150.59999999999997,108,0.0,584.0,243.62962962962962,248.0,530.3999999999999,108,1.0,1.0,1.0,1.0,1.0,108,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,108,108.0,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,168.92541386187077
2,120000000000,2.0,15.0,2.3282828282828283,2.0,3.0,1584,0.0,164.0,77.57798165137615,80.0,152.0,109,0.0,584.0,245.57798165137615,248.0,536.0,109,1.0,1.0,1.0,1.0,1.0,109,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,109,109.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.81350665539503
3,180000000000,2.0,15.0,2.3327020202020203,2.0,4.0,1584,0.0,160.0,78.78571428571429,80.0,149.79999999999995,112,0.0,568.0,250.21428571428572,248.0,527.1999999999998,112,1.0,1.0,1.0,1.0,1.0,112,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,112,112.0,112.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,156.32513258606195
4,240000000000,2.0,14.0,2.330808080808081,2.0,3.849999999999909,1584,0.0,160.0,77.08771929824562,80.0,148.0,114,0.0,568.0,242.66666666666666,248.0,520.0,114,1.0,1.0,1.0,1.0,1.0,114,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,114,114.0,114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,169.70026772469282
5,300000000000,2.0,16.0,2.332070707070707,2.0,4.0,1584,0.0,160.0,77.65137614678899,80.0,150.39999999999998,109,0.0,568.0,245.87155963302752,248.0,529.5999999999999,109,1.0,1.0,1.0,1.0,1.0,109,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,109,109.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,165.99331609904766
6,360000000000,2.0,15.0,2.3295454545454546,2.0,3.0,1584,0.0,160.0,77.13761467889908,72.0,150.39999999999998,109,0.0,568.0,242.4954128440367,216.0,529.5999999999999,109,1.0,1.0,1.0,1.0,1.0,109,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,109,109.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.9971693828702
7,420000000000,2.0,14.0,2.326388888888889,2.0,3.0,1584,0.0,160.0,78.20183486238533,80.0,150.39999999999998,109,0.0,568.0,246.75229357798165,248.0,529.5999999999999,109,1.0,1.0,1.0,1.0,1.0,109,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,109,109.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,164.16702326387167
8,480000000000,2.0,14.0,2.3295454545454546,2.0,3.0,1584,0.0,160.0,76.61016949152543,80.0,148.0,118,0.0,568.0,241.15254237288136,248.0,520.0,118,1.0,1.0,1.0,1.0,1.0,118,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,118,118.0,118.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,153.37174199521542
9,540000000000,2.0,15.0,2.3390151515151514,2.0,3.0,1584,0.0,160.0,77.856,84.0,152.0,125,0.0,568.0,246.912,264.0,536.0,125,1.0,1.0,1.0,1.0,1.0,125,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,125,125.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,166.54300782829523
