time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,4.0,31.0,4.606060606060606,4.0,5.0,1584,0.0,172.0,79.89855072463769,76.0,152.0,552,0.0,616.0,248.8985507246377,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0605305731297
1,60000000000,4.0,32.0,4.606060606060606,4.0,5.0,1584,0.0,176.0,80.42028985507247,76.0,152.0,552,0.0,632.0,250.85507246376812,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,380,0.9999999999999998,1.0034627208830276,1.000276635450631,1.0,1.0019915638979475,380,552.0,380.0,0.6884057971014492,0.0,0.0,0.0,0.0,172.0,0.3115942028985507,164.5100386813283
2,120000000000,4.0,32.0,4.607954545454546,4.0,5.0,1584,0.0,176.0,80.94927536231884,76.0,152.0,552,0.0,632.0,252.71014492753622,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,307,0.9999999999999997,1.0248092067086303,1.0012018130417777,1.0,1.0065714195138329,307,552.0,307.0,0.5561594202898551,0.0,0.0,0.0,0.0,245.0,0.4438405797101449,117.11940448731184
3,180000000000,4.0,32.0,4.610479797979798,4.0,6.0,1584,0.0,168.0,80.01449275362319,76.0,152.0,552,0.0,600.0,249.4927536231884,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,661.6115672513843
4,240000000000,4.0,31.0,4.607323232323233,4.0,5.849999999999909,1584,0.0,172.0,80.35507246376811,76.0,152.0,552,0.0,616.0,250.7246376811594,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,364,0.9999999999999997,1.009267048801942,1.000120628858301,1.0,1.0000000000000002,364,552.0,364.0,0.6594202898550725,0.0,0.0,0.0,0.0,188.0,0.34057971014492755,106.86623770743608
5,300000000000,4.0,32.0,4.611742424242424,4.0,6.0,1584,0.0,176.0,80.8695652173913,76.0,153.79999999999973,552,0.0,632.0,252.65217391304347,232.0,543.1999999999989,552,1.0,1.0,1.0,1.0,1.0,282,0.9999999999999996,1.0175852321746537,1.000598719514192,1.0,1.0025560880374713,282,552.0,282.0,0.5108695652173914,0.0,0.0,0.0,0.0,270.0,0.4891304347826087,115.70506263524294
6,360000000000,4.0,32.0,4.609217171717172,4.0,5.0,1584,0.0,168.0,79.97101449275362,76.0,152.0,552,0.0,600.0,249.05797101449275,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,659.9320480599999
7,420000000000,4.0,31.0,4.606060606060606,4.0,5.0,1584,0.0,172.0,80.01449275362319,76.0,152.0,552,0.0,616.0,249.6231884057971,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,360,0.9999999999999998,1.0177497311557355,1.000204836933829,1.0,1.0002964525694393,360,552.0,360.0,0.6521739130434783,0.0,0.0,0.0,0.0,192.0,0.34782608695652173,107.61713981628418
8,480000000000,4.0,32.0,4.603535353535354,4.0,5.0,1584,0.0,176.0,80.51449275362319,76.0,153.79999999999973,552,0.0,632.0,251.231884057971,232.0,543.1999999999989,552,1.0,1.0,1.0,1.0,1.0,273,0.9999999999999998,1.020449721650416,1.0007475405171433,1.0,1.0037541282908427,273,552.0,273.0,0.4945652173913043,0.0,0.0,0.0,0.0,279.0,0.5054347826086957,104.2955843731761
9,540000000000,4.0,32.0,4.608585858585859,4.0,5.0,1584,0.0,168.0,79.46376811594203,76.0,152.0,552,0.0,600.0,247.55072463768116,232.0,536.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,585.2122539654374
