time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.7916666666666666,19.0,0.7916666666666666,0.0,0.0,0.1105072463768116,0.05615942028985507,0.07575757575757576,0.0,0.07386363636363637,0.0,0.0,0.0,0.14962121212121213,0.0,37.0,0.02335858585858586
2,120000000000,0.75,18.0,0.75,0.0,0.0,0.11956521739130435,0.05615942028985507,0.0707070707070707,0.0,0.06881313131313131,0.0,0.0,0.0,0.13952020202020202,0.0,34.0,0.021464646464646464
3,180000000000,0.875,21.0,0.875,0.019675925925925927,0.007575757575757576,0.14492753623188406,0.04528985507246377,0.08270202020202021,0.0,0.08080808080808081,0.0,0.01452020202020202,0.0,0.17803030303030304,0.0,44.0,0.027777777777777776
4,240000000000,0.8333333333333334,20.0,0.8333333333333334,0.0,0.0,0.14492753623188406,0.06521739130434782,0.09027777777777778,0.0,0.08901515151515152,0.0,0.0,0.0,0.17929292929292928,0.0,40.0,0.025252525252525252
5,300000000000,0.8333333333333334,20.0,0.8333333333333334,0.0,0.0,0.13405797101449277,0.03985507246376811,0.07954545454545454,0.0,0.08333333333333333,0.0,0.0,0.0,0.16287878787878787,0.0,39.0,0.02462121212121212
6,360000000000,0.6666666666666666,16.0,0.6666666666666666,0.020017887205387205,0.003787878787878788,0.09420289855072464,0.05615942028985507,0.06376262626262626,0.0,0.06313131313131314,0.0,0.025252525252525252,0.0,0.15214646464646464,0.0,39.0,0.02462121212121212
7,420000000000,0.75,18.0,0.75,0.0,0.0,0.13949275362318841,0.030797101449275364,0.07954545454545454,0.0,0.07891414141414141,0.0,0.0,0.0,0.15845959595959597,0.0,36.0,0.022727272727272728
8,480000000000,0.9583333333333334,23.0,0.9583333333333334,0.0,0.0,0.1431159420289855,0.08514492753623189,0.09911616161616162,0.0,0.0946969696969697,0.0,0.0,0.0,0.19381313131313133,0.0,45.0,0.028409090909090908
9,540000000000,0.7916666666666666,19.0,0.7916666666666666,0.019623316498316497,0.003787878787878788,0.14492753623188406,0.03260869565217391,0.0845959595959596,0.0,0.07954545454545454,0.0,0.017676767676767676,0.0,0.18181818181818182,0.0,42.0,0.026515151515151516
10,600000000000,0.8333333333333334,20.0,0.8333333333333334,0.0,0.0,0.10144927536231885,0.13043478260869565,0.08270202020202021,0.0,0.08901515151515152,0.0,0.0,0.0,0.1717171717171717,0.0,39.0,0.02462121212121212
11,660000000000,0.7916666666666666,19.0,0.7916666666666666,0.0,0.0,0.1539855072463768,0.03804347826086957,0.09154040404040405,0.0,0.08585858585858586,0.0,0.0,0.0,0.1773989898989899,0.0,38.0,0.023989898989898988
