time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,12218.718873336911
1,60000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,12080.761057324708
2,120000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,11985.720454715192
3,180000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,11831.589166074991
4,240000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,12332.139730453491
5,300000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,12066.705792210996
6,360000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,12257.852395996451
7,420000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,11501.65849737823
8,480000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,11561.93192768842
9,540000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,12187.454668805003
10,600000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,11756.908187642694
11,660000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,11882.763006724417
12,720000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,12091.67407732457
13,780000000000,1584.0,1584.0,1584.0,1584.0,1584.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,11916.894775815308
