time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,4.0,8.0,4.242424242424242,4.0,5.0,1584,1.0,5.3076923076923075,1.2401753070766464,1.0,2.5555555555555554,552,0.9999999999999997,4.19308176238587,1.3083966805357174,1.1140467897396031,2.399827564318474,552,5341.095166280866
1,60000000000,4.0,8.0,4.242424242424242,4.0,5.0,1584,1.0,5.3076923076923075,1.254342477683255,1.0,2.6,552,0.9999999999999998,4.178578309863016,1.3177180587886739,1.1174621836903373,2.406686044973026,552,5164.80998788029
2,120000000000,4.0,8.0,4.244318181818182,4.0,5.0,1584,1.0,5.3076923076923075,1.252700045834778,1.0,2.652173913043478,552,0.9999999999999997,4.165328428469106,1.3310918150993927,1.1218154119645407,2.5050037709707524,552,5167.4797823652625
3,180000000000,4.0,8.0,4.246843434343434,4.0,5.0,1584,1.0,5.5,1.2413329880546415,1.0,2.6043478260869506,552,0.9999999999999998,5.006612888996532,1.3195170475094453,1.1172661110280635,2.5019215763619354,552,5165.523638017476
4,240000000000,4.0,8.0,4.2436868686868685,4.0,5.0,1584,1.0,4.714285714285714,1.1758357125627057,1.0,2.011458333333327,552,0.9999999999999997,4.1957361736334295,1.2807674317850821,1.1091594904736213,2.2971381705622034,552,5010.712970979512
5,300000000000,4.0,8.0,4.2481060606060606,4.0,5.0,1584,1.0,4.733333333333333,1.231138867606085,1.0,2.271164021164019,552,0.9999999999999998,4.380012840860484,1.3402266482583673,1.1176125654475906,2.4414074521609743,552,4977.7235286310315
6,360000000000,4.0,8.0,4.245580808080808,4.0,5.0,1584,1.0,4.733333333333333,1.2167195573194285,1.0,2.3846153846153846,552,0.9999999999999998,4.170353987918076,1.3279311788854202,1.1152695766831915,2.563165517790145,552,5147.06049580127
7,420000000000,4.0,8.0,4.242424242424242,4.0,5.0,1584,1.0,4.733333333333333,1.2457355460522614,1.0,2.524999999999996,552,0.9999999999999997,4.235854361395156,1.3442985535571068,1.113877631659057,2.561342580847236,552,5108.98329410702
8,480000000000,4.0,8.0,4.23989898989899,4.0,5.0,1584,1.0,5.666666666666667,1.2485378451574747,1.0,2.2752380952380937,552,0.9999999999999999,4.791379327677162,1.321771727783466,1.1089716502070255,2.368474158652324,552,4872.509917244315
9,540000000000,4.0,8.0,4.244949494949495,4.0,5.0,1584,1.0,5.666666666666667,1.2485159435515727,1.0,2.3192307692307677,552,0.9999999999999998,4.772388614679421,1.3272142227961217,1.1085230019067518,2.3862233199706973,552,4772.129794582725
10,600000000000,4.0,8.0,4.244949494949495,4.0,5.0,1584,1.0,4.5,1.2888277654022502,1.0,2.7086956521739043,552,0.9999999999999997,4.144055015531433,1.368624507755673,1.108554860973139,2.7109648184603308,552,5084.344701841474
11,660000000000,4.0,8.0,4.241161616161616,4.0,5.0,1584,1.0,5.666666666666667,1.252257961832823,1.0,2.4788461538461513,552,0.9999999999999998,4.791070378702957,1.3207398470690515,1.095494175234764,2.609878146420134,552,4978.8466757163405
12,720000000000,4.0,8.0,4.2392676767676765,4.0,5.0,1584,1.0,5.666666666666667,1.2585128565594264,1.0,2.2469230769230744,552,0.9999999999999997,4.794086777827114,1.3379472429657082,1.1064293751428127,2.506613830272928,552,4852.885417640209
13,780000000000,4.0,8.0,4.244318181818182,4.0,5.0,1584,1.0,4.333333333333333,1.205841615671535,1.0,2.2435897435897414,552,0.9999999999999996,4.044999580373312,1.3068035625788783,1.104617983615071,2.384524935878637,552,5047.971032559872
14,840000000000,4.0,8.0,4.247474747474747,4.0,5.0,1584,1.0,3.5714285714285716,1.2619058130550194,1.0,2.4615384615384617,552,0.9999999999999997,4.161936470781269,1.3620095257553981,1.1065896228315006,2.631214245946913,552,5045.156395062804
15,900000000000,4.0,8.0,4.241161616161616,4.0,5.0,1584,1.0,4.0,1.258039092331815,1.0,2.5089999999999986,552,0.9999999999999998,4.037785879523062,1.3374468775640993,1.0975980957962652,2.518328461904978,552,4963.428875431418
16,960000000000,4.0,8.0,4.23989898989899,4.0,5.0,1584,1.0,6.090909090909091,1.343717660189052,1.0,2.866999999999996,552,0.9999999999999998,5.931171686265511,1.4206914460338451,1.1250539445928673,2.7890180603339707,552,4942.548676393926
17,1020000000000,4.0,8.0,4.241792929292929,4.0,5.0,1584,1.0,6.090909090909091,1.4199227874084381,1.0,3.0,552,0.9999999999999997,5.939751305215037,1.5110659129513646,1.1528891219065134,3.0025088984164205,552,5023.84019177407
18,1080000000000,4.0,8.0,4.2436868686868685,4.0,5.0,1584,1.0,4.846153846153846,1.410806906209042,1.0,2.947619047619041,552,0.9999999999999997,4.899347575077228,1.5009467061033996,1.1533211405738846,2.990754178139556,552,5019.567724317312
19,1140000000000,4.0,8.0,4.241792929292929,4.0,5.0,1584,1.0,4.25,1.3487733259528485,1.0,2.9,552,0.9999999999999998,4.300276566462717,1.4273922095252667,1.1340437251816267,2.781177971046243,552,4913.010189309716
20,1200000000000,4.0,8.0,4.241161616161616,4.0,5.0,1584,1.0,6.090909090909091,1.438535795332332,1.0,3.0,552,0.9999999999999997,5.952184702204146,1.5289348872182047,1.1623930727261813,3.0189722007031787,552,4869.053155183792
21,1260000000000,4.0,8.0,4.241792929292929,4.0,5.0,1584,1.0,6.090909090909091,1.4086630097880908,1.0,3.0,552,0.9999999999999998,5.943049128565406,1.502813313132631,1.1483417631366533,3.004563798003464,552,5010.4145761579275
22,1320000000000,4.0,8.0,4.241161616161616,4.0,5.0,1584,1.0,5.125,1.445366903891943,1.0,3.0,552,0.9999999999999998,5.236038240106012,1.5339818689845839,1.1755949608417924,3.0182344353367814,552,4879.370383918285
23,1380000000000,4.0,8.0,4.243055555555555,4.0,5.0,1584,1.0,5.125,1.4333218575446565,1.0,3.0833333333333335,552,0.9999999999999997,5.249457537474204,1.5263114133758617,1.1467730277880905,3.195665654593839,552,4856.236360035837
24,1440000000000,4.0,8.0,4.238636363636363,4.0,5.0,1584,1.0,6.090909090909091,1.4676744386731946,1.0,3.1,552,0.9999999999999997,6.336219770590133,1.5675678590657354,1.1485694387596355,3.2050976507564384,552,4824.603507295251
25,1500000000000,4.0,8.0,4.241792929292929,4.0,5.0,1584,1.0,6.538461538461538,1.493931812282625,1.0,3.0869565217391304,552,0.9999999999999996,6.886191455669089,1.5908903799298515,1.1726540206734652,3.4204890379599644,552,4901.314778253436
26,1560000000000,4.0,8.0,4.244318181818182,4.0,5.0,1584,1.0,6.538461538461538,1.545743709359566,1.048896839594514,3.4545454545454546,552,0.9999999999999998,6.891420429215494,1.617197927444724,1.1858882248228308,3.4366390241889477,552,4900.97760874778
27,1620000000000,4.0,8.0,4.241792929292929,4.0,5.0,1584,1.0,6.090909090909091,1.5766746948168406,1.0469176213857065,3.499999999999993,552,0.9999999999999996,6.550577103477825,1.6681239124631613,1.1780568492363481,3.6988507004267728,552,4784.972671419382
28,1680000000000,4.0,8.0,4.235479797979798,4.0,5.0,1584,1.0,5.333333333333333,1.4751621217713662,1.0,3.0849637681159416,552,0.9999999999999997,5.441526325034807,1.574649604043126,1.147684733942569,3.2056789563517385,552,4782.432365231216
29,1740000000000,4.0,8.0,4.240530303030303,4.0,5.0,1584,1.0,5.333333333333333,1.4159063296106906,1.0,2.92,552,0.9999999999999996,5.396982509376504,1.5090830105808972,1.1445627788211612,3.00420204747521,552,4769.855299033225
30,1800000000000,4.0,8.0,4.244949494949495,4.0,5.0,1584,1.0,6.538461538461538,1.5689904356890612,1.0851063829787233,3.4489898989898986,552,0.9999999999999997,6.877312221667663,1.6638471720561456,1.1886052358368864,3.5036246758361633,552,4694.541843608022
31,1860000000000,4.0,8.0,4.236742424242424,4.0,5.0,1584,1.0,6.0,1.5076565391108718,1.0,3.2222222222222223,552,0.9999999999999997,6.536265258782672,1.5935267521018095,1.1477972326302246,3.346791186465131,552,4622.896019369364
32,1920000000000,4.0,8.0,4.23989898989899,4.0,5.0,1584,1.0,6.090909090909091,1.454237731104511,1.0,3.0,552,0.9999999999999998,5.863538836934055,1.5621914429220012,1.1235608101300198,3.206492094910577,552,4704.692242667079
33,1980000000000,4.0,8.0,4.236742424242424,4.0,5.0,1584,1.0,5.333333333333333,1.3776645361321591,1.0,2.8,552,0.9999999999999997,6.040406225476554,1.4654817204458042,1.1180407423461052,2.895431999138712,552,4643.355389125645
34,2040000000000,4.0,8.0,4.23989898989899,4.0,5.0,1584,1.0,6.0,1.5061122907895201,1.0,3.285583524027456,552,0.9999999999999997,6.547674860752914,1.6094330628048985,1.1292275415313866,3.4363875013195466,552,4665.517705492675
35,2100000000000,4.0,8.0,4.236742424242424,4.0,5.0,1584,1.0,5.0,1.2701442370736065,1.0,2.4814814814814814,552,0.9999999999999998,4.924169588991579,1.3575033080933143,1.1008773517807504,2.6192724395553233,552,4652.949319221079
36,2160000000000,4.0,8.0,4.23989898989899,4.0,5.0,1584,1.0,5.666666666666667,1.3394213734417748,1.0,2.783076923076921,552,0.9999999999999998,5.448597005409501,1.4638086319399923,1.1183908352210485,3.1108948270174217,552,4878.266387619078
37,2220000000000,4.0,8.0,4.2392676767676765,4.0,5.0,1584,1.0,4.571428571428571,1.2622002062595996,1.0,2.5,552,0.9999999999999996,5.232628121897931,1.3628773326969394,1.104915645640177,2.6779043152296373,552,4697.148675099015
38,2280000000000,4.0,8.0,4.2392676767676765,4.0,5.0,1584,1.0,4.066666666666666,1.233527602989887,1.0,2.4238380809595137,552,0.9999999999999997,6.381687722150419,1.351032315300586,1.109620823940973,2.6097609928098597,552,4760.647383518517
39,2340000000000,4.0,8.0,4.2392676767676765,4.0,5.0,1584,1.0,5.0,1.234751333222163,1.0,2.391304347826087,552,0.9999999999999997,4.91228151767671,1.323334582424243,1.100727517875697,2.378864776554354,552,4686.452782712877
40,2400000000000,4.0,8.0,4.243055555555555,4.0,5.0,1584,1.0,5.153846153846154,1.3154467017260685,1.0,2.6133333333333315,552,0.9999999999999998,6.50846507218218,1.4595319252351031,1.1183897088455024,2.9287005506871213,552,4800.166072323918
41,2460000000000,4.0,8.0,4.241161616161616,4.0,5.0,1584,1.0,4.846153846153846,1.3914256779006124,1.0,3.0374999999999943,552,0.9999999999999997,6.525769592866063,1.5543587357448516,1.1382811706674607,3.327942869407613,552,4887.596690095961
42,2520000000000,4.0,8.0,4.2392676767676765,4.0,5.0,1584,1.0,4.846153846153846,1.3289929106129996,1.0,2.6,552,0.9999999999999998,6.104419555882914,1.495708459560522,1.1321563658666163,3.305875342702624,552,4853.306182660162
43,2580000000000,4.0,8.0,4.2436868686868685,4.0,5.0,1584,1.0,4.157894736842105,1.2468014387808637,1.0,2.4782608695652173,552,0.9999999999999998,6.494966988860347,1.3633937344868823,1.1033401460714052,2.676640411177879,552,4647.5084545090795
44,2640000000000,4.0,8.0,4.241792929292929,4.0,5.0,1584,1.0,4.846153846153846,1.315700197326292,1.0,2.6326599326599323,552,0.9999999999999997,6.570408553631164,1.4805117477786793,1.1261746411950648,3.2811956221945797,552,4805.501952767372
45,2700000000000,4.0,8.0,4.23989898989899,4.0,5.0,1584,1.0,4.846153846153846,1.2579403473447095,1.0,2.5833333333333335,552,0.9999999999999998,6.5602524873436945,1.4183246369457847,1.1003687739526553,3.267617305362882,552,4790.038010105491
46,2760000000000,4.0,8.0,4.236111111111111,4.0,5.0,1584,1.0,4.846153846153846,1.264566200933367,1.0,2.5484999999999958,552,0.9999999999999996,6.14796914309288,1.4111217067635513,1.102720024909448,3.1831990877363574,552,4765.8135099336505
47,2820000000000,4.0,8.0,4.243055555555555,4.0,5.0,1584,1.0,4.846153846153846,1.2398755675524307,1.0,2.4095384615384576,552,0.9999999999999998,6.564317772595033,1.3886945306038847,1.1071637299480739,2.888249132530525,552,4798.847300931811
