time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.3333333333333333,8.0,0.3333333333333333,0.02955840455840456,0.0,0.3351449275362319,0.0,0.022792022792022793,0.0,0.022792022792022793,0.0,0.0,0.0,0.045584045584045586,0.0,14.0,0.039886039886039885
2,120000000000,0.4166666666666667,10.0,0.4166666666666667,0.029320987654320986,0.0,0.42391304347826086,0.0,0.02849002849002849,0.0,0.02849002849002849,0.0,0.0,0.0,0.05698005698005698,0.0,16.0,0.045584045584045586
3,180000000000,0.20833333333333334,5.0,0.20833333333333334,0.02849002849002849,0.0,0.22644927536231885,0.0,0.014245014245014245,0.0,0.014245014245014245,0.0,0.0,0.0,0.02849002849002849,0.0,10.0,0.02849002849002849
4,240000000000,0.5833333333333334,14.0,0.5833333333333334,0.021961063627730294,0.0,0.5742753623188406,0.0,0.039886039886039885,0.0,0.039886039886039885,0.0,0.0,0.0,0.07977207977207977,1.0,23.0,0.06552706552706553
5,300000000000,0.25,6.0,0.25,0.03323836657169991,0.0,0.26992753623188404,0.0,0.017094017094017096,0.0,0.017094017094017096,0.0,0.0,0.0,0.03418803418803419,0.0,12.0,0.03418803418803419
6,360000000000,0.4166666666666667,10.0,0.4166666666666667,0.03027065527065527,0.0,0.4076086956521739,0.0,0.02849002849002849,0.0,0.02849002849002849,0.0,0.0,0.0,0.05698005698005698,0.0,16.0,0.045584045584045586
7,420000000000,0.3333333333333333,8.0,0.3333333333333333,0.03027065527065527,0.0,0.3496376811594203,0.0,0.022792022792022793,0.0,0.022792022792022793,0.0,0.0,0.0,0.045584045584045586,0.0,15.0,0.042735042735042736
8,480000000000,0.2916666666666667,7.0,0.2916666666666667,0.0340693257359924,0.0,0.3079710144927536,0.0,0.019943019943019943,0.0,0.019943019943019943,0.0,0.0,0.0,0.039886039886039885,0.0,14.0,0.039886039886039885
9,540000000000,0.4583333333333333,11.0,0.4583333333333333,0.02647198480531814,0.0,0.4528985507246377,0.0,0.03133903133903134,0.0,0.03133903133903134,0.0,0.0,0.0,0.06267806267806268,1.0,20.0,0.05698005698005698
10,600000000000,0.5,12.0,0.5,0.02872744539411206,0.0,0.49818840579710144,0.0,0.03418803418803419,0.0,0.03418803418803419,0.0,0.0,0.0,0.06837606837606838,0.5,18.0,0.05128205128205128
11,660000000000,0.125,3.0,0.125,0.03181386514719848,0.0,0.15579710144927536,0.0,0.008547008547008548,0.0,0.008547008547008548,0.0,0.0,0.0,0.017094017094017096,0.0,6.0,0.017094017094017096
