time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,24.0,24.0,24.0,24.0,24.0,351,1.0,1.0526315789473684,1.0003632269078495,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,84.05580651015043
1,60000000000,24.0,24.0,24.0,24.0,24.0,351,0.16666666666666666,8.5,1.116250784121628,1.0,2.0,552,0.14582586540688877,15.052808927598392,1.1543010298404484,1.0,1.8935723775572948,552,21.00521605461836
2,120000000000,24.0,24.0,24.0,24.0,24.0,351,0.11764705882352941,8.5,1.1942705321539535,1.0,2.908333333333322,552,0.0719689885516365,14.915482296049943,1.250980218800483,1.0,2.938672930451935,552,20.882604643702507
3,180000000000,24.0,24.0,24.0,24.0,24.0,351,1.0,1.05,1.0003536922015184,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,106.86589684337378
4,240000000000,24.0,24.0,24.0,24.0,24.0,351,0.1111111111111111,9.5,1.1461834369150714,1.0,2.3991071428571393,552,0.0576585324098155,15.587247388392822,1.1979133052778574,1.0,2.3435854258995703,552,20.627192221581936
5,300000000000,24.0,24.0,24.0,24.0,24.0,351,0.1111111111111111,9.5,1.2233842996376227,1.0,3.0749999999999886,552,0.06401956987761352,16.561460694291544,1.3092163991168586,1.0,3.355024990364118,552,19.78598814457655
6,360000000000,24.0,24.0,24.0,24.0,24.0,351,1.0,1.0476190476190477,1.0001725327812283,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,80.0712089985609
7,420000000000,24.0,24.0,24.0,24.0,24.0,351,0.10526315789473684,9.5,1.097292017154423,1.0,1.881249999999999,552,0.0731590590979102,16.958071122832415,1.113612678577485,1.0,1.7756480503039824,552,20.235486328601837
8,480000000000,24.0,24.0,24.0,24.0,24.0,351,0.10526315789473684,9.5,1.2078426088330263,1.0,3.0749999999999886,552,0.07329724003463316,16.33109108978489,1.242301003794309,1.0,3.3241853670563777,552,19.868825562298298
9,540000000000,24.0,24.0,24.0,24.0,24.0,351,1.0,1.0526315789473684,1.000190694126621,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,83.20069964975119
10,600000000000,24.0,24.0,24.0,24.0,24.0,351,0.11764705882352941,8.5,1.2180590758648455,1.0,2.6666666666666665,552,0.06611454385875457,15.484610599876346,1.2979946952748422,1.0,2.7285464682865688,552,49.73309487104416
11,660000000000,24.0,24.0,24.0,24.0,24.0,351,0.11764705882352941,8.5,1.2062168660192454,1.0,2.6880952380952348,552,0.0657854477100428,16.828394300847645,1.3155584224180132,1.0,2.8466240756031445,552,20.43181750923395
