time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,explicit_failover_dynamic_egress_repair_count,explicit_failover_dynamic_egress_repair_rate,explicit_failover_dynamic_egress_unavailable_count,explicit_failover_dynamic_egress_unavailable_rate,compute_time_ms
0,0,4.0,32.0,6.094017094017094,4.0,29.0,351,0.0,64.0,39.905797101449274,40.0,56.0,552,0.0,184.0,90.7536231884058,88.0,152.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.28760395757854
1,60000000000,4.0,33.0,6.028490028490029,4.0,29.0,351,0.0,64.0,39.7536231884058,40.0,56.0,552,0.0,184.0,90.27536231884058,88.0,152.0,552,1.0,1.0909090909090908,1.0001646903820818,1.0,1.0,552,0.9999999999999997,1.1321865730959904,1.0011419657633436,1.0,1.00305394883403,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.11231884057971014,0.0,0.0,123.9406680688262
2,120000000000,4.0,32.0,6.022792022792022,4.0,29.0,351,0.0,64.0,39.869565217391305,40.0,56.0,552,0.0,184.0,90.47826086956522,88.0,152.0,552,1.0,1.1111111111111112,1.0003659786268482,1.0,1.0,552,0.9999999999999996,1.1550359886991475,1.0029124645183751,1.0,1.0192680417874358,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.266304347826087,0.0,0.0,123.95293801091611
3,180000000000,4.0,33.0,5.954415954415954,4.0,29.0,351,0.0,68.0,39.833333333333336,40.0,56.0,552,0.0,200.0,90.98550724637681,88.0,152.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.11825199984014
4,240000000000,4.0,32.0,6.017094017094017,4.0,29.0,351,0.0,64.0,40.03623188405797,40.0,56.0,552,0.0,184.0,91.92753623188406,88.0,152.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0351201867299173,1.0006765274030467,1.0,1.0001671311424505,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.08514492753623189,0.0,0.0,164.52910983934999
5,300000000000,4.0,32.0,6.022792022792022,4.0,29.0,351,0.0,64.0,40.15942028985507,40.0,56.0,552,0.0,184.0,92.02898550724638,88.0,152.0,552,1.0,1.125,1.0004528985507246,1.0,1.0,552,0.9999999999999997,1.143179329952089,1.0030136836817436,1.0,1.0163308660736536,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.2246376811594203,0.0,0.0,124.18344710022211
6,360000000000,4.0,32.0,6.017094017094017,4.0,29.0,351,0.0,64.0,40.18840579710145,44.0,56.0,552,0.0,184.0,92.14492753623189,104.0,152.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.79305609501898
7,420000000000,4.0,33.0,6.042735042735043,4.0,29.0,351,0.0,64.0,40.10144927536232,44.0,56.0,552,0.0,184.0,91.79710144927536,104.0,152.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0692504829737028,1.0005646159247845,1.0,1.0000000000000002,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.08333333333333333,0.0,0.0,123.35639703087509
8,480000000000,4.0,33.0,6.0997150997151,4.0,29.0,351,0.0,64.0,40.27536231884058,44.0,56.0,552,0.0,184.0,92.23188405797102,104.0,152.0,552,1.0,1.2222222222222223,1.0007319572536963,1.0,1.0,552,0.9999999999999997,1.2568958298943889,1.0024647640671518,1.0,1.0147581923339504,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.20652173913043478,0.0,0.0,160.9926640521735
9,540000000000,4.0,33.0,6.028490028490029,4.0,29.0,351,0.0,64.0,39.44202898550725,40.0,56.0,552,0.0,184.0,89.68115942028986,88.0,152.0,552,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.92357294261456
