time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,explicit_failover_dynamic_egress_repair_count,explicit_failover_dynamic_egress_repair_rate,explicit_failover_dynamic_egress_unavailable_count,explicit_failover_dynamic_egress_unavailable_rate,compute_time_ms
0,0,2.0,14.0,2.9316239316239314,2.0,7.5,351,0.0,44.0,26.88888888888889,28.0,44.0,126,0.0,104.0,49.26984126984127,40.0,104.0,126,1.0,1.0,1.0,1.0,1.0,126,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,126,126.0,126.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.32199081405997
1,60000000000,2.0,14.0,2.948717948717949,2.0,9.5,351,0.0,44.0,27.120567375886523,28.0,44.0,141,0.0,104.0,49.248226950354606,40.0,104.0,141,1.0,2.0,1.0183823529411764,1.0,1.0,136,0.9999999999999998,3.2410635654445668,1.035477549544149,1.0,1.0,136,141.0,136.0,0.9645390070921985,0.0,0.0,0.0,0.0,5.0,0.03546099290780142,5.0,0.03546099290780142,5.0,0.03546099290780142,33.14713202416897
2,120000000000,2.0,13.0,2.925925925925926,2.0,9.0,351,0.0,44.0,27.053435114503817,28.0,44.0,131,0.0,104.0,48.85496183206107,40.0,104.0,131,1.0,2.0,1.036,1.0,1.0,125,0.9999999999999998,3.4134176739355993,1.0726333419019511,1.0,1.0000000000000002,125,131.0,125.0,0.9541984732824428,0.0,0.0,0.0,0.0,6.0,0.04580152671755725,23.0,0.17557251908396945,6.0,0.04580152671755725,56.4556319732219
3,180000000000,2.0,15.0,2.908831908831909,2.0,8.5,351,0.0,44.0,26.015037593984964,28.0,44.0,133,0.0,104.0,47.21804511278196,40.0,104.0,133,1.0,1.0,1.0,1.0,1.0,133,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,133,133.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5654589291662
4,240000000000,2.0,15.0,2.8945868945868947,2.0,8.0,351,0.0,44.0,25.61904761904762,28.0,44.0,126,0.0,104.0,47.04761904761905,40.0,104.0,126,1.0,1.0,1.0,1.0,1.0,121,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,121,126.0,121.0,0.9603174603174603,0.0,0.0,0.0,0.0,5.0,0.03968253968253968,2.0,0.015873015873015872,5.0,0.03968253968253968,30.56472376920283
5,300000000000,2.0,15.0,2.8974358974358974,2.0,8.5,351,0.0,44.0,26.56,32.0,44.0,125,0.0,104.0,49.216,56.0,104.0,125,1.0,2.0,1.039102564102564,1.0,1.4,117,0.9999999999999999,2.958039939134572,1.0593854457822771,1.0,1.5035899511160353,117,125.0,117.0,0.936,0.0,0.0,0.0,0.0,8.0,0.064,13.0,0.104,8.0,0.064,28.135333908721805
6,360000000000,2.0,15.0,2.866096866096866,2.0,8.0,351,0.0,44.0,25.894736842105264,28.0,44.0,114,0.0,104.0,48.0,40.0,104.0,114,1.0,1.0,1.0,1.0,1.0,114,1.0,1.0000000000000002,1.0,1.0,1.0,114,114.0,114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.20876494422555
7,420000000000,2.0,14.0,2.905982905982906,2.0,8.0,351,0.0,44.0,25.983193277310924,28.0,44.0,119,0.0,104.0,47.66386554621849,40.0,104.0,119,1.0,1.0,1.0,1.0,1.0,116,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,116,119.0,116.0,0.9747899159663865,0.0,0.0,0.0,0.0,3.0,0.025210084033613446,2.0,0.01680672268907563,3.0,0.025210084033613446,30.12364008463919
8,480000000000,2.0,14.0,2.923076923076923,2.0,8.0,351,0.0,44.0,26.666666666666668,28.0,44.0,123,0.0,104.0,48.71544715447155,40.0,104.0,123,1.0,1.6666666666666667,1.0148305084745763,1.0,1.0,118,0.9999999999999998,2.0334890332206323,1.0205566739427017,1.0,1.0,118,123.0,118.0,0.959349593495935,0.0,0.0,0.0,0.0,5.0,0.04065040650406504,11.0,0.08943089430894309,5.0,0.04065040650406504,30.311149079352617
9,540000000000,2.0,15.0,2.96011396011396,2.0,10.0,351,0.0,44.0,26.344827586206897,32.0,44.0,145,0.0,104.0,48.275862068965516,56.0,104.0,145,1.0,1.0,1.0,1.0,1.0,145,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,145,145.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.28540294617414
10,600000000000,2.0,15.0,2.92022792022792,2.0,8.5,351,0.0,44.0,26.07751937984496,28.0,44.0,129,0.0,104.0,47.37984496124031,40.0,104.0,129,1.0,1.125,1.001,1.0,1.0,125,0.9999999999999998,1.1453823004826766,1.0011630584038615,1.0,1.0,125,129.0,125.0,0.9689922480620154,0.0,0.0,0.0,0.0,4.0,0.031007751937984496,13.0,0.10077519379844961,4.0,0.031007751937984496,30.024962965399027
