time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,2.0,14.0,2.9316239316239314,2.0,7.5,351,0.0,44.0,26.88888888888889,28.0,44.0,126,0.0,104.0,49.26984126984127,40.0,104.0,126,1.0,1.0,1.0,1.0,1.0,126,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,126,126.0,126.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.66386479884386
1,60000000000,2.0,14.0,2.9544159544159543,2.0,9.5,351,0.0,44.0,26.06993006993007,28.0,44.0,143,0.0,104.0,46.88111888111888,40.0,104.0,143,1.0,1.0,1.0,1.0,1.0,143,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,143,143.0,143.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.217559352517128
2,120000000000,2.0,14.0,2.9287749287749287,2.0,9.0,351,0.0,44.0,26.259541984732824,28.0,44.0,131,0.0,104.0,46.778625954198475,40.0,104.0,131,1.0,1.0,1.0,1.0,1.0,131,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,131,131.0,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.80228375643492
3,180000000000,2.0,15.0,2.908831908831909,2.0,8.5,351,0.0,44.0,26.015037593984964,28.0,44.0,133,0.0,104.0,47.21804511278196,40.0,104.0,133,1.0,1.0,1.0,1.0,1.0,133,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,133,133.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.43329431116581
4,240000000000,2.0,14.0,2.888888888888889,2.0,8.0,351,0.0,44.0,25.311475409836067,28.0,44.0,122,0.0,104.0,46.36065573770492,40.0,104.0,122,1.0,1.0,1.0,1.0,1.0,122,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,122,122.0,122.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.31333065032959
5,300000000000,2.0,15.0,2.8917378917378915,2.0,8.0,351,0.0,44.0,26.471544715447155,32.0,44.0,123,0.0,104.0,49.10569105691057,56.0,104.0,123,1.0,1.0,1.0,1.0,1.0,123,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,123,123.0,123.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.930215276777744
6,360000000000,2.0,15.0,2.866096866096866,2.0,8.0,351,0.0,44.0,25.894736842105264,28.0,44.0,114,0.0,104.0,48.0,40.0,104.0,114,1.0,1.0,1.0,1.0,1.0,114,1.0,1.0000000000000002,1.0,1.0,1.0,114,114.0,114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.641521111130714
7,420000000000,2.0,14.0,2.908831908831909,2.0,8.0,351,0.0,44.0,25.6,28.0,44.0,120,0.0,104.0,46.6,40.0,104.0,120,1.0,1.0,1.0,1.0,1.0,120,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,120,120.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.073179371654987
8,480000000000,2.0,14.0,2.9287749287749287,2.0,7.5,351,0.0,44.0,26.112,28.0,44.0,125,0.0,104.0,48.0,40.0,104.0,125,1.0,1.0,1.0,1.0,1.0,125,0.9999999999999998,1.0,1.0,1.0,1.0,125,125.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.73329270631075
9,540000000000,2.0,15.0,2.96011396011396,2.0,10.0,351,0.0,44.0,26.344827586206897,32.0,44.0,145,0.0,104.0,48.275862068965516,56.0,104.0,145,1.0,1.0,1.0,1.0,1.0,145,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,145,145.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.867007441818714
10,600000000000,2.0,15.0,2.9173789173789175,2.0,8.0,351,0.0,44.0,26.232558139534884,28.0,44.0,129,0.0,104.0,48.0,40.0,104.0,129,1.0,1.0,1.0,1.0,1.0,129,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,129,129.0,129.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.63649306446314
11,660000000000,2.0,15.0,2.9373219373219372,2.0,8.0,351,0.0,44.0,26.41176470588235,28.0,44.0,136,0.0,104.0,48.470588235294116,40.0,104.0,136,1.0,1.0,1.0,1.0,1.0,136,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,136,136.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.94166775047779
12,720000000000,2.0,14.0,2.8945868945868947,2.0,8.0,351,0.0,44.0,25.741935483870968,28.0,44.0,124,0.0,104.0,47.225806451612904,40.0,104.0,124,1.0,1.0,1.0,1.0,1.0,124,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,124,124.0,124.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.51169940084219
13,780000000000,2.0,15.0,2.883190883190883,2.0,7.5,351,0.0,44.0,25.8125,30.0,44.0,128,0.0,104.0,48.125,48.0,104.0,128,1.0,1.0,1.0,1.0,1.0,128,1.0,1.0,1.0,1.0,1.0,128,128.0,128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34401822090149
14,840000000000,2.0,15.0,2.9316239316239314,2.0,8.0,351,0.0,44.0,26.176,28.0,44.0,125,0.0,104.0,48.256,40.0,104.0,125,1.0,1.0,1.0,1.0,1.0,125,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,125,125.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.34904593974352
15,900000000000,2.0,15.0,2.923076923076923,2.0,8.0,351,0.0,44.0,26.84297520661157,28.0,44.0,121,0.0,104.0,49.05785123966942,40.0,104.0,121,1.0,1.0,1.0,1.0,1.0,121,0.9999999999999999,1.0,1.0,1.0,1.0,121,121.0,121.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.952048368752
16,960000000000,2.0,14.0,2.8917378917378915,2.0,7.0,351,0.0,44.0,27.03030303030303,32.0,44.0,132,0.0,104.0,49.75757575757576,56.0,104.0,132,1.0,1.0,1.0,1.0,1.0,132,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,132,132.0,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.018113665282726
17,1020000000000,2.0,15.0,2.948717948717949,2.0,8.5,351,0.0,44.0,27.257142857142856,32.0,44.0,140,0.0,104.0,50.4,56.0,104.0,140,1.0,1.0,1.0,1.0,1.0,140,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,140,140.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.49897490441799
18,1080000000000,2.0,15.0,2.908831908831909,2.0,8.0,351,0.0,44.0,26.74015748031496,32.0,44.0,127,0.0,104.0,49.13385826771653,56.0,104.0,127,1.0,1.0,1.0,1.0,1.0,127,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,127,127.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.66527186334133
19,1140000000000,2.0,15.0,2.9344729344729346,2.0,8.0,351,0.0,44.0,26.485714285714284,32.0,44.0,140,0.0,104.0,48.857142857142854,56.0,104.0,140,1.0,1.0,1.0,1.0,1.0,140,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,140,140.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.968842044472694
20,1200000000000,2.0,16.0,2.9287749287749287,2.0,8.0,351,0.0,44.0,25.74436090225564,28.0,44.0,133,0.0,104.0,47.21804511278196,40.0,104.0,133,1.0,1.0,1.0,1.0,1.0,133,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,133,133.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.525116361677647
21,1260000000000,2.0,16.0,2.92022792022792,2.0,7.5,351,0.0,44.0,25.866666666666667,28.0,44.0,135,0.0,104.0,47.46666666666667,40.0,104.0,135,1.0,1.0,1.0,1.0,1.0,135,0.9999999999999998,1.0,1.0,1.0,1.0,135,135.0,135.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.431226775050163
22,1320000000000,2.0,15.0,2.908831908831909,2.0,8.0,351,0.0,44.0,25.983193277310924,28.0,44.0,119,0.0,104.0,47.05882352941177,40.0,104.0,119,1.0,1.0,1.0,1.0,1.0,119,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,119,119.0,119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.309554509818554
23,1380000000000,2.0,15.0,2.923076923076923,2.0,8.5,351,0.0,44.0,26.595419847328245,28.0,44.0,131,0.0,104.0,48.67175572519084,40.0,104.0,131,1.0,1.0,1.0,1.0,1.0,131,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,131,131.0,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.496472768485546
24,1440000000000,2.0,14.0,2.923076923076923,2.0,8.5,351,0.0,44.0,26.727272727272727,32.0,44.0,132,0.0,104.0,49.63636363636363,56.0,104.0,132,1.0,1.0,1.0,1.0,1.0,132,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,132,132.0,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.924834094941616
25,1500000000000,2.0,15.0,2.9458689458689458,2.0,8.0,351,0.0,44.0,26.985915492957748,32.0,44.0,142,0.0,104.0,49.63380281690141,56.0,104.0,142,1.0,1.0,1.0,1.0,1.0,142,0.9999999999999998,1.0,1.0,1.0,1.0,142,142.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.752597652375698
26,1560000000000,2.0,15.0,2.9515669515669516,2.0,8.0,351,0.0,44.0,27.00729927007299,32.0,44.0,137,0.0,104.0,49.693430656934304,56.0,104.0,137,1.0,1.0,1.0,1.0,1.0,137,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,137,137.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.10222978889942
27,1620000000000,2.0,15.0,2.9173789173789175,2.0,8.0,351,0.0,44.0,26.778625954198475,28.0,44.0,131,0.0,104.0,49.404580152671755,40.0,104.0,131,1.0,1.0,1.0,1.0,1.0,131,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,131,131.0,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.65730346739292
28,1680000000000,2.0,15.0,2.9287749287749287,2.0,8.0,351,0.0,44.0,25.984732824427482,28.0,44.0,131,0.0,104.0,46.778625954198475,40.0,104.0,131,1.0,1.0,1.0,1.0,1.0,131,1.0,1.0000000000000002,1.0,1.0,1.0,131,131.0,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.91460421681404
29,1740000000000,2.0,16.0,2.8917378917378915,2.0,7.5,351,0.0,44.0,26.4,28.0,44.0,125,0.0,104.0,48.0,40.0,104.0,125,1.0,1.0,1.0,1.0,1.0,125,0.9999999999999998,1.0,1.0,1.0,1.0,125,125.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.593557231128216
30,1800000000000,2.0,15.0,2.9686609686609686,2.0,9.0,351,0.0,44.0,25.846153846153847,28.0,44.0,130,0.0,104.0,46.33846153846154,40.0,104.0,130,1.0,1.0,1.0,1.0,1.0,130,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,130,130.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.24945978075266
31,1860000000000,2.0,15.0,2.9458689458689458,2.0,8.5,351,0.0,44.0,25.52671755725191,28.0,44.0,131,0.0,104.0,46.045801526717554,40.0,104.0,131,1.0,1.0,1.0,1.0,1.0,131,1.0,1.0000000000000002,1.0,1.0,1.0,131,131.0,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.31076392531395
32,1920000000000,2.0,14.0,2.9401709401709404,2.0,8.5,351,0.0,44.0,26.71641791044776,32.0,44.0,134,0.0,104.0,48.83582089552239,56.0,104.0,134,1.0,1.0,1.0,1.0,1.0,134,1.0,1.0000000000000002,1.0,1.0,1.0,134,134.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.862032547593117
33,1980000000000,2.0,14.0,2.9116809116809117,2.0,8.0,351,0.0,44.0,26.515151515151516,32.0,44.0,132,0.0,104.0,48.24242424242424,56.0,104.0,132,1.0,1.0,1.0,1.0,1.0,132,1.0,1.0000000000000002,1.0,1.0,1.0,132,132.0,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.545316144824028
