time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.3333333333333333,8.0,0.3333333333333333,0.0,0.0,0.3134057971014493,0.0,0.43304843304843305,0.0,0.5014245014245015,0.0,0.0,0.0,0.9344729344729344,0.0,14.0,0.039886039886039885
2,120000000000,0.4166666666666667,10.0,0.4166666666666667,0.0,0.0,0.4003623188405797,0.0,0.5071225071225072,0.0,0.5071225071225072,0.0,0.0,0.0,1.0142450142450143,0.0,16.0,0.045584045584045586
3,180000000000,0.20833333333333334,5.0,0.20833333333333334,0.2045346628679962,0.0,0.338768115942029,0.0,0.21937321937321938,0.0,0.28774928774928776,0.0,0.7692307692307693,6.0,1.2763532763532763,15.0,25.0,0.07122507122507123
4,240000000000,0.5833333333333334,14.0,0.5833333333333334,0.0,0.0,0.5489130434782609,0.0,0.792022792022792,0.0,0.7236467236467237,0.0,0.0,0.0,1.5156695156695157,25.0,23.0,0.06552706552706553
5,300000000000,0.25,6.0,0.25,0.0,0.0,0.2463768115942029,0.0,0.42735042735042733,0.0,0.42735042735042733,0.0,0.0,0.0,0.8547008547008547,0.0,12.0,0.03418803418803419
6,360000000000,0.4166666666666667,10.0,0.4166666666666667,0.20809591642924977,0.0,0.4963768115942029,0.0,0.43874643874643876,0.0,0.43874643874643876,0.0,0.6894586894586895,0.0,1.566951566951567,16.0,28.0,0.07977207977207977
7,420000000000,0.3333333333333333,8.0,0.3333333333333333,0.0,0.0,0.32608695652173914,0.0,0.43304843304843305,0.0,0.43304843304843305,0.0,0.0,0.0,0.8660968660968661,0.0,15.0,0.042735042735042736
8,480000000000,0.2916666666666667,7.0,0.2916666666666667,0.0,0.0,0.286231884057971,0.0,0.4985754985754986,0.0,0.4301994301994302,0.0,0.0,0.0,0.9287749287749287,0.0,14.0,0.039886039886039885
9,540000000000,0.4583333333333333,11.0,0.4583333333333333,0.18518518518518517,0.0,0.5271739130434783,0.0,0.5783475783475783,0.0,0.6467236467236467,0.0,0.5356125356125356,0.0,1.7606837606837606,16.5,31.0,0.08831908831908832
10,600000000000,0.5,12.0,0.5,0.0,0.0,0.47644927536231885,0.0,0.5811965811965812,0.0,0.5811965811965812,0.0,0.0,0.0,1.1623931623931625,1.5,18.0,0.05128205128205128
11,660000000000,0.125,3.0,0.125,0.0,0.0,0.10869565217391304,0.0,0.21367521367521367,0.0,0.21367521367521367,0.0,0.0,0.0,0.42735042735042733,0.0,6.0,0.017094017094017096
