time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,2.0,14.0,2.9316239316239314,2.0,7.5,351,0.0,44.0,26.88888888888889,28.0,44.0,126,0.0,104.0,49.26984126984127,40.0,104.0,126,1.0,1.0,1.0,1.0,1.0,126,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,126,126.0,126.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.237726375460625
1,60000000000,2.0,14.0,2.948717948717949,2.0,9.5,351,0.0,44.0,27.120567375886523,28.0,44.0,141,0.0,104.0,49.248226950354606,40.0,104.0,141,1.0,1.0,1.0,1.0,1.0,131,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,131,141.0,131.0,0.9290780141843972,0.0,0.0,0.0,0.0,10.0,0.07092198581560284,10.573049075901508
2,120000000000,2.0,13.0,2.925925925925926,2.0,9.0,351,0.0,44.0,27.053435114503817,28.0,44.0,131,0.0,104.0,48.85496183206107,40.0,104.0,131,1.0,1.0,1.0,1.0,1.0,102,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,102,131.0,102.0,0.7786259541984732,0.0,0.0,0.0,0.0,29.0,0.22137404580152673,8.340023458003998
3,180000000000,2.0,15.0,2.908831908831909,2.0,8.5,351,0.0,44.0,26.015037593984964,28.0,44.0,133,0.0,104.0,47.21804511278196,40.0,104.0,133,1.0,1.0,1.0,1.0,1.0,133,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,133,133.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.63640791922808
4,240000000000,2.0,15.0,2.8945868945868947,2.0,8.0,351,0.0,44.0,25.61904761904762,28.0,44.0,126,0.0,104.0,47.04761904761905,40.0,104.0,126,1.0,1.0,1.0,1.0,1.0,119,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,119,126.0,119.0,0.9444444444444444,0.0,0.0,0.0,0.0,7.0,0.05555555555555555,9.571695700287819
5,300000000000,2.0,15.0,2.8974358974358974,2.0,8.5,351,0.0,44.0,26.56,32.0,44.0,125,0.0,104.0,49.216,56.0,104.0,125,1.0,1.0,1.0,1.0,1.0,104,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,104,125.0,104.0,0.832,0.0,0.0,0.0,0.0,21.0,0.168,9.264652617275715
6,360000000000,2.0,15.0,2.866096866096866,2.0,8.0,351,0.0,44.0,25.894736842105264,28.0,44.0,114,0.0,104.0,48.0,40.0,104.0,114,1.0,1.0,1.0,1.0,1.0,114,1.0,1.0000000000000002,1.0,1.0,1.0,114,114.0,114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.57608824968338
7,420000000000,2.0,14.0,2.905982905982906,2.0,8.0,351,0.0,44.0,25.983193277310924,28.0,44.0,119,0.0,104.0,47.66386554621849,40.0,104.0,119,1.0,1.0,1.0,1.0,1.0,114,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,114,119.0,114.0,0.957983193277311,0.0,0.0,0.0,0.0,5.0,0.04201680672268908,11.450604535639286
8,480000000000,2.0,14.0,2.923076923076923,2.0,8.0,351,0.0,44.0,26.666666666666668,28.0,44.0,123,0.0,104.0,48.71544715447155,40.0,104.0,123,1.0,1.0,1.0,1.0,1.0,107,0.9999999999999998,1.0,1.0,1.0,1.0,107,123.0,107.0,0.8699186991869918,0.0,0.0,0.0,0.0,16.0,0.13008130081300814,9.255445562303066
9,540000000000,2.0,15.0,2.96011396011396,2.0,10.0,351,0.0,44.0,26.344827586206897,32.0,44.0,145,0.0,104.0,48.275862068965516,56.0,104.0,145,1.0,1.0,1.0,1.0,1.0,145,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,145,145.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.764676578342915
10,600000000000,2.0,15.0,2.92022792022792,2.0,8.5,351,0.0,44.0,26.07751937984496,28.0,44.0,129,0.0,104.0,47.37984496124031,40.0,104.0,129,1.0,1.0,1.0,1.0,1.0,112,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,112,129.0,112.0,0.8682170542635659,0.0,0.0,0.0,0.0,17.0,0.13178294573643412,8.746775798499584
11,660000000000,2.0,15.0,2.9344729344729346,2.0,9.0,351,0.0,44.0,25.774436090225564,28.0,44.0,133,0.0,104.0,47.338345864661655,40.0,104.0,133,1.0,1.0,1.0,1.0,1.0,107,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,107,133.0,107.0,0.8045112781954887,0.0,0.0,0.0,0.0,26.0,0.19548872180451127,10.430379770696163
12,720000000000,2.0,14.0,2.8945868945868947,2.0,8.0,351,0.0,44.0,25.741935483870968,28.0,44.0,124,0.0,104.0,47.225806451612904,40.0,104.0,124,1.0,1.0,1.0,1.0,1.0,124,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,124,124.0,124.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.72039295732975
13,780000000000,2.0,14.0,2.886039886039886,2.0,7.5,351,0.0,44.0,26.3125,32.0,44.0,128,0.0,104.0,49.0,56.0,104.0,128,1.0,1.0,1.0,1.0,1.0,119,1.0,1.0,1.0,1.0,1.0,119,128.0,119.0,0.9296875,0.0,0.0,0.0,0.0,9.0,0.0703125,8.254784159362316
14,840000000000,2.0,14.0,2.92022792022792,2.0,8.0,351,0.0,44.0,26.466666666666665,28.0,44.0,120,0.0,104.0,48.266666666666666,40.0,104.0,120,1.0,1.0,1.0,1.0,1.0,109,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,109,120.0,109.0,0.9083333333333333,0.0,0.0,0.0,0.0,11.0,0.09166666666666666,40.60791805386543
15,900000000000,2.0,15.0,2.923076923076923,2.0,8.0,351,0.0,44.0,26.84297520661157,28.0,44.0,121,0.0,104.0,49.05785123966942,40.0,104.0,121,1.0,1.0,1.0,1.0,1.0,121,0.9999999999999999,1.0,1.0,1.0,1.0,121,121.0,121.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.38321989029646
16,960000000000,2.0,14.0,2.9002849002849005,2.0,7.5,351,0.0,44.0,27.377777777777776,28.0,44.0,135,0.0,104.0,49.77777777777778,40.0,104.0,135,1.0,1.0,1.0,1.0,1.0,123,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,123,135.0,123.0,0.9111111111111111,0.0,0.0,0.0,0.0,12.0,0.08888888888888889,9.182109497487545
17,1020000000000,2.0,15.0,2.9544159544159543,2.0,9.0,351,0.0,44.0,27.888111888111887,28.0,44.0,143,0.0,104.0,50.62937062937063,40.0,104.0,143,1.0,1.0,1.0,1.0,1.0,117,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,117,143.0,117.0,0.8181818181818182,0.0,0.0,0.0,0.0,26.0,0.18181818181818182,8.37201438844204
18,1080000000000,2.0,15.0,2.908831908831909,2.0,8.0,351,0.0,44.0,26.74015748031496,32.0,44.0,127,0.0,104.0,49.13385826771653,56.0,104.0,127,1.0,1.0,1.0,1.0,1.0,127,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,127,127.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.808461777865887
19,1140000000000,2.0,15.0,2.92022792022792,2.0,8.0,351,0.0,44.0,26.47761194029851,32.0,44.0,134,0.0,104.0,49.492537313432834,56.0,104.0,134,1.0,1.0,1.0,1.0,1.0,128,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,128,134.0,128.0,0.9552238805970149,0.0,0.0,0.0,0.0,6.0,0.04477611940298507,9.993254207074642
20,1200000000000,2.0,15.0,2.92022792022792,2.0,8.0,351,0.0,44.0,26.984615384615385,28.0,44.0,130,0.0,104.0,49.23076923076923,40.0,104.0,130,1.0,1.0,1.0,1.0,1.0,108,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,108,130.0,108.0,0.8307692307692308,0.0,0.0,0.0,0.0,22.0,0.16923076923076924,8.502461016178131
21,1260000000000,2.0,16.0,2.92022792022792,2.0,7.5,351,0.0,44.0,25.866666666666667,28.0,44.0,135,0.0,104.0,47.46666666666667,40.0,104.0,135,1.0,1.0,1.0,1.0,1.0,135,0.9999999999999998,1.0,1.0,1.0,1.0,135,135.0,135.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.757709681987762
22,1320000000000,2.0,15.0,2.9116809116809117,2.0,8.0,351,0.0,44.0,26.166666666666668,28.0,44.0,120,0.0,104.0,47.06666666666667,40.0,104.0,120,1.0,1.0,1.0,1.0,1.0,114,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,114,120.0,114.0,0.95,0.0,0.0,0.0,0.0,6.0,0.05,9.205589070916176
23,1380000000000,2.0,15.0,2.92022792022792,2.0,8.0,351,0.0,44.0,27.015384615384615,28.0,44.0,130,0.0,104.0,49.353846153846156,40.0,104.0,130,1.0,1.0,1.0,1.0,1.0,111,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,111,130.0,111.0,0.8538461538461538,0.0,0.0,0.0,0.0,19.0,0.14615384615384616,10.14645490795374
24,1440000000000,2.0,14.0,2.923076923076923,2.0,8.5,351,0.0,44.0,26.727272727272727,32.0,44.0,132,0.0,104.0,49.63636363636363,56.0,104.0,132,1.0,1.0,1.0,1.0,1.0,132,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,132,132.0,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.31503101438284
25,1500000000000,2.0,14.0,2.9287749287749287,2.0,8.0,351,0.0,44.0,26.42962962962963,32.0,44.0,135,0.0,104.0,49.18518518518518,56.0,104.0,135,1.0,1.0,1.0,1.0,1.0,129,0.9999999999999998,1.0,1.0,1.0,1.0,129,135.0,129.0,0.9555555555555556,0.0,0.0,0.0,0.0,6.0,0.044444444444444446,9.819271974265575
26,1560000000000,2.0,13.0,2.925925925925926,2.0,8.0,351,0.0,44.0,27.28125,30.0,44.0,128,0.0,104.0,50.625,48.0,104.0,128,1.0,1.0,1.0,1.0,1.0,100,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,100,128.0,100.0,0.78125,0.0,0.0,0.0,0.0,28.0,0.21875,9.135746397078037
