time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0003632269078495,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,492.26373713463545
1,60000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.000190694126621,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,492.04328935593367
2,120000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.000190694126621,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,489.000347442925
3,180000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.0003536922015184,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,488.32548782229424
4,240000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0012613054375068,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,520.8685044199228
5,300000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.0001811594202898,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0,552,491.13249965012074
6,360000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0476190476190477,1.0001725327812283,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,490.23771937936544
7,420000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,490.14184810221195
8,480000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,552,562.715551815927
9,540000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.000190694126621,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,488.85747138410807
10,600000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,484.9184062331915
11,660000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.000698757763975,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,489.2235901206732
12,720000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0014156768733429,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,560.0248957052827
13,780000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.000698757763975,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,559.78615116328
14,840000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0476190476190477,1.0001725327812283,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,488.8000749051571
15,900000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.0003536922015184,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,490.57938158512115
16,960000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0,552,488.92888333648443
17,1020000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,479.673532769084
18,1080000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,484.964806586504
19,1140000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0005443863281391,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,488.82651049643755
20,1200000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.000698757763975,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,552,485.9762992709875
21,1260000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.000698757763975,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,475.9957976639271
22,1320000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.0003536922015184,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,484.0469593182206
23,1380000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.0003536922015184,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,487.5302817672491
24,1440000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,489.32173755019903
25,1500000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.000190694126621,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,481.3075587153435
26,1560000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0007350804547601,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,476.829350925982
27,1620000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.0008971704623877,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,483.4639495238662
28,1680000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0555555555555556,1.0012891528337753,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,486.420682631433
29,1740000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0003632269078495,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,474.1401644423604
30,1800000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.0007073844030365,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,471.2657621130347
31,1860000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0003718535469106,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,480.1324373111129
32,1920000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0003718535469106,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0,552,483.89285430312157
33,1980000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0003718535469106,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,478.5467414185405
34,2040000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0009067051687188,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,472.60473389178514
35,2100000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.0008971704623877,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,480.6285761296749
36,2160000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0555555555555556,1.0012891528337753,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,482.37138986587524
37,2220000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0005443863281391,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,472.2707560285926
38,2280000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.0003623188405797,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,473.7800220027566
39,2340000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0003718535469106,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,480.02489749342203
40,2400000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0003718535469106,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,481.6892696544528
41,2460000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0005625476735318,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,477.2863509133458
42,2520000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.0010697032436164,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,478.49996015429497
43,2580000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.05,1.0008971704623877,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,483.0071609467268
44,2640000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0555555555555556,1.001479846960396,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,482.37483762204647
45,2700000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0005443863281391,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,552,479.46390975266695
46,2760000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0005625476735318,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,471.73621878027916
47,2820000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0005625476735318,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,513.0430543795228
48,2880000000000,351.0,351.0,351.0,351.0,351.0,351,1.0,1.0526315789473684,1.0007350804547601,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,484.46309845894575
