time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.3333333333333333,8.0,0.3333333333333333,0.0,0.024691358024691357,0.0,0.03260869565217391,0.22792022792022792,1.0,0.2621082621082621,1.0,0.0,0.0,0.49002849002849,1.0,170.0,0.4843304843304843
2,120000000000,0.4166666666666667,10.0,0.4166666666666667,0.0,0.030864197530864196,0.0,0.03985507246376811,0.2678062678062678,1.0,0.2678062678062678,1.0,0.0,0.0,0.5356125356125356,1.0,170.0,0.4843304843304843
3,180000000000,0.20833333333333334,5.0,0.20833333333333334,0.0,0.015432098765432098,0.0,0.018115942028985508,0.1168091168091168,1.0,0.150997150997151,1.0,0.0,0.0,0.2678062678062678,1.0,81.0,0.23076923076923078
4,240000000000,0.5833333333333334,14.0,0.5833333333333334,0.0,0.043209876543209874,0.0,0.050724637681159424,0.41595441595441596,2.0,0.3817663817663818,1.0,0.0,0.0,0.7977207977207977,3.0,210.0,0.5982905982905983
5,300000000000,0.25,6.0,0.25,0.0,0.018518518518518517,0.0,0.036231884057971016,0.2222222222222222,1.0,0.2222222222222222,1.0,0.0,0.0,0.4444444444444444,2.0,130.0,0.37037037037037035
6,360000000000,0.4166666666666667,10.0,0.4166666666666667,0.0,0.030864197530864196,0.0,0.043478260869565216,0.2336182336182336,1.0,0.2336182336182336,1.0,0.0,0.0,0.4672364672364672,2.0,120.0,0.3418803418803419
7,420000000000,0.3333333333333333,8.0,0.3333333333333333,0.0,0.024691358024691357,0.0,0.021739130434782608,0.22792022792022792,1.0,0.22792022792022792,1.0,0.0,0.0,0.45584045584045585,2.0,133.0,0.3789173789173789
8,480000000000,0.2916666666666667,7.0,0.2916666666666667,0.0,0.021604938271604937,0.0,0.03260869565217391,0.25925925925925924,1.0,0.22507122507122507,1.0,0.0,0.0,0.4843304843304843,1.0,156.0,0.4444444444444444
9,540000000000,0.4583333333333333,11.0,0.4583333333333333,0.0,0.033950617283950615,0.0,0.06159420289855073,0.30484330484330485,1.0,0.33903133903133903,2.0,0.0,0.0,0.6438746438746439,2.0,170.0,0.4843304843304843
10,600000000000,0.5,12.0,0.5,0.0,0.037037037037037035,0.0036231884057971015,0.043478260869565216,0.3076923076923077,1.0,0.3076923076923077,1.0,0.0,0.0,0.6153846153846154,2.0,184.0,0.5242165242165242
11,660000000000,0.125,3.0,0.125,0.0,0.009259259259259259,0.0,0.018115942028985508,0.1111111111111111,1.0,0.1111111111111111,1.0,0.0,0.0,0.2222222222222222,1.0,65.0,0.18518518518518517
12,720000000000,0.3333333333333333,8.0,0.3333333333333333,0.0,0.024691358024691357,0.0,0.025362318840579712,0.22792022792022792,1.0,0.22792022792022792,1.0,0.0,0.0,0.45584045584045585,1.0,145.0,0.4131054131054131
13,780000000000,0.375,9.0,0.375,0.0,0.027777777777777776,0.0,0.043478260869565216,0.26495726495726496,1.0,0.29914529914529914,1.0,0.0,0.0,0.5641025641025641,2.0,159.0,0.452991452991453
14,840000000000,0.4583333333333333,11.0,0.4583333333333333,0.0,0.033950617283950615,0.0036231884057971015,0.028985507246376812,0.30484330484330485,2.0,0.23646723646723647,1.0,0.0,0.0,0.5413105413105413,2.0,146.0,0.41595441595441596
15,900000000000,0.20833333333333334,5.0,0.20833333333333334,0.0,0.015432098765432098,0.0036231884057971015,0.007246376811594203,0.18518518518518517,1.0,0.18518518518518517,1.0,0.0,0.0,0.37037037037037035,2.0,91.0,0.25925925925925924
16,960000000000,0.4166666666666667,10.0,0.4166666666666667,0.0,0.030864197530864196,0.0,0.028985507246376812,0.2678062678062678,1.0,0.33618233618233617,1.0,0.0,0.0,0.603988603988604,2.0,156.0,0.4444444444444444
17,1020000000000,0.2916666666666667,7.0,0.2916666666666667,0.0,0.021604938271604937,0.0,0.03985507246376811,0.25925925925925924,1.0,0.22507122507122507,1.0,0.0,0.0,0.4843304843304843,1.0,157.0,0.4472934472934473
18,1080000000000,0.4166666666666667,10.0,0.4166666666666667,0.0,0.030864197530864196,0.0036231884057971015,0.03260869565217391,0.2336182336182336,1.0,0.2336182336182336,1.0,0.0,0.0,0.4672364672364672,2.0,132.0,0.37606837606837606
19,1140000000000,0.16666666666666666,4.0,0.16666666666666666,0.0,0.012345679012345678,0.0,0.025362318840579712,0.11396011396011396,1.0,0.14814814814814814,1.0,0.0,0.0,0.2621082621082621,1.0,92.0,0.2621082621082621
20,1200000000000,0.2916666666666667,7.0,0.2916666666666667,0.0,0.021604938271604937,0.0,0.025362318840579712,0.25925925925925924,1.0,0.22507122507122507,1.0,0.0,0.0,0.4843304843304843,2.0,144.0,0.41025641025641024
21,1260000000000,0.375,9.0,0.375,0.0,0.027777777777777776,0.0,0.036231884057971016,0.23076923076923078,1.0,0.26495726495726496,1.0,0.0,0.0,0.49572649572649574,1.0,170.0,0.4843304843304843
22,1320000000000,0.5416666666666666,13.0,0.5416666666666666,0.0,0.040123456790123455,0.0036231884057971015,0.03985507246376811,0.4131054131054131,1.0,0.34472934472934474,2.0,0.0,0.0,0.7578347578347578,2.0,210.0,0.5982905982905983
23,1380000000000,0.20833333333333334,5.0,0.20833333333333334,0.0,0.015432098765432098,0.0036231884057971015,0.018115942028985508,0.150997150997151,1.0,0.18518518518518517,1.0,0.0,0.0,0.33618233618233617,2.0,92.0,0.2621082621082621
24,1440000000000,0.3333333333333333,8.0,0.3333333333333333,0.0,0.024691358024691357,0.0,0.03260869565217391,0.2621082621082621,1.0,0.2621082621082621,1.0,0.0,0.0,0.5242165242165242,2.0,130.0,0.37037037037037035
25,1500000000000,0.3333333333333333,8.0,0.3333333333333333,0.0,0.024691358024691357,0.0,0.036231884057971016,0.2621082621082621,1.0,0.2962962962962963,1.0,0.0,0.0,0.5584045584045584,1.0,183.0,0.5213675213675214
26,1560000000000,0.4583333333333333,11.0,0.4583333333333333,0.0,0.033950617283950615,0.007246376811594203,0.036231884057971016,0.30484330484330485,2.0,0.2706552706552707,1.0,0.0,0.0,0.5754985754985755,2.0,144.0,0.41025641025641024
27,1620000000000,0.25,6.0,0.25,0.0,0.018518518518518517,0.0,0.025362318840579712,0.18803418803418803,1.0,0.18803418803418803,1.0,0.0,0.0,0.37606837606837606,1.0,118.0,0.33618233618233617
