time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.3333333333333333,8.0,0.3333333333333333,0.07727920227920228,0.0,0.34782608695652173,0.0,0.022792022792022793,0.0,0.022792022792022793,0.0,0.0,0.0,0.045584045584045586,0.0,14.0,0.039886039886039885
2,120000000000,0.4166666666666667,10.0,0.4166666666666667,0.0787037037037037,0.0,0.4528985507246377,0.0,0.02849002849002849,0.0,0.02849002849002849,0.0,0.0,0.0,0.05698005698005698,0.0,16.0,0.045584045584045586
3,180000000000,0.20833333333333334,5.0,0.20833333333333334,0.08060303893637227,0.0,0.2608695652173913,0.0,0.014245014245014245,0.0,0.014245014245014245,0.0,0.0,0.0,0.02849002849002849,0.0,10.0,0.02849002849002849
4,240000000000,0.5833333333333334,14.0,0.5833333333333334,0.0998338081671415,0.0,0.5742753623188406,0.0,0.039886039886039885,0.0,0.039886039886039885,0.0,0.0,0.0,0.07977207977207977,1.0,23.0,0.06552706552706553
5,300000000000,0.25,6.0,0.25,0.059354226020892686,0.0,0.28442028985507245,0.0,0.017094017094017096,0.0,0.017094017094017096,0.0,0.0,0.0,0.03418803418803419,0.0,12.0,0.03418803418803419
6,360000000000,0.4166666666666667,10.0,0.4166666666666667,0.07514245014245015,0.0,0.46195652173913043,0.0,0.02849002849002849,0.0,0.02849002849002849,0.0,0.0,0.0,0.05698005698005698,0.0,16.0,0.045584045584045586
7,420000000000,0.3333333333333333,8.0,0.3333333333333333,0.07122507122507123,0.0,0.36231884057971014,0.0,0.022792022792022793,0.0,0.022792022792022793,0.0,0.0,0.0,0.045584045584045586,0.0,15.0,0.042735042735042736
8,480000000000,0.2916666666666667,7.0,0.2916666666666667,0.09686609686609686,0.0,0.3188405797101449,0.0,0.019943019943019943,0.0,0.019943019943019943,0.0,0.0,0.0,0.039886039886039885,0.0,14.0,0.039886039886039885
9,540000000000,0.4583333333333333,11.0,0.4583333333333333,0.0389363722697056,0.0,0.4583333333333333,0.0,0.03133903133903134,0.0,0.03133903133903134,0.0,0.0,0.0,0.06267806267806268,1.0,20.0,0.05698005698005698
10,600000000000,0.5,12.0,0.5,0.09449192782526115,0.0,0.5307971014492754,0.0,0.03418803418803419,0.0,0.03418803418803419,0.0,0.0,0.0,0.06837606837606838,0.5,18.0,0.05128205128205128
11,660000000000,0.125,3.0,0.125,0.056623931623931624,0.0,0.16847826086956522,0.0,0.008547008547008548,0.0,0.008547008547008548,0.0,0.0,0.0,0.017094017094017096,0.0,6.0,0.017094017094017096
12,720000000000,0.3333333333333333,8.0,0.3333333333333333,0.11882716049382716,0.0,0.358695652173913,0.0,0.022792022792022793,0.0,0.022792022792022793,0.0,0.0,0.0,0.045584045584045586,0.0,15.0,0.042735042735042736
13,780000000000,0.375,9.0,0.375,0.043209876543209874,0.0,0.3858695652173913,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.05128205128205128,0.5,18.0,0.05128205128205128
14,840000000000,0.4583333333333333,11.0,0.4583333333333333,0.08725071225071225,0.0,0.4945652173913043,0.0,0.03133903133903134,0.0,0.03133903133903134,0.0,0.0,0.0,0.06267806267806268,0.5,18.0,0.05128205128205128
15,900000000000,0.20833333333333334,5.0,0.20833333333333334,0.04522792022792023,0.0,0.24818840579710144,0.0,0.014245014245014245,0.0,0.014245014245014245,0.0,0.0,0.0,0.02849002849002849,0.0,10.0,0.02849002849002849
