time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,explicit_failover_dynamic_egress_repair_count,explicit_failover_dynamic_egress_repair_rate,explicit_failover_dynamic_egress_unavailable_count,explicit_failover_dynamic_egress_unavailable_rate,compute_time_ms
0,0,2.0,7.0,2.5213675213675213,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,31,1.0,1.0,1.0,1.0,1.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.5643739309162
1,60000000000,2.0,7.0,2.5242165242165244,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,35,0.9999999999999998,1.0,1.0,1.0,1.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.98461592569947
2,120000000000,2.0,6.0,2.5185185185185186,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.66763404384255
3,180000000000,2.0,7.0,2.5185185185185186,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,32,0.9999999999999999,1.0,1.0,1.0,1.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.91313200257719
4,240000000000,2.0,7.0,2.5128205128205128,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,33,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.82660002820194
5,300000000000,2.0,7.0,2.5185185185185186,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,27,1.0,1.0,1.0,1.0,1.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.8829168714583
6,360000000000,2.0,6.0,2.5128205128205128,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,27,1.0,1.0000000000000002,1.0,1.0,1.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.7037269845605
7,420000000000,2.0,8.0,2.5384615384615383,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,30,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.6404769886285
8,480000000000,2.0,7.0,2.527065527065527,2.0,5.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,32,0.9999999999999998,1.0,1.0,1.0,1.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.13765204139054
9,540000000000,2.0,7.0,2.5242165242165244,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,39,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5234358869493
10,600000000000,2.0,6.0,2.5156695156695155,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,35,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.5607319753617
11,660000000000,2.0,6.0,2.5185185185185186,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,29,0.9999999999999999,1.0,1.0,1.0,1.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.65899512171745
12,720000000000,2.0,7.0,2.5156695156695155,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,30,1.0,1.0000000000000002,1.0,1.0,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.83850887604058
13,780000000000,2.0,7.0,2.5156695156695155,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,30,1.0,1.0000000000000002,1.0,1.0,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.55786880850792
14,840000000000,2.0,7.0,2.5242165242165244,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.6195570603013
15,900000000000,2.0,8.0,2.527065527065527,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,29,1.0,1.0,1.0,1.0,1.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.95733695290983
16,960000000000,2.0,7.0,2.5156695156695155,2.0,4.5,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,34,1.0,1.0,1.0,1.0,1.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.55145905539393
17,1020000000000,2.0,7.0,2.5242165242165244,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,40,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.74732394516468
18,1080000000000,2.0,6.0,2.5156695156695155,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,39,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.2488540261984
19,1140000000000,2.0,6.0,2.5242165242165244,2.0,4.5,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,38,0.9999999999999999,1.0,1.0,1.0,1.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.12635800428689
20,1200000000000,2.0,8.0,2.5185185185185186,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999998,1.0,1.0,1.0,1.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.38816399872303
21,1260000000000,2.0,8.0,2.532763532763533,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,31,1.0,1.0000000000000002,1.0,1.0,1.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.53562109544873
22,1320000000000,2.0,7.0,2.5156695156695155,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,32,0.9999999999999998,1.0,1.0,1.0,1.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.76313698291779
23,1380000000000,2.0,8.0,2.5242165242165244,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,26,1.0,1.0,1.0,1.0,1.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.32610504329205
24,1440000000000,2.0,7.0,2.5185185185185186,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999999,1.0,1.0,1.0,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.66013606078923
25,1500000000000,2.0,7.0,2.5384615384615383,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,46,0.9999999999999998,1.0,1.0,1.0,1.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.22429893910885
26,1560000000000,2.0,6.0,2.52991452991453,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,37,1.0,1.0000000000000002,1.0,1.0,1.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.91509702429175
27,1620000000000,2.0,6.0,2.50997150997151,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.20203082636
28,1680000000000,2.0,7.0,2.5213675213675213,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,32,1.0,1.0,1.0,1.0,1.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.979726921767
29,1740000000000,2.0,8.0,2.527065527065527,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,31,1.0,1.0,1.0,1.0,1.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33000199869275
30,1800000000000,2.0,7.0,2.52991452991453,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,34,1.0,1.0,1.0,1.0,1.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.68376690521836
31,1860000000000,2.0,7.0,2.52991452991453,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.6706020310521
32,1920000000000,2.0,7.0,2.527065527065527,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,39,1.0,1.0000000000000002,1.0,1.0,1.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.3892647791654
33,1980000000000,2.0,7.0,2.52991452991453,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,44,1.0,1.0000000000000002,1.0,1.0,1.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.24623903632164
34,2040000000000,2.0,7.0,2.5413105413105415,2.0,4.5,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,39,1.0,1.0000000000000002,1.0,1.0,1.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.83966786414385
35,2100000000000,2.0,7.0,2.532763532763533,2.0,4.5,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,35,1.0,1.0,1.0,1.0,1.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.6188818514347
36,2160000000000,2.0,7.0,2.5213675213675213,2.0,4.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,31,1.0,1.0,1.0,1.0,1.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.92680689692497
